Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,21373273.0,37643404.0,38000000.0,56959485.0,57000000.0,22261372.0,22000000.0,32218905.0,32000000.0,11483112.0,11000000.0,14344088.0,17988590.0,6324430.0,9893590.0
Short-term investments,0.0,0.0,000000.0,0.0,000000.0,35035420.0,35000000.0,45621593.0,46000000.0,27084980.0,27000000.0,24000000.0,18057672.0,20567861.0,22750000.0
Cash and short-term investments,21373273.0,37643404.0,000000.0,56959485.0,000000.0,57296792.0,35000000.0,77840498.0,46000000.0,38568092.0,27000000.0,38344088.0,36046262.0,26892291.0,32643590.0
Receivables,0.0,0.0,8000000.0,0.0,0000000.0,28130.0,5000000.0,104627.0,2000000.0,8464.0,0000000.0,26517.0,41275.0,259006.0,139680.0
Inventories,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Total current assets,22516144.0,47086513.0,1000000.0,60577426.0,2000000.0,64292105.0,3000000.0,83214773.0,2000000.0,41023825.0,0000000.0,39692448.0,37281040.0,35973827.0,34594915.0
Property Plant & Equipment Net,44326.0,1042892.0,1000000.0,1959667.0,2000000.0,1467681.0,1000000.0,970873.0,1000000.0,175452.0,0000000.0,253277.0,266335.0,319191.0,174959.0
Goodwill and Intangible Assets,0.0,183780.0,0,183780.0,0,183780.0,0,183780.0,0,183780.0,0,183780.0,183780.0,183780.0,183780.0
Long-term investments,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Tax assets,107490.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,519158.0,519158.0
Total non-current assets,409821.0,1261006.0,000000.0,2192358.0,18000000.0,2732333.0,000000.0,2477809.0,000000.0,476230.0,000000.0,539328.0,573383.0,723263.0,681974.0
Total assets,22925965.0,48347519.0,48000000.0,62769784.0,63000000.0,67024438.0,67000000.0,85692582.0,86000000.0,41500055.0,42000000.0,40231776.0,37854423.0,36697090.0,35276889.0
Payables,1234762.0,4122017.0,4000000.0,6406445.0,6000000.0,8058624.0,8000000.0,6655962.0,7000000.0,3853531.0,4000000.0,3060516.0,2074463.0,1027924.0,1066055.0
Short-term debt,0.0,10599795.0,11000000.0,5481656.0,5000000.0,0.0,000000.0,0.0,000000.0,0.0,000000.0,0.0,0.0,0.0,0.0
Total current liabilities,2563666.0,30202464.0,30000000.0,19507990.0,20000000.0,22945440.0,23000000.0,17781119.0,18000000.0,30838688.0,31000000.0,10065935.0,13600353.0,6129115.0,6929206.0
Long-term debt,0.0,0.0,000000.0,18484510.0,18000000.0,0.0,000000.0,0.0,000000.0,0.0,000000.0,0.0,0.0,0.0,0.0
Total debt,0.0,10599795.0,000000.0,23966166.0,18000000.0,0.0,000000.0,0.0,000000.0,0.0,000000.0,0.0,0.0,0.0,0.0
Deferred revenue,0.0,6924353.0,7000000.0,0.0,000000.0,0.0,000000.0,0.0,000000.0,0.0,000000.0,0.0,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Total non-current liabilities,0.0,0.0,000000.0,18785510.0,18000000.0,270000.0,000000.0,187000.0,000000.0,92000.0,000000.0,100000.0,0.0,0.0,0.0
Total liabilities,2563666.0,30202464.0,30000000.0,37992500.0,38000000.0,22945440.0,23000000.0,17781119.0,18000000.0,30838688.0,31000000.0,10065935.0,13600353.0,6129115.0,6929206.0
Other comprehensive income,477192747,468969445,,440531958,,409107292,,374363123,,287008853,,259039400,235045307,0.0,0.0
Retained earnings (deficit),-456864085.0,-450852427.0,-451000000.0,-415865995.0,-416000000.0,-365094774.0,-365000000.0,-306507584.0,-307000000.0,-276389604.0,-276000000.0,-228904167.0,-210940294.0,-196515749.0,-196924209.0
Total shareholders equity,20362299.0,18145055.0,18000000.0,24777284.0,25000000.0,44078998.0,44000000.0,67911463.0,68000000.0,10661367.0,11000000.0,30165841.0,24254070.0,30567975.0,28347683.0
Investments,0.0,0.0,,0.0,,35035420.0,,45621593.0,,27084980.0,,24000000.0,18057672.0,20567861.0,22750000.0
Net Debt,-21373273.0,-27043609.0,-27000000,-32993319.0,-34000000,-22261372.0,-22000000,-32218905.0,-32000000,-11483112.0,-11000000,-14344088.0,-17988590.0,-26892291.0,-32643590.0
Other Assets,0.0,0.0,0,0.0,0,0.0,1000000,0.0,1000000,0.0,0,0.0,0.0,8822530.0,1811645.0
Other Liabilities,0.0,0.0,1000000,0.0,4000000,-270000.0,5000000,-187000.0,5000000,-92000.0,24000000,-100000.0,0.0,5101191.0,5863151.0
