Date,2019-06-30,2018-06-30,2017-06-30,2016-06-30,2015-06-30,2014-06-30,2013-06-30,2012-06-30
Cash and cash equivalents,30533587.7863,35265151.5152,231610429.4479,62072530.8642,34435794.5425,25033739.4564,13242626.0704,18790196.0784
Short-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3257843.1373
Cash and short-term investments,30533587.7863,35265151.5152,231610429.4479,62072530.8642,34435794.5425,25033739.4564,13242626.0704,22048039.2157
Receivables,213761832.0611,204793181.8182,208232361.9632,158213734.5679,151819422.1509,90242736.6448,72336822.0742,41002941.1765
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,352253435.1145,373239393.9394,576936349.6933,395269290.1235,350952648.4751,251982193.0647,196502378.687,107898039.2157
Property, Plant & Equipment Net,14772519.084,23057575.7576,23769938.6503,13644290.1235,14299357.9454,10791940.0187,4685061.8459,8352941.1765
Goodwill and Intangible Assets,538615267.1756,596820454.5455,610384969.3252,276956018.5185,273946227.9294,128840674.7891,103480494.7669,14229411.7647
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,313986.6794,1834313.7255
Tax assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current assets,654582442.7481,745542424.2424,774064417.1779,307019290.1235,297713483.1461,145609184.6298,112153187.4405,24416666.6667
Total assets,1006835877.8626,1118781818.1818,1351000766.8712,702288580.2469,648666131.6212,397591377.6945,308655566.1275,132314705.8824
Payables,78997709.9237,98897727.2727,136782975.4601,99108024.6914,87594703.0498,57895032.8022,42906755.471,13744117.6471
Short-term debt,78973282.4427,91331060.6061,257745398.773,79915123.4568,64734349.9197,46308341.1434,44389153.1874,25284313.7255
Total current liabilities,207054198.4733,226253030.303,433599693.2515,200323302.4691,191914125.2006,118826616.6823,106513796.3844,49466666.6667
Long-term debt,399283206.1069,565186363.6364,573971625.7669,216439814.8148,216614767.2552,58029990.6279,43259752.6166,3769607.8431
Total debt,478256488.5496,656517424.2424,831717024.5399,296354938.2716,281349117.175,104338331.7713,87648905.804,29053921.5686
Deferred revenue,49083206.1069,36024242.4242,39071319.0184,21300154.321,40938202.2472,15692596.0637,19467174.1199,10438235.2941
Tax Liabilities,12523664.1221,13393181.8182,11164877.3006,14040123.4568,18482343.4992,10341143.3927,3237868.6965,432352.9412
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,418119083.9695,588898484.8485,598495398.773,242061728.3951,246516051.3644,69440487.3477,47170313.9867,5495098.0392
Total liabilities,625173282.4427,815151515.1515,1032095092.0245,442385030.8642,438430176.565,188267104.03,153684110.3711,54961764.7059
Other comprehensive income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Retained earnings (deficit),-3420655.2922,15639857.9809,26092158.0735,14388745.1488,,,,
Total shareholders equity,185521374.0458,238695454.5455,252528374.2331,259903549.3827,210235955.0562,209324273.6645,154971455.7564,77352941.1765
Investments,0.0,0.0,0.0,0.0,0.0,0.0,313986.6794,5092156.8627
Net Debt,621252272.7273,,,,,,,
Other Assets,131884894.8109,,,,,,,
Other Liabilities,49083206.1069,36024242.4242,39071319.0184,21300154.3209,39585072.2311,14623242.7367,19217887.726,10438235.2941
