date,,2020-06-30_FY,2019-06-30_FY,2018-06-30_FY,2017-06-30_FY,2016-06-30_FY,2015-06-30_FY,2014-06-30_FY,2013-06-30_FY,2012-06-30_FY,2011-06-30_FY,2010-06-30_FY,2009-06-30_FY,2008-06-30_FY,2007-06-30_FY,2006-06-30_FY,2005-06-30_FY,2004-06-30_FY,2003-06-30_FY,2002-06-30_FY,2001-06-30_FY,2000-06-30_FY,1999-05-31_FY,1998-05-31_FY,1997-05-31_FY,1996-05-31_FY,1995-05-31_FY,1994-05-31_FY,1993-05-31_FY,1992-05-31_FY,1991-05-31_FY,1990-05-31_FY,1989-05-31_FY,1988-05-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,7956000000.0,8306000000.0,3705000000.0,5890000000.0,-6385000000.0,1910000000.0,13832000000.0,10876000000.0,15417000000.0,23648000000.0,12722000000.0,5877000000.0,15390000000.0,13416000000.0,10450000000.0,6388000000.0,2716000000.0,1581000000.0,1127000000.0,1024000000.0,971000000.0,-1509000000.0,-923000000.0,313000000.0,835200000.0,872800000.0,946800000.0,820000000.0,390000000.0,1083000000.0,846500000.0,830500000.0,754000000.0
,depreciationAndAmortization,6112000000.0,5829000000.0,6288000000.0,7719000000.0,8661000000.0,9158000000.0,8701000000.0,6945000000.0,6408000000.0,5039000000.0,4759000000.0,3871000000.0,3612000000.0,2421000000.0,2264000000.0,2082000000.0,1860000000.0,1820000000.0,1727000000.0,1225000000.0,1368000000.0,1448000000.0,1381000000.0,1506000000.0,1435700000.0,1185100000.0,1123100000.0,938900000.0,906000000.0,880100000.0,812700000.0,658200000.0,663100000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39000000.0,0.0,-153000000.0,-148000000.0,45000000.0,-147700000.0,-68200000.0,-8700000.0,-90100000.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0,247000000.0,247000000.0,210000000.0,270000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,9000000.0,368000000.0,-118000000.0,-352000000.0,207000000.0,-187000000.0,151000000.0,-519000000.0,-76000000.0,461000000.0,-2115000000.0,2665000000.0,-2739000000.0,-873000000.0,-1259000000.0,0.0,0.0,0.0,-79000000.0,-96000000.0,0.0,1159000000.0,155000000.0,114000000.0,-165300000.0,330800000.0,188600000.0,-42100000.0,1040000000.0,0.0,0.0,0.0,0.0
,accountsReceivables,0.0,0.0,-662000000.0,315000000.0,1714000000.0,1431000000.0,-252000000.0,780000000.0,1464000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-715000000.0,298000000.0,-182000000.0,-679000000.0,527000000.0,151000000.0,-54000000.0,-47000000.0,-208000000.0,-792000000.0,-571000000.0,-116000000.0,-1313000000.0,-583000000.0,-407000000.0,0.0,0.0,0.0,-11000000.0,72000000.0,0.0,248000000.0,-68000000.0,-6000000.0,129400000.0,-204600000.0,25900000.0,35600000.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,719000000.0,337000000.0,-1661000000.0,-990000000.0,77000000.0,-557000000.0,-288000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,1188000000.0,-125000000.0,7000000.0,-325000000.0,-373000000.0,-779000000.0,380000000.0,-695000000.0,-1044000000.0,46000000.0,-90000000.0,-769000000.0,512000000.0,902000000.0,-820000000.0,0.0,0.0,0.0,-14000000.0,-15000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,1716000000.0,1668000000.0,1550000000.0,1804000000.0,11128000000.0,4075000000.0,542000000.0,2876000000.0,3666000000.0,177000000.0,969000000.0,1232000000.0,892000000.0,508000000.0,683000000.0,-1180000000.0,-942000000.0,-775000000.0,243000000.0,-1000000.0,12000000.0,0.0,0.0,0.0,0.0,100000.0,-100000.0,68000000.0,0.0,0.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,15706000000.0,17871000000.0,18461000000.0,16804000000.0,10625000000.0,19296000000.0,25364000000.0,18252000000.0,24384000000.0,30080000000.0,17920000000.0,18863000000.0,18159000000.0,15595000000.0,10476000000.0,8045000000.0,4660000000.0,3228000000.0,3938000000.0,2553000000.0,2351000000.0,2340000000.0,2228000000.0,3049000000.0,2639000000.0,2935800000.0,2485800000.0,1834500000.0,2336000000.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-6900000000.0,-6250000000.0,-4979000000.0,-4252000000.0,-6946000000.0,-11947000000.0,-15993000000.0,-21573000000.0,-18385000000.0,-11406000000.0,-10656000000.0,-10735000000.0,-8908000000.0,-7158000000.0,-6005000000.0,0.0,0.0,0.0,-2871000000.0,-1003000000.0,-658000000.0,-1703000000.0,-2367000000.0,-3099000000.0,-2901700000.0,-2094500000.0,-1787500000.0,-1267800000.0,-2147000000.0,0.0,0.0,0.0,0.0
,acquisitionsNet,0.0,9984000000.0,-861000000.0,-250000000.0,166000000.0,-1396000000.0,112000000.0,-603000000.0,-12550000000.0,-4807000000.0,-508000000.0,-286000000.0,-76000000.0,-701000000.0,-531000000.0,-5879000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,-15000000.0,-1193000000.0,-338000000.0,-341000000.0,-238000000.0,-152000000.0,-326000000.0,-320000000.0,-856000000.0,-596000000.0,0.0,0.0,0.0,-390000000.0,-350000000.0,-262000000.0,-89000000.0,-85000000.0,-154000000.0,-170900000.0,-30900000.0,-12300000.0,-1465800000.0,0.0,0.0,0.0,0.0,0.0
