date,,2020-08-29_FY,2019-08-31_FY,2018-09-01_FY,2017-09-02_FY,2016-09-03_FY,2015-08-29_FY,2014-08-30_FY,2013-08-31_FY,2012-09-01_FY,2011-08-27_FY,2010-08-28_FY,2009-08-29_FY,2008-08-30_FY,2007-09-01_FY,2006-08-26_FY,2005-08-27_FY,2004-08-28_FY,2003-08-30_FY,2002-08-31_FY,2001-09-01_FY,2000-08-26_FY,1999-08-28_FY,1998-08-29_FY,1997-08-30_FY,1996-08-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,251117000.0,288865000.0,329223000.0,231431000.0,231216000.0,231308000.0,236100000.0,237995000.0,259000000.0,218800000.0,150400000.0,125100000.0,196200000.0,173900000.0,136400000.0,112300000.0,81200000.0,52100000.0,36415000.0,40500000.0,52900000.0,48900000.0,47300000.0,36000000.0,20600000.0
,depreciationAndAmortization,69079000.0,65377000.0,63154000.0,62980000.0,71930000.0,69729000.0,64900000.0,49479000.0,34700000.0,29200000.0,26000000.0,27000000.0,27300000.0,26000000.0,15200000.0,12300000.0,12300000.0,15400000.0,15989000.0,16700000.0,14000000.0,8700000.0,7300000.0,5300000.0,3500000.0
,deferredIncomeTax,7719000.0,14297000.0,-19577000.0,13482000.0,15007000.0,15035000.0,11800000.0,6360000.0,2800000.0,15300000.0,6500000.0,4400000.0,5000000.0,-1800000.0,-2400000.0,2200000.0,-2600000.0,6800000.0,-406000.0,2900000.0,4800000.0,7500000.0,1400000.0,2200000.0,-7800000.0
,stockBasedCompensation,16932000.0,16283000.0,14934000.0,13925000.0,13985000.0,14195000.0,16688000.0,15824000.0,15262000.0,14768000.0,13525000.0,10904000.0,10379000.0,8173000.0,9548000.0,804000.0,151000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,76341000.0,95712000.0,209130000.0,-55035000.0,-107200000.0,-42111000.0,-27710000.0,-69690000.0,163400000.0,100000000.0,59300000.0,54800000.0,-44400000.0,41700000.0,35600000.0,12800000.0,-27600000.0,54740000.0,11060000.0,-8500000.0,49500000.0,63400000.0,-6500000.0,26500000.0,-56200000.0
,accountsReceivables,36772000.0,-26948000.0,-49827000.0,-72230000.0,2595000.0,-29347000.0,-41460000.0,-15630000.0,-30213000.0,-38304000.0,-57884000.0,45877000.0,-15638000.0,-22813000.0,-24626000.0,-15135000.0,-22240000.0,700000.0,0.0,3500000.0,-8800000.0,-17100000.0,-16800000.0,-14000000.0,0.0
,inventory,16462000.0,-32528000.0,-33235000.0,-15871000.0,61047000.0,-59008000.0,-30342000.0,23409000.0,-45306000.0,-46895000.0,-39748000.0,72868000.0,16991000.0,-39484000.0,-19172000.0,-5772000.0,-23825000.0,4000000.0,27568000.0,31400000.0,-39000000.0,-67400000.0,4900000.0,-10400000.0,-59900000.0
,accountsPayables,-5574000.0,0.0,31340000.0,12184000.0,5271000.0,3803000.0,17630000.0,0.0,3551000.0,21448000.0,55183000.0,-5322000.0,-18925000.0,20873000.0,24409000.0,7780000.0,6396000.0,1500000.0,0.0,4400000.0,-6700000.0,-8800000.0,-3200000.0,1800000.0,0.0
,otherWorkingCapital,829037000.0,752696000.0,656984000.0,447854000.0,502889000.0,610089000.0,652200000.0,679910000.0,749600000.0,586200000.0,486200000.0,426900000.0,372100000.0,416500000.0,374800000.0,339200000.0,326400000.0,354000000.0,299260000.0,288200000.0,296700000.0,247200000.0,183800000.0,190300000.0,163800000.0
,otherNonCashItems,0.0,0.0,22351000.0,21745000.0,20198000.0,18357000.0,18200000.0,0.0,15100000.0,10300000.0,10700000.0,13400000.0,7900000.0,5400000.0,3400000.0,14200000.0,17500000.0,4700000.0,0.0,13400000.0,2400000.0,2300000.0,2000000.0,1900000.0,100000.0
,netCashProvidedByOperatingActivites,396739000.0,328426000.0,339658000.0,246841000.0,401103000.0,249791000.0,272400000.0,325437000.0,234300000.0,210000000.0,149900000.0,285400000.0,218600000.0,165200000.0,133500000.0,125100000.0,66900000.0,83700000.0,84870000.0,90900000.0,20400000.0,-5400000.0,46800000.0,45800000.0,-30900000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-46991000.0,-51773000.0,-44919000.0,-46548000.0,-87930000.0,-51405000.0,-70617000.0,-89252000.0,-47691000.0,-25479000.0,-30304000.0,-22740000.0,-1619000.0,-26457000.0,-22837000.0,-11412000.0,-8664000.0,-9600000.0,-7848000.0,-20200000.0,-21600000.0,-35500000.0,-32500000.0,-13500000.0,-26900000.0
,acquisitionsNet,-2286000.0,-12000000.0,-87000000.0,-42345000.0,0.0,0.0,1434000.0,-549000000.0,-33451000.0,-28948000.0,0.0,0.0,0.0,-13000000.0,-356000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,-82369000.0,-49182000.0,-383798000.0,-33414000.0,-191359000.0,0.0,-48098000.0,-69279000.0,0.0,0.0,0.0,0.0,-132131000.0,-106795000.0,-200127000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,27025000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,82369000.0,49182000.0,383798000.0,33414000.0,166336000.0,0.0,48098000.0,69279000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10500000.0
,netCashUsedForInvestingActivites,-49277000.0,-36373000.0,-131919000.0,-88893000.0,-87930000.0,-51405000.0,-94200000.0,-638021000.0,-81100000.0,-54400000.0,-30300000.0,-22300000.0,-19100000.0,-39200000.0,-333800000.0,87400000.0,-152700000.0,-9600000.0,-7848000.0,-22000000.0,-31000000.0,-48300000.0,-51900000.0,-47400000.0,-37400000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
