Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12,2013-12
Cash and cash equivalents,16000000.0,38000000.0,37000000.0,47000000.0,46000000.0,67000000.0,67000000.0,68000000.0,57000000.0
Short-term investments,,,000000.0,,000000.0,,000000.0,2000000.0,2000000.0
Cash and short-term investments,16000000.0,38000000.0,000000.0,47000000.0,000000.0,67000000.0,000000.0,2000000.0,2000000.0
Receivables,110000000.0,112000000.0,112000000.0,104000000.0,104000000.0,105000000.0,105000000.0,96000000.0,98000000.0
Inventories,0.0,0.0,,0.0,,0.0,,,
Total current assets,173000000.0,200000000.0,1117000000.0,200000000.0,1159000000.0,214000000.0,1133000000.0,1197000000.0,1222000000.0
Property, Plant & Equipment Net,26000000.0,25000000.0,25000000.0,25000000.0,25000000.0,29000000.0,29000000.0,31000000.0,34000000.0
Goodwill and Intangible Assets,,,1046000000,,1085000000,,1091000000,1162000000,1183000000
Long-term investments,,,,,,,,,
Tax assets,,,000000.0,,000000.0,,000000.0,000000.0,1000000.0
Total non-current assets,,,1193000000.0,,1337000000.0,,1335000000.0,1317000000.0,1274000000.0
Total assets,1237000000.0,1317000000.0,1317000000.0,1359000000.0,1359000000.0,1347000000.0,1347000000.0,1399000000.0,1414000000.0
Payables,7000000.0,8000000.0,8000000.0,8000000.0,8000000.0,8000000.0,8000000.0,7000000.0,7000000.0
Short-term debt,,,4000000.0,,4000000.0,,4000000.0,4000000.0,4000000.0
Total current liabilities,111000000.0,81000000.0,81000000.0,92000000.0,92000000.0,83000000.0,83000000.0,63000000.0,63000000.0
Long-term debt,892000000.0,989000000.0,967000000.0,1019000000.0,1003000000.0,1028000000.0,1021000000.0,816000000.0,812000000.0
Total debt,,,967000000.0,,1003000000.0,,1021000000.0,816000000.0,812000000.0
Deferred revenue,,,12000000.0,,10000000.0,,9000000.0,7000000.0,6000000.0
Tax Liabilities,,,149000000.0,,273000000.0,,267000000.0,252000000.0,214000000.0
Deposit Liabilities,,,,,,,,,
Total non-current liabilities,,,1193000000.0,,1337000000.0,,1335000000.0,1317000000.0,1274000000.0
Total liabilities,1048000000.0,1263000000.0,1274000000.0,1418000000.0,1430000000.0,1407000000.0,1418000000.0,1380000000.0,1336000000.0
Other comprehensive income,,,000000.0,,000000.0,,000000.0,-0000000.0,-0000000.0
Retained earnings (deficit),-800000000.0,-941000000.0,-941000000.0,-1053000000.0,-1053000000.0,-1056000000.0,-1056000000.0,-988000000.0,-925000000.0
Total shareholders equity,179000000.0,43000000.0,43000000.0,-71000000.0,-71000000.0,-72000000.0,-72000000.0,19000000.0,78000000.0
Investments,,,,,,,,,
Net Debt,,,934000000,,961000000,,958000000,752000000,759000000
Other Assets,47000000.0,,88000000,,91000000,,45000000,33000000,34000000
Other Liabilities,,,118000000,,115000000,,91000000,77000000,51000000
