date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1998-07-31_FY,1997-07-31_FY,1996-07-31_FY,1995-07-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,677000000.0,1765000000.0,2296000000.0,2206000000.0,2031000000.0,2013000000.0,1882000000.0,1561000000.0,1433000000.0,1018000000.0,973000000.0,-493000000.0,71000000.0,663000000.0,528000000.0,639000000.0,692000000.0,522000000.0,554000000.0,580000000.0,598000000.0,430000000.0,137000000.0,334800000.0,437800000.0,224900000.0,232500000.0
,depreciationAndAmortization,1366000000.0,1278000000.0,1278000000.0,1173000000.0,1056000000.0,802000000.0,890000000.0,1063000000.0,801000000.0,686000000.0,661000000.0,737000000.0,873000000.0,872000000.0,790000000.0,711000000.0,598000000.0,505000000.0,445000000.0,425000000.0,392000000.0,362000000.0,126000000.0,202500000.0,168400000.0,138500000.0,108800000.0
,deferredIncomeTax,17000000.0,31000000.0,31000000.0,-3000000.0,22000000.0,-7000000.0,94000000.0,-100000000.0,-46000000.0,-76000000.0,0.0,56000000.0,-131000000.0,-123000000.0,-92000000.0,-12000000.0,79000000.0,63000000.0,9000000.0,39000000.0,52000000.0,7000000.0,12000000.0,35300000.0,16400000.0,10600000.0,-1500000.0
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,536000000.0,-153000000.0,-153000000.0,-232000000.0,81000000.0,-344000000.0,-245000000.0,-127000000.0,72000000.0,-631000000.0,177000000.0,-94000000.0,-275000000.0,-94000000.0,157000000.0,158000000.0,-95000000.0,-82000000.0,248000000.0,6000000.0,-336000000.0,-79000000.0,-97000000.0,-72800000.0,-4200000.0,-163600000.0,3300000.0
,accountsReceivables,-42000000.0,-351000000.0,-351000000.0,-297000000.0,-446000000.0,-410000000.0,-767000000.0,-584000000.0,-46000000.0,-909000000.0,-611000000.0,-40000000.0,0.0,0.0,0.0,0.0,-313000000.0,0.0,-215000000.0,-116000000.0,-126000000.0,-161000000.0,0.0,0.0,0.0,0.0,0.0
,inventory,37000000.0,-92000000.0,-92000000.0,-362000000.0,-159000000.0,-241000000.0,-343000000.0,-141000000.0,-315000000.0,-282000000.0,-178000000.0,17000000.0,-124000000.0,-97000000.0,60000000.0,-83000000.0,-82000000.0,-37000000.0,83000000.0,-104000000.0,-135000000.0,4000000.0,-20000000.0,-35300000.0,-66700000.0,-36200000.0,-43000000.0
,accountsPayables,274000000.0,265000000.0,265000000.0,494000000.0,562000000.0,139000000.0,677000000.0,329000000.0,249000000.0,475000000.0,579000000.0,241000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4000000.0,-2000000.0,-53000000.0,-14000000.0,-8000000.0,0.0,0.0,0.0,0.0,-8000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,257000000.0,123000000.0,123000000.0,61000000.0,162000000.0,-39000000.0,184000000.0,327000000.0,104000000.0,230000000.0,-5000000.0,35000000.0,535000000.0,171000000.0,226000000.0,199000000.0,110000000.0,27000000.0,125000000.0,48000000.0,26000000.0,19000000.0,0.0,300000.0,-100000.0,5900000.0,-3900000.0
,netCashProvidedByOperatingActivites,3278000000.0,3718000000.0,3718000000.0,3329000000.0,3386000000.0,2332000000.0,2792000000.0,2567000000.0,2206000000.0,1210000000.0,1872000000.0,527000000.0,1054000000.0,1593000000.0,1596000000.0,1698000000.0,1406000000.0,1216000000.0,1460000000.0,1029000000.0,655000000.0,750000000.0,184000000.0,467000000.0,496400000.0,216100000.0,316000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-1145000000.0,-1650000000.0,-1650000000.0,-1858000000.0,-1807000000.0,-1591000000.0,-1586000000.0,-1169000000.0,-1274000000.0,-1236000000.0,-784000000.0,-629000000.0,-739000000.0,-741000000.0,-793000000.0,-848000000.0,-859000000.0,-801000000.0,-898000000.0,-525000000.0,-653000000.0,-873000000.0,-528000000.0,-1143100000.0,-524200000.0,-240700000.0,-283500000.0
,acquisitionsNet,0.0,985000000.0,-148000000.0,0.0,-1810000000.0,-222000000.0,-23000000.0,-9000000.0,-525000000.0,-120000000.0,181000000.0,-50000000.0,-93000000.0,63000000.0,-284000000.0,-187000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-331000000.0,-701000000.0,-481000000.0,-651000000.0,-478000000.0,-221000000.0,-175000000.0,-192000000.0,-122000000.0,0.0,0.0,0.0,0.0,0.0,-99000000.0,0.0,0.0,0.0,-1000000.0,-46000000.0,-28000000.0,-49000000.0,-43000000.0,-101800000.0,-36000000.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,231000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39000000.0,97000000.0,346000000.0,146000000.0,24000000.0,0.0,291400000.0,14500000.0,67800000.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,-194000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-231000000.0,-190000000.0,0.0,-127000000.0,-81000000.0,-160000000.0,-184000000.0,0.0,0.0,0.0,0.0,0.0,-338600000.0,-124100000.0,-32300000.0
,netCashUsedForInvestingActivites,-1400000000.0,-2276000000.0,-2276000000.0,-2128000000.0,-4271000000.0,-1288000000.0,-1617000000.0,-1207000000.0,-1815000000.0,-1272000000.0,-744000000.0,-876000000.0,-1063000000.0,-868000000.0,-1111000000.0,-1051000000.0,-1274000000.0,-1002000000.0,-1179000000.0,-514000000.0,-403000000.0,-987000000.0,-547000000.0,-1069900000.0,-607400000.0,-350300000.0,-248000000.0
