date,,2021-03-31_FY,2020-03-31_FY,2019-03-31_FY,2018-03-31_FY,2017-03-31_FY,2016-03-31_FY,2015-03-31_FY,2014-03-31_FY,2013-03-31_FY,2012-03-31_FY,2011-03-31_FY,2010-03-31_FY,2009-03-31_FY,2008-03-31_FY,2007-03-31_FY,2006-03-31_FY,2005-03-31_FY,2004-03-31_FY,2003-03-31_FY,2002-03-31_FY,2001-03-31_FY,2000-03-31_FY,1999-03-31_FY,1998-03-31_FY,1997-03-31_FY,1996-03-31_FY,1995-03-31_FY,1994-03-31_FY,1993-03-31_FY,1992-03-31_FY,1991-03-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-21001000.0,-34067000.0,-13164000.0,-8350000.0,-11721000.0,-3765000.0,-11497000.0,17097000.0,-1298000.0,-22783000.0,-55475000.0,3547000.0,-284134000.0,3659000.0,232855000.0,28114000.0,19485000.0,8663000.0,-42078000.0,-7047000.0,34576000.0,40145000.0,30809000.0,30497000.0,23254000.0,25252000.0,25009000.0,19700000.0,12900000.0,5300000.0,8300000.0
,depreciationAndAmortization,4791000.0,17676000.0,17673000.0,14526000.0,11813000.0,4464000.0,6980000.0,8800000.0,6881000.0,10512000.0,14138000.0,16314000.0,27683000.0,23921000.0,7880000.0,11041000.0,11595000.0,9946000.0,16823000.0,28972000.0,27044000.0,26343000.0,22990000.0,14981000.0,14573000.0,8998000.0,6230000.0,5300000.0,4600000.0,4100000.0,3500000.0
,deferredIncomeTax,-959000.0,-356000.0,309000.0,-3085000.0,142000.0,23000.0,-371000.0,-178000.0,-170000.0,62000.0,4133000.0,6596000.0,-7035000.0,-4571000.0,1478000.0,753000.0,5157000.0,284000.0,-5545000.0,-8713000.0,2185000.0,1229000.0,5655000.0,5124000.0,4269000.0,-2304000.0,-1115000.0,-600000.0,-600000.0,500000.0,-600000.0
,stockBasedCompensation,40093000.0,5205000.0,4376000.0,4688000.0,2427000.0,3405000.0,3140000.0,2119000.0,2057000.0,2896000.0,3614000.0,2426000.0,457000.0,6039000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,5439000.0,3278000.0,1364000.0,-7840000.0,-14218000.0,-13006000.0,-27304000.0,9590000.0,-4165000.0,-6719000.0,-5372000.0,16758000.0,-18241000.0,-396896000.0,343537000.0,-27987000.0,-91977000.0,-140488000.0,9877000.0,-202619000.0,94880000.0,25186000.0,14898000.0,162914000.0,73695000.0,93402000.0,46238000.0,14400000.0,1500000.0,2700000.0,4200000.0
,accountsReceivables,10363000.0,-8974000.0,-7536000.0,-719000.0,6372000.0,3237000.0,-1935000.0,-7846000.0,-13252000.0,-621000.0,-17908000.0,49481000.0,14909000.0,24794000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,2746000.0,-1830000.0,-50000.0,229000.0,476000.0,-2051000.0,-171000.0,380000.0,3462000.0,-4789000.0,-6186000.0,12839000.0,-1763000.0,-5713000.0,122000.0,-5196000.0,4931000.0,2762000.0,25860000.0,136065000.0,-52978000.0,-33498000.0,34738000.0,-78450000.0,-5712000.0,-57702000.0,0.0,0.0,-6100000.0,0.0,0.0
,accountsPayables,-7016000.0,8585000.0,-3512000.0,130000.0,554000.0,-7896000.0,5528000.0,1073000.0,4333000.0,5994000.0,22773000.0,41889000.0,-74484000.0,-53144000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-1752000.0,23985000.0,20707000.0,19343000.0,27183000.0,41401000.0,54407000.0,81711000.0,72121000.0,76286000.0,83005000.0,88377000.0,71619000.0,89860000.0,486756000.0,143219000.0,171206000.0,263183000.0,403671000.0,393794000.0,596413000.0,501533000.0,476347000.0,461449000.0,298535000.0,224840000.0,131438000.0,85200000.0,70800000.0,69300000.0,66600000.0
,otherNonCashItems,0.0,0.0,-156000.0,210000.0,-342000.0,-619000.0,-3053000.0,-1059000.0,-3764000.0,15482000.0,-299000.0,-3198000.0,-8909000.0,1010000.0,3716000.0,-652000.0,-889000.0,673000.0,1374000.0,2791000.0,39000.0,0.0,1000.0,17000.0,0.0,0.0,0.0,-100000.0,-2400000.0,100000.0,-800000.0
,netCashProvidedByOperatingActivites,28407000.0,10575000.0,7241000.0,6874000.0,3433000.0,7218000.0,-2186000.0,73000.0,-10705000.0,-21698000.0,14783000.0,103850000.0,-85984000.0,-157341000.0,38561000.0,48799000.0,93521000.0,-16481000.0,128579000.0,209839000.0,17609000.0,31507000.0,35222000.0,-71600000.0,-27645000.0,-4867000.0,-12655000.0,9500000.0,16100000.0,2500000.0,14600000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4920000.0,-6991000.0,-13306000.0,-7056000.0,-8775000.0,-6250000.0,-3210000.0,-1951000.0,-1555000.0,-8404000.0,-7389000.0,-22153000.0,-36030000.0,-22137000.0,-44283000.0,-20179000.0,-21004000.0,-11326000.0,-7600000.0,-4200000.0,-7200000.0,-5900000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,-2941000.0,34034000.0,0.0,55840000.0,0.0,0.0,-2381000.0,-236210000.0,474387000.0,-27964000.0,0.0,-66653000.0,0.0,-4074000.0,-8672000.0,0.0,0.0,-123253000.0,0.0,-49883000.0,-10068000.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-2000.0,0.0,0.0,0.0,0.0,0.0,-10240000.0,-87000.0,0.0,-165000.0,-14860000.0,-1757000.0,0.0,0.0,0.0,-6822000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6531000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,10107000.0,0.0,4347000.0,9237000.0,161000.0,4833000.0,9513000.0,4770000.0,1147000.0,788000.0,0.0,3309000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
