date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,269000000.0,121000000.0,135000000.0,153000000.0,43000000.0,219037000.0,-136355000.0,141927000.0,81861000.0,200566000.0,143856000.0,193902000.0,93541000.0,386112000.0,161759000.0,222544000.0,49004000.0,61490000.0,-984371000.0,-198055000.0,2237002000.0,230000000.0,64400000.0
,depreciationAndAmortization,909000000.0,932000000.0,883000000.0,844000000.0,850000000.0,844361000.0,836532000.0,1018077000.0,813626000.0,765776000.0,761748000.0,0.0,750077000.0,752219000.0,737478000.0,677443000.0,667956000.0,595732000.0,510445000.0,450019000.0,399143000.0,353300000.0,409500000.0
,deferredIncomeTax,190000000.0,34000000.0,33000000.0,-369000000.0,22000000.0,70849000.0,71713000.0,-67150000.0,58785000.0,202547000.0,74074000.0,31053000.0,-437919000.0,-283047000.0,-195000000.0,-24313000.0,-69623000.0,32910000.0,-587706000.0,-266406000.0,-370000.0,152200000.0,49300000.0
,stockBasedCompensation,53000000.0,59000000.0,54000000.0,46000000.0,42000000.0,40400000.0,35793000.0,30338000.0,41871000.0,36837000.0,35128000.0,32486000.0,22693000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,914000000.0,-492000000.0,403000000.0,-124000000.0,-41959000.0,510260000.0,-191882000.0,56752000.0,7282000.0,46104000.0,-78403000.0,8197000.0,-220420000.0,187716000.0,165488000.0,-346029000.0,260893000.0,27155000.0,922706000.0,315451000.0,-595611000.0,356300000.0,94600000.0
,accountsReceivables,-16000000.0,-49000000.0,-39000000.0,-61000000.0,-23000000.0,-120230000.0,17629000.0,-294320000.0,-81107000.0,-95426000.0,-79182000.0,-110258000.0,-79427000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,12000000.0,-19000000.0,-5000000.0,6000000.0,4000000.0,115482000.0,-29149000.0,-83536000.0,-29917000.0,-13382000.0,40657000.0,-34566000.0,-17123000.0,16848000.0,-25287000.0,-15460000.0,-6006000.0,-16548000.0,2473000.0,-7100000.0,-18786000.0,-13400000.0,10700000.0
,accountsPayables,173000000.0,-60000000.0,2000000.0,-7000000.0,36000000.0,7245000.0,-117264000.0,86028000.0,-12332000.0,29291000.0,-4016000.0,29646000.0,6804000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,1873000000.0,959000000.0,1451000000.0,1048000000.0,1172000000.0,1213959000.0,703699000.0,895581000.0,838829000.0,831547000.0,785443000.0,863846000.0,855649000.0,1076069000.0,888353000.0,722865000.0,1068894000.0,808001000.0,780846000.0,-141860000.0,-457311000.0,138300000.0,-218000000.0
,otherNonCashItems,0.0,4000000.0,4000000.0,3000000.0,0.0,1991000.0,1001000.0,3075000.0,821000.0,19916000.0,282313000.0,4366000.0,131207000.0,100339000.0,443138000.0,136763000.0,0.0,0.0,0.0,0.0,0.0,84100000.0,100000.0
,netCashProvidedByOperatingActivites,1532000000.0,1016000000.0,1017000000.0,776000000.0,782000000.0,789694000.0,394812000.0,494610000.0,1105172000.0,1255711000.0,1121945000.0,1102594000.0,848892000.0,941032000.0,887157000.0,880223000.0,747389000.0,920413000.0,793637000.0,545805000.0,748859000.0,623700000.0,356200000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-1338000000.0,-957000000.0,-776000000.0,-685000000.0,-636000000.0,-800628000.0,-799496000.0,-883797000.0,-995517000.0,-971759000.0,-755032000.0,-700441000.0,-1124112000.0,-699566000.0,-722458000.0,-720557000.0,-798252000.0,-776967000.0,-899050000.0,-700150000.0,-456019000.0,-431000000.0,-676100000.0
,acquisitionsNet,0.0,0.0,0.0,-197000000.0,-32000000.0,56000000.0,-107000000.0,497000000.0,-113000000.0,-106000000.0,-82000000.0,-29000000.0,-382000000.0,-19000000.0,-43000000.0,-191000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,-11000000.0,-17000000.0,-100000000.0,0.0,0.0,0.0,0.0,-120000000.0,-180920000.0,-493750000.0,-109230000.0,-27446000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2800000.0
,salesMaturitiesOfInvestments,0.0,29000000.0,100000000.0,0.0,0.0,0.0,50000000.0,115000000.0,243444000.0,393246000.0,106255000.0,23660000.0,260352000.0,92002000.0,138751000.0,0.0,0.0,0.0,0.0,0.0,0.0,135000000.0,166600000.0
,otherInvestingActivites,0.0,-5000000.0,0.0,1000000.0,-140000000.0,6932000.0,-52640000.0,11594000.0,-12796000.0,-1148000.0,370000.0,4565000.0,-11546000.0,-804000.0,-3430000.0,-3001000.0,274666000.0,76477000.0,63640000.0,573134000.0,-22000.0,10600000.0,18000000.0
,netCashUsedForInvestingActivites,5000000.0,-1249000000.0,-680000000.0,-981000000.0,-808000000.0,-737687000.0,-909744000.0,-260653000.0,-998069000.0,-866089000.0,-1223848000.0,-781446000.0,-902752000.0,-627855000.0,-630740000.0,-914428000.0,-564372000.0,-700490000.0,-1366584000.0,-519858000.0,-605659000.0,-285400000.0,-494300000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-110000000.0,-118000000.0,-20000000.0,-17000000.0,-12000000.0,-816000.0,-150000000.0,-1581000.0,-2566000.0,-647310000.0,-220249000.0,-143078000.0,-9448000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
