Date,2018-12-31,2017-12-31
Cash and cash equivalents,14744717.8003,15922762.9988
Short-term investments,0.0,0.0
Cash and short-term investments,14744717.8003,15922762.9988
Receivables,9567872.6483,6848548.9722
Inventories,3059768.4515,3784915.3567
Total current assets,40321707.67,33759673.5187
Property Plant & Equipment Net,40838784.3705,34528567.11
Goodwill and Intangible Assets,9799131.6932,9341444.9819
Long-term investments,3797973.9508,6134824.6675
Tax assets,1773371.9247,1801995.1632
Total non-current assets,57585528.22,53601874.2443
Total assets,97907235.89,87361547.763
Payables,2109117.2214,4363512.6965
Short-term debt,11162083.9363,3328295.0423
Total current liabilities,24501157.7424,19872581.6203
Long-term debt,39973806.0781,32383010.8827
Total debt,51135890.0145,35711305.925
Deferred revenue,0.0,0.0
Tax Liabilities,2254992.7641,3043833.1318
Deposit Liabilities,0.0,0.0
Total non-current liabilities,109492329.9566,70850513.9057
Total liabilities,133993487.699,90723095.526
Other comprehensive income,0.0,0.0
Retained earnings (deficit),-54112879.8842,-17201934.7037
Total shareholders equity,-40290882.7786,-7083585.2479
Investments,3797973.9508,6134824.6675
Net Debt,,
Other Assets,,
Other Liabilities,11229956.5847,12180773.8815
