Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31
Cash and cash equivalents,9829624.0,19186036.0,22416040.0,66686695.0,33854153.0
Short-term investments,0.0,14129723.0,38658933.0,24652348.0,0.0
Cash and short-term investments,9829624.0,33315759.0,61074973.0,91339043.0,33854153.0
Receivables,9939.0,10385.0,12181.0,0.0,0.0
Inventories,186920.0,431891.0,454132.0,0.0,0.0
Total current assets,10315166.0,34535137.0,62467269.0,92247617.0,34224549.0
Property Plant & Equipment Net,74460.0,331040.0,556315.0,382437.0,85144.0
Goodwill and Intangible Assets,0.0,0.0,0.0,0.0,0.0
Long-term investments,0.0,0.0,0.0,2312949.0,0.0
Tax assets,0.0,4490.0,26927.0,0.0,50103.0
Total non-current assets,74460.0,457635.0,747710.0,2822221.0,1386849.0
Total assets,10389626.0,34992772.0,63214979.0,95069838.0,35611398.0
Payables,342530.0,2004440.0,1192183.0,875646.0,578653.0
Short-term debt,0.0,0.0,0.0,0.0,0.0
Total current liabilities,1106870.0,5847670.0,3889195.0,2847401.0,1067161.0
Long-term debt,0.0,39214.0,8398.0,14587.0,35968.0
Total debt,0.0,39214.0,8398.0,14587.0,35968.0
Deferred revenue,0.0,72188.0,88344.0,0.0,0.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,0.0,82918.0,43723.0,44616.0,137481.0
Total liabilities,1106870.0,5886884.0,3897593.0,2877430.0,42149738.0
Other comprehensive income,142242224,140184630,135962935,129367978,1472299
Retained earnings (deficit),-132961275.0,-111079275.0,-76645613.0,-37152490.0,-8010860.0
Total shareholders equity,9282756.0,29105888.0,59317386.0,92192408.0,-6538340.0
Investments,0.0,14129723.0,38658933.0,26965297.0,0.0
Net Debt,-9829624.0,-19146822.0,-22407642.0,-66672108.0,-33818185.0
Other Assets,0.0,0.0,0.0,0.0,0.0
Other Liabilities,0.0,0.0,0.0,0.0,40945096.0
