Date,2018-12-31,2017-12-31,2016-12-31,2016-01-01,2015-12-31
Cash and cash equivalents,1024137931.0345,572629051.6206,794736842.1053,649972781.7093,648208469.0554
Short-term investments,1051724137.931,1238895558.2233,873684210.5263,0.0,0.0
Cash and short-term investments,2075862068.9655,1811524609.8439,1668421052.6316,649972781.7093,648208469.0554
Receivables,459770114.9425,432172869.1477,315789473.6842,268916712.0305,264929424.5385
Inventories,0.0,0.0,0.0,0.0,0.0
Total current assets,2581609195.4023,2278511404.5618,2009473684.2105,948285247.6864,945711183.4962
Property Plant & Equipment Net,226436781.6092,87635054.0216,89473684.2105,88187261.84,87947882.7362
Goodwill and Intangible Assets,200000000.0,194477791.1164,84210526.3158,4354926.5106,79261672.0955
Long-term investments,1891954022.9885,1093637454.982,0.0,1088731.6277,1085776.3301
Tax assets,11494252.8736,10804321.7287,9473684.2105,7600434.3105,
Total non-current assets,2402298850.5747,1451380552.2209,201052631.5789,195439739.4137,
Total assets,4983908045.977,3729891956.7827,2210526315.7895,1144256940.6641,1141150922.9099
Payables,490804597.7011,409363745.4982,211578947.3684,129559063.6908,129207383.279
Short-term debt,0.0,0.0,0.0,0.0,0.0
Total current liabilities,2467816091.954,2232893157.2629,1284210526.3158,868807838.8677,866449511.4007
Long-term debt,0.0,1133253301.3205,1164210526.3158,0.0,0.0
Total debt,0.0,1133253301.3205,1164210526.3158,0.0,
Deferred revenue,296551724.1379,259303721.4886,156842105.2632,99891422.367,
Tax Liabilities,8045977.0115,14405762.3049,6315789.4737,5428881.6504,
Deposit Liabilities,0.0,0.0,0.0,0.0,
Total non-current liabilities,109195402.2989,1211284513.8055,1178947368.4211,26058631.9218,
Total liabilities,2577011494.2529,3444177671.0684,2463157894.7368,894937397.9314,892508143.3225
Other comprehensive income,0.0,0.0,0.0,0.0,
Retained earnings (deficit),-2879310344.8276,-2913565426.1705,-1254736842.1053,-710941752.8579,-709011943.5396
Total shareholders equity,2406896551.7241,285714285.7143,-252631578.9474,249319542.7327,248642779.5874
Investments,2943678160.9195,2332533013.2053,873684210.5263,-1088731.6277,1085776.3301
Net Debt,-1677904819.0583,,,,
Other Assets,40367816.092,,,,
Other Liabilities,1977011494.2529,1823529411.7647,1072631578.9474,739248775.1769,737242128.1217
