date,,2020-09-30_FY,2019-09-30_FY,2018-09-30_FY,2017-09-30_FY,2016-09-30_FY,2015-09-30_FY,2014-09-30_FY,2013-09-30_FY,2012-09-30_FY,2011-09-30_FY,2010-09-30_FY,2009-09-30_FY,2008-09-30_FY,2007-09-30_FY,2006-09-30_FY,2005-09-30_FY,2004-09-30_FY,2003-09-30_FY,2002-09-30_FY,2001-09-30_FY,2000-09-30_FY,1999-09-30_FY,1998-09-30_FY,1997-09-30_FY,1996-09-30_FY,1995-09-30_FY,1994-09-30_FY,1993-09-30_FY,1992-09-30_FY,1991-09-30_FY,1990-09-30_FY,1989-09-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-508000000.0,505000000.0,114000000.0,1000000.0,-29000000.0,309000000.0,233000000.0,683000000.0,26000000.0,414000000.0,332000000.0,71000000.0,167000000.0,230000000.0,407000000.0,2004000000.0,378000000.0,75000000.0,117000000.0,417000000.0,70000000.0,290000000.0,203000000.0,279000000.0,211000000.0,24000000.0,197000000.0,142200000.0,-335700000.0,145000000.0,182100000.0,86200000.0
,depreciationAndAmortization,247000000.0,289000000.0,312000000.0,301000000.0,337000000.0,341000000.0,393000000.0,425000000.0,430000000.0,299000000.0,304000000.0,329000000.0,145000000.0,133000000.0,111000000.0,193000000.0,193000000.0,204000000.0,220000000.0,250000000.0,237000000.0,228000000.0,181000000.0,572000000.0,402000000.0,487000000.0,308000000.0,304600000.0,302100000.0,278600000.0,269400000.0,279200000.0
,deferredIncomeTax,-43000000.0,20000000.0,-97000000.0,-30000000.0,-23000000.0,-57000000.0,-294000000.0,194000000.0,-154000000.0,-57000000.0,9000000.0,12000000.0,44000000.0,22000000.0,-1000000.0,-535000000.0,125000000.0,71000000.0,-119000000.0,157000000.0,111000000.0,102000000.0,60000000.0,3000000.0,-6000000.0,-73000000.0,2000000.0,28900000.0,-146400000.0,2000000.0,-22200000.0,14200000.0
,stockBasedCompensation,14000000.0,21000000.0,28000000.0,20000000.0,30000000.0,30000000.0,34000000.0,30000000.0,28000000.0,16000000.0,14000000.0,9000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,19000000.0,39000000.0,-298000000.0,-715000000.0,-150000000.0,-74000000.0,728000000.0,-150000000.0,-352000000.0,502000000.0,239000000.0,-895000000.0,-322000000.0,-85000000.0,-3000000.0,1725000000.0,-114000000.0,187000000.0,-302000000.0,284000000.0,-231000000.0,196000000.0,-267000000.0,273000000.0,-20000000.0,-2000000.0,128900000.0,289700000.0,-231300000.0,-42300000.0,75900000.0,-312400000.0
,accountsReceivables,7000000.0,38000000.0,-70000000.0,-64000000.0,55000000.0,261000000.0,-16000000.0,12000000.0,20000000.0,-40000000.0,-202000000.0,405000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,65000000.0,-4000000.0,-29000000.0,-23000000.0,44000000.0,39000000.0,-4000000.0,106000000.0,-105000000.0,-133000000.0,-119000000.0,147000000.0,126000000.0,-74000000.0,-56000000.0,-82000000.0,-14000000.0,15000000.0,11000000.0,5000000.0,0.0,-26000000.0,-21000000.0,17000000.0,-3000000.0,-63000000.0,-45000000.0,67400000.0,64900000.0,94400000.0,-192700000.0,-106600000.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-111000000.0,-65000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-3000000.0,676000000.0,637000000.0,935000000.0,1650000000.0,1800000000.0,1874000000.0,1146000000.0,1296000000.0,1648000000.0,1146000000.0,907000000.0,1802000000.0,2124000000.0,2209000000.0,2212000000.0,487000000.0,601000000.0,414000000.0,716000000.0,432000000.0,663000000.0,467000000.0,734000000.0,461000000.0,481000000.0,483000000.0,354100000.0,64400000.0,295700000.0,338000000.0,262100000.0
,otherNonCashItems,23000000.0,8000000.0,1000000.0,106000000.0,-3000000.0,-477000000.0,10000000.0,73000000.0,67000000.0,443000000.0,27000000.0,50000000.0,12000000.0,0.0,-3000000.0,0.0,38000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-51000000.0,35000000.0,33000000.0,39000000.0,-2500000.0,207400000.0,34900000.0,29700000.0,63300000.0
,netCashProvidedByOperatingActivites,203000000.0,241000000.0,297000000.0,365000000.0,663000000.0,334000000.0,643000000.0,733000000.0,354000000.0,245000000.0,517000000.0,1025000000.0,470000000.0,195000000.0,345000000.0,10000000.0,190000000.0,529000000.0,210000000.0,915000000.0,444000000.0,390000000.0,311000000.0,1288000000.0,767000000.0,500000000.0,454000000.0,249600000.0,398200000.0,473200000.0,371100000.0,84900000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-138000000.0,-154000000.0,-185000000.0,-199000000.0,-300000000.0,-265000000.0,-248000000.0,-314000000.0,-298000000.0,-201000000.0,-206000000.0,-174000000.0,-205000000.0,-154000000.0,-175000000.0,-380000000.0,-210000000.0,-110000000.0,-185000000.0,-205000000.0,-232000000.0,-320000000.0,-468000000.0,-431000000.0,-510000000.0,-444000000.0,-376000000.0,-432300000.0,-504400000.0,-445400000.0,-554700000.0,-457300000.0
,acquisitionsNet,0.0,-2000000.0,-11000000.0,-662000000.0,0.0,-8000000.0,0.0,-13000000.0,21000000.0,-1926000000.0,41000000.0,-1966000000.0,-103000000.0,-75000000.0,-183000000.0,3168000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-27000000.0,-350000000.0,-29000000.0,-22000000.0,-15000000.0,-322000000.0,-15000000.0,0.0,0.0,0.0,0.0,0.0,-435000000.0,-484000000.0,-824000000.0,-402000000.0,0.0,0.0,0.0,0.0,0.0,-235000000.0,-215000000.0,-248000000.0,-455000000.0,-725000000.0,-335000000.0,-451400000.0,-465300000.0,-327400000.0,-174400000.0,-33600000.0
