Date,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2007-12,2006-12,2005-12,2004-12,2003-12
Cash and cash equivalents,9044000.0,12538000.0,15407000.0,14238000.0,13392000.0,14419000.0,29408000.0,20000000.0,20000000.0,23000000.0,37000000.0,9000000.0
Short-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Cash and short-term investments,9044000.0,12538000.0,15407000.0,14238000.0,13392000.0,14419000.0,29408000.0,,,,,
Receivables,6565000.0,8508000.0,4863000.0,3460000.0,2384000.0,2568000.0,2540000.0,46000000.0,53000000.0,34000000.0,46000000.0,63000000.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,000000.0,000000.0,000000.0,25000000.0,27000000.0
Total current assets,21479000.0,25782000.0,25087000.0,22383000.0,19779000.0,16987000.0,39038000.0,594000000.0,615000000.0,118000000.0,175000000.0,217000000.0
Property Plant & Equipment Net,8572000.0,9576000.0,8523000.0,4657000.0,5158000.0,4727000.0,4271000.0,40000000.0,39000000.0,26000000.0,23000000.0,31000000.0
Goodwill and Intangible Assets,3924000.0,4173000.0,4325000.0,1543000.0,1381000.0,1208000.0,1210000.0,544000000,557000000,76000000,135000000,152000000
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Tax assets,1000000.0,1500000.0,100000.0,100000.0,2200000.0,1900000.0,0.0,000000.0,6000000.0,11000000.0,12000000.0,27000000.0
Total non-current assets,18456000.0,19782000.0,15315000.0,9695000.0,10970000.0,14375000.0,10227000.0,253000000.0,284000000.0,8000000.0,91000000.0,127000000.0
Total assets,39935000.0,45564000.0,40402000.0,32078000.0,30749000.0,31362000.0,49265000.0,686000000.0,711000000.0,323000000.0,304000000.0,333000000.0
Payables,1474000.0,1835000.0,1223000.0,1183000.0,752000.0,0.0,812000.0,8000000.0,14000000.0,11000000.0,31000000.0,41000000.0
Short-term debt,1967000.0,1982000.0,1819000.0,1637000.0,4098000.0,3703000.0,3567000.0,44000000.0,4000000.0,1000000.0,1000000.0,1000000.0
Total current liabilities,13277000.0,15142000.0,13977000.0,15469000.0,13909000.0,16603000.0,19217000.0,82000000.0,108000000.0,63000000.0,54000000.0,83000000.0
Long-term debt,17056000.0,20839000.0,1614000.0,1176000.0,1200000.0,0.0,0.0,239000000.0,276000000.0,2000000.0,86000000.0,121000000.0
Total debt,19023000.0,22821000.0,3433000.0,2813000.0,5298000.0,3703000.0,3567000.0,239000000.0,276000000.0,2000000.0,86000000.0,121000000.0
Deferred revenue,3032000.0,4911000.0,6378000.0,7859000.0,7215000.0,0.0,9783000.0,,,,,
Tax Liabilities,12700000.0,12700000.0,12700000.0,12700000.0,12600000.0,12900000.0,0.0,7000000.0,000000.0,000000.0,000000.0,000000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Total non-current liabilities,25635000.0,29143000.0,10514000.0,5166000.0,7973000.0,5605000.0,4437000.0,253000000.0,284000000.0,8000000.0,91000000.0,127000000.0
Total liabilities,47265000.0,52639000.0,31265000.0,27865000.0,26793000.0,26577000.0,32175000.0,335000000.0,392000000.0,71000000.0,145000000.0,210000000.0
Other comprehensive income,275846000,259759000,254973000,234403000,219956000,209640000,206727000,-3000000.0,-0000000.0,0000000.0,1000000.0,0000000.0
Retained earnings (deficit),-279425000.0,-263062000.0,-242085000.0,-226404000.0,-212172000.0,-201000000.0,-185779000.0,-76000000.0,-97000000.0,-149000000.0,-163000000.0,-190000000.0
Total shareholders equity,-7330000.0,-7075000.0,9137000.0,4213000.0,3956000.0,4785000.0,17090000.0,351000000.0,319000000.0,252000000.0,160000000.0,124000000.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Net Debt,9979000.0,10283000.0,-11974000.0,-11425000.0,-8094000.0,-10716000.0,-25841000.0,263000000,260000000,-20000000,50000000,113000000
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18000000,15000000,138000000,13000000,12000000
Other Liabilities,8353000.0,8354000.0,6774000.0,7230000.0,4911000.0,4369000.0,8521000.0,17000000,76000000,37000000,5000000,6000000
