date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY
,acquisitionsNet,0.0,0.0,-139000000.0,0.0,-3000000.0,-1000000.0,0.0,-321000000.0,0.0,0.0,0.0,0.0,-688000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-2216000.0,-389000.0,-31971000.0,-56613000.0,-48943000.0,-947000.0,-580000.0,-6001000.0,-5823000.0,-3200000.0,0.0,0.0,0.0,-92276000.0,-55610000.0,-68694000.0,-35034000.0,-21053000.0,0.0,0.0,0.0,0.0,-700000.0,-1200000.0,-4200000.0,-3700000.0,-13600000.0,-27500000.0,0.0,0.0,-200000.0,-400000.0
,salesMaturitiesOfInvestments,0.0,1760000.0,64895000.0,49969000.0,18649000.0,14000.0,0.0,1772000.0,0.0,10814000.0,2597000.0,7578000.0,31037000.0,117596000.0,86651000.0,92128000.0,26404000.0,3050000.0,0.0,0.0,283000.0,311000.0,2900000.0,13800000.0,100000.0,5200000.0,32200000.0,300000.0,0.0,700000.0,1400000.0,4100000.0
,otherInvestingActivites,0.0,0.0,4377000.0,8913000.0,0.0,0.0,4334000.0,125000.0,-5000.0,-3200000.0,0.0,0.0,23277000.0,0.0,0.0,-551000.0,-13435000.0,-11000.0,-288000.0,126000.0,1465000.0,520000.0,400000.0,1600000.0,-1300000.0,-2400000.0,-200000.0,-2700000.0,-300000.0,900000.0,-300000.0,200000.0
,netCashUsedForInvestingActivites,-92901000.0,-119867000.0,-236547000.0,-95395000.0,-198665000.0,-138606000.0,-118355000.0,-475497000.0,-118038000.0,-79819000.0,-64788000.0,-7913000.0,-702216000.0,29334000.0,8183000.0,-21977000.0,-63084000.0,-37063000.0,-4212000.0,42542000.0,-1229000.0,-19343000.0,-16200000.0,-8700000.0,-35500000.0,-42400000.0,-34400000.0,-81300000.0,-12000000.0,-16300000.0,-22100000.0,-35900000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-722453000.0,-286657000.0,-113375000.0,-6986000.0,-11156000.0,-10851000.0,-9137000.0,-7039000.0,-5890000.0,-2938000.0,-1780000.0,-162708000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128334000.0,183504000.0,203677000.0,3896000.0,262000.0,1646000.0,105461000.0,2997000.0,5890000.0,35000.0,12142000.0,100000.0,23400000.0,21900000.0,1300000.0,65300000.0,111400000.0,300000.0,1500000.0,100000.0,300000.0
,commonStockRepurchased,-2745000.0,-2231000.0,-2694000.0,-2868000.0,-4440000.0,-1874000.0,-3740000.0,-286000.0,-2144000.0,-469000.0,-693000.0,0.0,0.0,-209000.0,-313000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100000.0,-200000.0
,dividendsPaid,-9152000.0,-5466000.0,-4945000.0,-4528000.0,-4419000.0,-4291000.0,-4099000.0,-6543000.0,-17673000.0,-9414000.0,-4513000.0,0.0,-7427000.0,-552000.0,-690000.0,-2900000.0,0.0,0.0,0.0,0.0,-6037000.0,-8050000.0,-8100000.0,-8100000.0,-8100000.0,-8100000.0,-8100000.0,-4100000.0,0.0,0.0,-1400000.0,-1400000.0
,otherFinancingActivites,-1356000.0,-976000.0,-2638000.0,-476000.0,-127000.0,-127000.0,-938000.0,-1244000.0,-750000.0,-180000.0,-200000.0,-4480000.0,-8125000.0,0.0,0.0,-624000.0,0.0,0.0,0.0,0.0,-1811000.0,0.0,100000.0,100000.0,900000.0,100000.0,0.0,0.0,0.0,0.0,-300000.0,-200000.0
,netCashUsedProvidedByFinancingActivities,-19379000.0,33189000.0,-14884000.0,-5248000.0,-12021000.0,-17143000.0,36504000.0,474949000.0,-26457000.0,-7215000.0,45907000.0,-38854000.0,329619000.0,202916000.0,-107000.0,-262000.0,-3027000.0,96931000.0,-4041000.0,-44393000.0,5617000.0,16626000.0,12900000.0,-700000.0,17400000.0,27400000.0,7000000.0,107300000.0,300000.0,100000.0,-1700000.0,41300000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,-1107000.0,875000.0,-1515000.0,1095000.0,-74000.0,-5152000.0,-3783000.0,-4905000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,67406000.0,35063000.0,-158725000.0,16330000.0,14568000.0,-54456000.0,-2510000.0,21191000.0,-75479000.0,-17143000.0,178928000.0,68208000.0,-336653000.0,297245000.0,69570000.0,-28152000.0,-52777000.0,85845000.0,11982000.0,6187000.0,-1346000.0,239000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cashAtEndOfPeriod,130883000.0,63477000.0,28414000.0,186107000.0,169777000.0,155209000.0,209665000.0,212175000.0,190984000.0,266463000.0,283606000.0,104678000.0,36470000.0,373123000.0,75878000.0,6308000.0,52610000.0,105387000.0,19542000.0,7560000.0,1373000.0,2719000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,cashAtBeginningOfPeriod,63477000.0,28414000.0,187139000.0,169777000.0,155209000.0,209665000.0,212175000.0,190984000.0,266463000.0,283606000.0,104678000.0,36470000.0,373123000.0,75878000.0,6308000.0,34460000.0,105387000.0,19542000.0,7560000.0,1373000.0,2719000.0,2480000.0,3800000.0,7200000.0,4000000.0,7300000.0,40000000.0,3300000.0,5600000.0,17000000.0,13100000.0,300000.0
,operatingCashFlow,180793000.0,120866000.0,94221000.0,115878000.0,225328000.0,106445000.0,83124000.0,26644000.0,69016000.0,69891000.0,197809000.0,114975000.0,14785000.0,64995000.0,61494000.0,-5913000.0,13334000.0,25977000.0,20235000.0,8038000.0,-5734000.0,2956000.0,2000000.0,6000000.0,22300000.0,11800000.0,-5300000.0,8600000.0,9500000.0,4800000.0,26600000.0,7300000.0
,capitalExpenditure,-91016000.0,-121421000.0,-136933000.0,-98038000.0,-164788000.0,-137443000.0,-122537000.0,-150736000.0,-113096000.0,-87546000.0,-67414000.0,-23514000.0,-68674000.0,-41034000.0,-27345000.0,-44918000.0,-41371000.0,-19535000.0,-11219000.0,-17890000.0,-15210000.0,-22650000.0,-22500000.0,-24800000.0,-33700000.0,-45300000.0,-66600000.0,-52700000.0,-23200000.0,-18900000.0,-27900000.0,-40600000.0
,freeCashFlow,89777000.0,-555000.0,-42712000.0,17840000.0,60540000.0,-30998000.0,-39413000.0,-124092000.0,-44080000.0,-17655000.0,130395000.0,91461000.0,-53889000.0,23961000.0,34149000.0,-50831000.0,-28037000.0,6442000.0,9016000.0,-9852000.0,-20944000.0,-19694000.0,-20500000.0,-18800000.0,-11400000.0,-33500000.0,-71900000.0,-44100000.0,-13700000.0,-14100000.0,-1300000.0,-33300000.0
