Date,2019-06-30,2018-06-30,2017-06-30
Cash and cash equivalents,172304580.1527,68320454.5455,198619.6319
Short-term investments,109349618.3206,44839393.9394,0.0
Cash and short-term investments,281654198.4733,113159848.4849,198619.6319
Receivables,79002290.0763,11436363.6364,66717.7914
Inventories,86748854.9618,22420454.5455,1776840.4908
Total current assets,506997709.9237,166437878.7879,4021472.3926
Property Plant & Equipment Net,584402290.0763,186630303.0303,8719325.1534
Goodwill and Intangible Assets,2947264122.1374,728087878.7879,0.0
Long-term investments,90721374.0458,253365151.5152,1366564.4172
Tax assets,6742748.0916,0.0,0.0
Total non-current assets,3693635877.8626,1262736363.6364,10085889.5706
Total assets,4200633587.7863,1429174242.4242,14107361.9632
Payables,138183969.4656,52112878.7879,1292944.7853
Short-term debt,190585496.1832,1856818.1818,4637269.9387
Total current liabilities,333103053.4351,56943181.8182,6130368.0982
Long-term debt,301647328.2443,152090909.0909,3404907.9755
Total debt,492232824.4275,153947727.2727,8042177.9141
Deferred revenue,571755.7252,1716666.6667,21472.3926
Tax Liabilities,0.0,1256818.1818,0.0
Deposit Liabilities,0.0,0.0,0.0
Total non-current liabilities,516349618.3206,195771969.697,3404907.9755
Total liabilities,849452671.7557,252715151.5152,9535276.0736
Other comprehensive income,-109290076.3359,-403787.8788,0.0
Retained earnings (deficit),-216517557.2519,66476515.1515,-12972392.638
Total shareholders equity,3347814503.8168,1173003030.303,4572085.8896
Investments,200070992.3664,298204545.4545,1366564.4172
Net Debt,,,
Other Assets,,,
Other Liabilities,4333587.7863,2973484.8485,200153.3742
