date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2017-03-28_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2004-02-29_FY,2003-02-28_FY,2002-02-28_FY,2001-02-28_FY,2000-02-29_FY,1999-02-28_FY,1998-02-28_FY,1997-02-28_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,225600000.0,-284600000.0,-194400000.0,-307000000.0,-307900000.0,-2114800000.0,-1383073000.0,-446247000.0,442064000.0,548294000.0,451444000.0,192631000.0,434772000.0,157243064.0,-70162452.1,-4109796.7,2800000.0,1007646.0,-3391949.0,-11029005.0,-2391567.0,-2344989.0,-24038143.0,-5704225.0,-1827886.0
,depreciationAndAmortization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4500000.0,2429895.0,9858.0,2172637.0,37619.0,68970.0,66221.0,70423.0,0.0
,deferredIncomeTax,-2500000.0,5700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22654000.0,54435000.0,-45928000.0,0.0,0.0,0.0,400000.0,495301.0,1017491.0,-143650.0,0.0,0.0,0.0,0.0,73115.0
,stockBasedCompensation,15000000.0,5300000.0,12600000.0,0.0,14200000.0,11200000.0,5831000.0,7682000.0,26293000.0,20429000.0,12249000.0,10470000.0,4493000.0,726787.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-68700000.0,-162100000.0,-14000000.0,0.0,25300000.0,-138800000.0,-81069000.0,-54726000.0,113111000.0,-40591000.0,-133661000.0,32407000.0,-96892000.0,5236081.6,-39709705.8,0.0,300000.0,538209.0,243566.0,600221.0,-84069.0,275881.0,-132442.0,1126761.0,-1023616.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33537000.0,-83747000.0,-40802000.0,33689000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-1500000.0,-67000000.0,-17800000.0,0.0,11000000.0,-3900000.0,-32456000.0,-44539000.0,-77347000.0,-40571000.0,-18182000.0,-33313000.0,-34135000.0,-30685686.8,0.0,0.0,-2000000.0,-1610676.0,0.0,275105.0,-356944.0,0.0,0.0,0.0,-219346.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19092000.0,0.0,94202000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-23700000.0,-26600000.0,8700000.0,0.0,-17800000.0,-29300000.0,868000.0,-613000.0,-5851000.0,14750000.0,-107419000.0,-37696000.0,0.0,-33914068.4,3675297.6,0.0,0.0,0.0,243566.0,0.0,0.0,0.0,-1.0,1.0,0.0
,otherNonCashItems,89000000.0,170900000.0,117300000.0,0.0,228000000.0,352000000.0,135008000.0,61353000.0,69221000.0,92271000.0,-3208000.0,-52834000.0,-178654000.0,-130795631.9,37053360.9,3696924.7,500000.0,0.0,0.0,0.0,0.0,0.0,66221.0,-1.0,-73116.0
,netCashProvidedByOperatingActivites,521800000.0,404200000.0,484000000.0,651000000.0,664800000.0,531200000.0,529471000.0,653135000.0,1158057000.0,1225782000.0,614672000.0,551593000.0,328675000.0,283451101.4,-8719015.3,6662721.9,8500000.0,5590653.0,-802321.0,411733.0,-871850.0,-1172495.0,-2052844.0,-1971831.0,-2851503.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-331700000.0,-446900000.0,-643800000.0,0.0,-495400000.0,-378800000.0,-662111000.0,-1047526000.0,-1537994000.0,-822223000.0,-481972000.0,-498757000.0,-122254000.0,-288733360.1,-219300610.0,-179969184.5,-26600000.0,-5961046.0,-72126.0,-179986.0,-100292.0,-2413960.0,-6092312.0,-12816901.0,-8188930.0
,acquisitionsNet,825000000.0,190000000.0,18000000.0,18000000.0,74000000.0,-31000000.0,-404000000.0,0.0,0.0,0.0,0.0,-26000000.0,0.0,-417000000.0,67000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,-5200000.0,0.0,0.0,-7600000.0,-29700000.0,-83647000.0,-3825000.0,-2796000.0,-25443000.0,0.0,0.0,0.0,0.0,0.0,-12583994.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,17500000.0,0.0,33600000.0,18600000.0,66577000.0,0.0,0.0,1626000.0,12204000.0,20411000.0,8222000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,-61300000.0,-67400000.0,-17900000.0,0.0,28600000.0,-3100000.0,59216000.0,-12305000.0,20372000.0,-36469000.0,5816000.0,-26591000.0,-14209000.0,0.0,-26543816.0,0.0,0.0,0.0,-18880.0,-840867.0,-1471168.0,0.0,-66221.0,-704226.0,11552241.0
,netCashUsedForInvestingActivites,432000000.0,-329600000.0,-644200000.0,-367000000.0,-379900000.0,-392200000.0,-1096900000.0,-1053410000.0,-1498030000.0,-846075000.0,-444822000.0,-495856000.0,-559715000.0,-689845720.0,-179027437.1,-192553179.0,-27100000.0,-28058837.0,-91006.0,-996491.0,-1647579.0,-2207049.0,-6158533.0,-13521127.0,3363311.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-952500000.0,-486500000.0,-460900000.0,0.0,-484500000.0,-688600000.0,-520133000.0,-100000000.0,-167632000.0,-55000000.0,-45000000.0,-596891000.0,-95621000.0,-53278334.9,-115414553.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
