Date,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2013-12,2012-12-31,2012-12,2011-12-31,2011-12,2010-12,2009-12
Cash and cash equivalents,881000000.0,145000000.0,96000000.0,41871000.0,17229000.0,102000000.0,64994000.0,20000000.0,22000.0,163000000.0,187000000.0,144000000.0
Short-term investments,1100000000.0,1295000000.0,4017000000.0,0.0,0.0,,0.0,,0.0,,,
Cash and short-term investments,1981000000.0,1440000000.0,4113000000.0,41871000.0,17229000.0,,64994000.0,,22000.0,,,
Receivables,0.0,0.0,0.0,377078000.0,222409000.0,523000000.0,133543000.0,562000000.0,81297000.0,493000000.0,404000000.0,41000000.0
Inventories,113000000.0,138000000.0,127000000.0,0.0,0.0,193000000.0,0.0,173000000.0,0.0,148000000.0,195000000.0,000000.0
Total current assets,2142000000.0,1414000000.0,1439000000.0,463404000.0,257931000.0,21444000000.0,215257000.0,18859000000.0,88188000.0,13466000000.0,12506000000.0,1120000000.0
Property Plant & Equipment Net,27912000000.0,28021000000.0,28600000000.0,6052469000.0,5290800000.0,16488000000.0,4636557000.0,14287000000.0,2527924000.0,11627000000.0,11001000000.0,634000000.0
Goodwill and Intangible Assets,0.0,0.0,10016000000.0,348683000.0,372391000.0,2288000000,355217000.0,2351000000,158621000.0,0,0,0
Long-term investments,0.0,0.0,0.0,2229986000.0,1936603000.0,2187000000.0,1297811000.0,1800000000.0,886558000.0,1383000000.0,1045000000.0,461000000.0
Tax assets,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,
Total non-current assets,43761000000.0,44851000000.0,46431000000.0,8680173000.0,7659515000.0,10520000000.0,6345843000.0,9477000000.0,3595050000.0,7880000000.0,7115000000.0,1019000000.0
Total assets,45903000000.0,46265000000.0,47870000000.0,9143577000.0,7917446000.0,22358000000.0,6561100000.0,19709000000.0,3683238000.0,14380000000.0,13396000000.0,1324000000.0
Payables,957000000.0,589000000.0,648000000.0,32575000.0,37520000.0,921000000.0,47987000.0,968000000.0,57546000.0,611000000.0,468000000.0,39000000.0
Short-term debt,501000000.0,785000000.0,176000000.0,3679000.0,15000000.0,225000000.0,15000000.0,000000.0,62823000.0,324000000.0,458000000.0,000000.0
Total current liabilities,2449000000.0,2699000000.0,2221000000.0,245819000.0,306472000.0,1694000000.0,259261000.0,1349000000.0,143094000.0,1272000000.0,1205000000.0,89000000.0
Long-term debt,15996000000.0,17685000000.0,19001000000.0,4295055000.0,3249230000.0,9057000000.0,2500000000.0,8437000000.0,1062900000.0,6913000000.0,6365000000.0,1000000000.0
Total debt,16497000000.0,18470000000.0,19177000000.0,4298734000.0,3264230000.0,9057000000.0,2515000000.0,8437000000.0,1125723000.0,6913000000.0,6365000000.0,1000000000.0
Deferred revenue,361000000.0,338000000.0,0.0,0.0,0.0,000000.0,0.0,000000.0,0.0,000000.0,000000.0,5000000.0
Tax Liabilities,0.0,0.0,0.0,22643000.0,0.0,,0.0,,0.0,,,
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,
Total non-current liabilities,18821000000.0,17705000000.0,19120000000.0,4385441000.0,3258184000.0,10520000000.0,2505333000.0,9477000000.0,1066999000.0,7880000000.0,7115000000.0,1019000000.0
Total liabilities,23873000000.0,24812000000.0,24989000000.0,5108950000.0,3818540000.0,12214000000.0,2876267000.0,10826000000.0,1210093000.0,9152000000.0,8320000000.0,1108000000.0
Other comprehensive income,22040000000,21455000000,23225000000,4034627000,4098906000,11595000000.0,3684833000,10370000000.0,2473145000,6808000000.0,6561000000.0,1630000000.0
Retained earnings (deficit),-5000000.0,-1000000.0,-172000000.0,0.0,0.0,,0.0,,0.0,,,
Total shareholders equity,22030000000.0,21453000000.0,22881000000.0,4034627000.0,4098906000.0,10144000000.0,3684833000.0,8883000000.0,2473145000.0,5228000000.0,5076000000.0,215000000.0
Investments,1100000000.0,1295000000.0,4017000000.0,2229986000.0,1936603000.0,2187000000.0,1297811000.0,1800000000.0,886558000.0,1383000000.0,1045000000.0,461000000.0
Net Debt,15616000000.0,18325000000.0,19081000000.0,4256863000.0,3247001000.0,9180000000,2450006000.0,8417000000,1125701000.0,7074000000,6636000000,856000000
Other Assets,0.0,0.0,0.0,0.0,0.0,577000000,0.0,516000000,0.0,566000000,564000000,36000000
Other Liabilities,2603000000.0,4408000000.0,3648000000.0,477690000.0,253884000.0,1481000000,111673000.0,1297000000,0.0,1199000000,924000000,31000000
