date,,2020-09-30_FY,2019-09-30_FY,2018-09-30_FY,2017-09-30_FY,2016-09-30_FY,2015-09-30_FY,2014-09-30_FY,2013-09-30_FY,2012-09-30_FY,2011-09-30_FY,2010-09-30_FY,2009-09-30_FY,2008-09-30_FY,2007-09-30_FY,2006-09-30_FY,2005-09-30_FY,2004-09-30_FY,2003-09-30_FY,2002-09-30_FY,2001-09-30_FY,2000-09-30_FY,1999-09-30_FY,1998-09-30_FY,1997-09-30_FY,1996-09-30_FY,1994-09-30_FY,1993-09-30_FY,1992-09-30_FY,1991-09-30_FY,1990-09-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,2290000000.0,6784000000.0,8095000000.0,7990000000.0,7445000000.0,8012000000.0,7561000000.0,6816000000.0,5970000000.0,6991000000.0,6346000000.0,3446000000.0,3864104040.0,3453442000.0,3067684000.0,2822238720.0,2578168040.0,2183826150.0,2191730100.0,1902639200.0,1714864760.0,1456352536.0,1273077368.0,1289789280.0,1134992978.0,704629940.0,39358704.0,-1555433640.0,476705306.0,684926316.0
,depreciationAndAmortization,2473000000.0,1079000000.0,1144000000.0,1269000000.0,1208000000.0,1671000000.0,1020000000.0,904000000.0,850000000.0,721000000.0,720000000.0,610000000.0,328000000.0,311000000.0,280000000.0,450455040.0,427404190.0,413235790.0,373883370.0,393509600.0,270768120.0,237105596.0,244218872.0,217858638.0,0.0,164165940.0,177347520.0,189053604.0,0.0,192196238.0
,deferredIncomeTax,-1112000000.0,-541000000.0,-96000000.0,-34000000.0,-285000000.0,-78000000.0,332000000.0,175000000.0,0.0,0.0,0.0,0.0,0.0,59678000.0,25452400.0,157593600.0,-136054710.0,166176670.0,-322313250.0,-12170400.0,97623880.0,-19005232.0,-113079920.0,-408571070.0,0.0,-113632556.0,-95363184.0,-249232410.0,0.0,0.0
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,50395000000.0,-1501000000.0,9145000000.0,-7233000000.0,-3768000000.0,-10813000000.0,19203000000.0,15121000000.0,5448000000.0,-3604000000.0,-4996000000.0,-2088000000.0,-9704000000.0,-18000000.0,-2353000000.0,-749882880.0,-997734540.0,-357353370.0,1622616990.0,-271805600.0,259716360.0,34025496.0,901770168.0,-318588976.0,0.0,1368049500.0,-389231136.0,-836359740.0,0.0,584223243.0
,accountsReceivables,239000000.0,132000000.0,-83000000.0,-75000000.0,25000000.0,115000000.0,-64000000.0,84000000.0,134000000.0,-194000000.0,-357000000.0,345000000.0,-280000000.0,-174000000.0,-90000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-1260000000.0,-341000000.0,241000000.0,148000000.0,-47000000.0,-291000000.0,-53000000.0,-376000000.0,54000000.0,236000000.0,1455000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,33818000000.0,2754000000.0,36352000000.0,12504000000.0,35678000000.0,31576000000.0,39979000000.0,31547000000.0,4426000000.0,-3185000000.0,-4117000000.0,-3252000000.0,-9527000000.0,-173000000.0,-2325000000.0,-958694400.0,-869925570.0,301470950.0,1781010930.0,-298174800.0,189721880.0,-165069636.0,844723880.0,-621331182.0,0.0,1146324144.0,-645451632.0,-199804806.0,0.0,858339189.0
,otherNonCashItems,1232000000.0,311000000.0,621000000.0,-200000000.0,-379000000.0,-273000000.0,-565000000.0,1567000000.0,-179000000.0,-283000000.0,-756000000.0,435000000.0,-32000000.0,1000000.0,112000000.0,1889809920.0,3659734270.0,1927943490.0,-99456660.0,1782963600.0,-173144240.0,-1207292036.0,-316286224.0,-775527144.0,0.0,931084356.0,1352819328.0,4840135290.0,0.0,1996732291.0
,netCashProvidedByOperatingActivites,58651000000.0,7104000000.0,19802000000.0,2820000000.0,5497000000.0,-541000000.0,28371000000.0,25580000000.0,18484000000.0,-12014000000.0,468000000.0,20761000000.0,-10727000000.0,-1275000000.0,-1028000000.0,4570214400.0,5491662840.0,6092654370.0,3766460550.0,3651120000.0,2169828880.0,501186360.0,1989700264.0,4960728.0,0.0,3054297180.0,1084931232.0,2388163104.0,476705306.0,3458078088.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-240000000.0,-280000000.0,-310000000.0,-264000000.0,-521000000.0,-677000000.0,-515000000.0,-304000000.0,-252000000.0,-402000000.0,-366000000.0,-285000000.0,-195000000.0,-147000000.0,-225000000.0,0.0,0.0,0.0,-283635660.0,-298174800.0,-418124920.0,-362019016.0,-398311360.0,-317762188.0,0.0,-135926696.0,-100185792.0,-113515938.0,0.0,-568469453.0
,acquisitionsNet,0.0,-1000000.0,9000000.0,0.0,-104000000.0,648000000.0,-7744000000.0,0.0,-270000000.0,0.0,0.0,374000000.0,162000000.0,0.0,120000000.0,0.0,-546967420.0,-823530400.0,-327838620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-51340000000.0,-29552000000.0,-24406000000.0,-27080000000.0,-24724000000.0,-26551000000.0,-12443000000.0,-11802000000.0,-8783000000.0,-7978000000.0,-12962000000.0,-3271000000.0,-4875000000.0,-4009000000.0,-1198000000.0,-598855680.0,-654162040.0,-2114708420.0,-1873100430.0,-866126800.0,-1906428600.0,-444170664.0,-656538640.0,-1346699854.0,0.0,-1994447276.0,-9724866816.0,-11488287654.0,0.0,-657781324.0
,salesMaturitiesOfInvestments,33080000000.0,19813000000.0,23878000000.0,26347000000.0,18779000000.0,8471000000.0,6768000000.0,5043000000.0,3651000000.0,2845000000.0,3080000000.0,5417000000.0,4514000000.0,2431000000.0,2348000000.0,1696757760.0,711882220.0,1448531150.0,826963710.0,849899600.0,1534352680.0,295040900.0,980757336.0,1944191982.0,0.0,2387634836.0,11087020224.0,9642013056.0,0.0,0.0
