Date,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31
Cash and cash equivalents,2593000.0,2459000.0,2234000.0,867000.0,0.0
Short-term investments,0.0,10967000.0,0.0,0.0,0.0
Cash and short-term investments,2593000.0,13426000.0,2234000.0,867000.0,0.0
Receivables,119955000.0,59536000.0,57757000.0,113161000.0,30033000.0
Inventories,21609000.0,13093000.0,13793000.0,13045000.0,5549000.0
Total current assets,4134691000.0,3530200000.0,2938814000.0,2324916000.0,1575717000.0
Property, Plant & Equipment Net,2394337000.0,2079232000.0,2025018000.0,1853081000.0,1116806000.0
Goodwill and Intangible Assets,502569000.0,436810000.0,439834000.0,447826000.0,437282000.0
Long-term investments,909531000.0,475625000.0,0.0,0.0,0.0
Tax assets,312997000.0,521454000.0,452430000.0,0.0,0.0
Total non-current assets,2311958000.0,1563044000.0,906143000.0,565478000.0,139572000.0
Total assets,4292013000.0,3625480000.0,3016660000.0,2457197000.0,1631413000.0
Payables,104224000.0,30273000.0,29973000.0,66244000.0,156589000.0
Short-term debt,0.0,0.0,0.0,0.0,0.0
Total current liabilities,258876000.0,133022000.0,89019000.0,96568000.0,182740000.0
Long-term debt,2292993000.0,1555981000.0,901000000.0,559000000.0,135000000.0
Total debt,2292993000.0,1555981000.0,901000000.0,559000000.0,135000000.0
Deferred revenue,88471000.0,60757000.0,26511000.0,5468000.0,538000.0
Tax Liabilities,19272000.0,16996000.0,13844000.0,3989000.0,5520000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,2311958000.0,1563044000.0,906143000.0,565478000.0,139572000.0
Total liabilities,2570834000.0,1696066000.0,995162000.0,662046000.0,322312000.0
Other comprehensive income,0.0,0.0,0.0,0.0,0.0
Retained earnings (deficit),,,,,
Total shareholders equity,48613000.0,333262000.0,422310000.0,146866000.0,991162000.0
Investments,909531000.0,486592000.0,0.0,0.0,0.0
Net Debt,2290400000.0,1542555000.0,898766000.0,558133000.0,135000000.0
Other Assets,13165000.0,9225000.0,4062000.0,5208000.0,20114000.0
Other Liabilities,154652000.0,102749000.0,59046000.0,30324000.0,26151000.0
