date,,2020-10-31_FY,2019-10-31_FY,2018-10-31_FY,2017-10-31_FY,2016-10-31_FY,2015-10-31_FY,2014-10-31_FY,2013-10-31_FY,2012-10-31_FY,2011-10-31_FY,2010-10-31_FY,2009-10-31_FY,2008-10-31_FY,2007-10-31_FY,2006-10-31_FY,2005-10-31_FY,2004-10-31_FY,2003-10-31_FY,2002-10-31_FY,2001-10-31_FY,2000-10-31_FY,1999-10-31_FY,1999-09-30_FY,1998-09-30_FY,1997-09-30_FY,1996-09-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,664347000.0,532367000.0,432518000.0,136563000.0,266826000.0,225934000.0,259124000.0,247800000.0,182402000.0,221364000.0,237063000.0,167681000.0,189978000.0,130491000.0,24742000.0,-15478000.0,74337000.0,149724000.0,-199993000.0,56802000.0,97778000.0,-15500000.0,161400000.0,91700000.0,72400000.0,23700000.0
,depreciationAndAmortization,209986000.0,201676000.0,209207000.0,189442000.0,207032000.0,211821000.0,192826000.0,187404000.0,156840000.0,128550000.0,101201000.0,101453000.0,97143000.0,105367000.0,114490000.0,175057000.0,192774000.0,184110000.0,116100000.0,65162000.0,63770000.0,4900000.0,52000000.0,44200000.0,30400000.0,18700000.0
,deferredIncomeTax,-111526000.0,-82620000.0,-210310000.0,123052000.0,-14037000.0,36883000.0,-17100000.0,-676000.0,12850000.0,22278000.0,38356000.0,25942000.0,-12249000.0,-972000.0,-25180000.0,-14647000.0,-50855000.0,-30503000.0,-128167000.0,-58831000.0,-37685000.0,-12600000.0,-5100000.0,-6600000.0,-20800000.0,-11900000.0
,stockBasedCompensation,248584000.0,155001000.0,140032000.0,108294000.0,97583000.0,86400000.0,79440000.0,67511000.0,71414000.0,56414000.0,59988000.0,56934000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-188458000.0,-76278000.0,-150490000.0,73757000.0,28299000.0,-62824000.0,44912000.0,-4568000.0,59006000.0,10589000.0,-91146000.0,-123954000.0,1011000.0,129014000.0,26097000.0,128375000.0,27732000.0,2911000.0,-96280000.0,-166602000.0,-290143000.0,-5200000.0,126800000.0,220000000.0,123100000.0,-2100000.0
,accountsReceivables,-236806000.0,-8575000.0,-95785000.0,2296000.0,-43269000.0,-56533000.0,-65018000.0,37590000.0,-53395000.0,-18974000.0,-16202000.0,22830000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25600000.0,0.0,0.0,0.0,0.0
,inventory,-55024000.0,-19243000.0,-66509000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,113773000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10566000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,409295000.0,-13536000.0,-558618000.0,68484000.0,1992000.0,-14552000.0,117976000.0,225058000.0,-111983000.0,329245000.0,325987000.0,649207000.0,413307000.0,296463000.0,23394000.0,130799000.0,171878000.0,434247000.0,151946000.0,165255000.0,331857000.0,622000000.0,627200000.0,500400000.0,280400000.0,157300000.0
,otherNonCashItems,66604000.0,62750000.0,0.0,0.0,0.0,0.0,0.0,0.0,452000.0,221364000.0,-431000.0,11819000.0,51809000.0,70734000.0,64958000.0,0.0,0.0,0.0,0.0,-10580000.0,0.0,2700000.0,100000.0,0.0,-100000.0,59100000.0
,netCashProvidedByOperatingActivites,991313000.0,800513000.0,424232000.0,634565000.0,586635000.0,495160000.0,550953000.0,496705000.0,486068000.0,440316000.0,341036000.0,239159000.0,331088000.0,433478000.0,205890000.0,269190000.0,264037000.0,391534000.0,-181049000.0,295826000.0,151115000.0,900000.0,223300000.0,144100000.0,109600000.0,88300000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-154717000.0,-198129000.0,-98976000.0,-70328000.0,-66909000.0,-86965000.0,-103275000.0,-65459000.0,-54191000.0,-57345000.0,-39223000.0,-39199000.0,-41743000.0,-47289000.0,-51407000.0,-43563000.0,-45005000.0,-50148000.0,-48755000.0,-82490000.0,-68500000.0,-12500000.0,-112300000.0,-88400000.0,-54500000.0,-39300000.0
,acquisitionsNet,-201045000.0,-37000000.0,-653000000.0,-259000000.0,-60000000.0,-340000000.0,-395000000.0,0.0,-970000000.0,-41000000.0,-501000000.0,-53000000.0,-185000000.0,-57000000.0,-41000000.0,-174000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-2762000.0,-3245000.0,-3561000.0,-155098000.0,-169714000.0,-238902000.0,0.0,0.0,-18179000.0,-127385000.0,-243515000.0,-387202000.0,-572672000.0,-451720000.0,-366926000.0,-372984000.0,-1056863000.0,-326599000.0,-774574000.0,-1939860000.0,-2679135000.0,0.0,-27600000.0,-127800000.0,-55500000.0,-101400000.0
,salesMaturitiesOfInvestments,2151000.0,6361000.0,12943000.0,296472000.0,158135000.0,109173000.0,7774000.0,989000.0,166638000.0,139811000.0,547686000.0,290709000.0,597979000.0,284615000.0,305698000.0,422523000.0,992712000.0,288779000.0,932331000.0,2081366000.0,2806949000.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,2100000.0,0.0,900000.0,-3488000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2953000.0,-2739000.0,-170360000.0,-1592000.0,-1313000.0,2697000.0,0.0,0.0,11000000.0,5200000.0,-12400000.0
,netCashUsedForInvestingActivites,-360418000.0,-235877000.0,-743525000.0,-189282000.0,-142675000.0,-559629000.0,-497250000.0,-66079000.0,-879123000.0,-88819000.0,-238733000.0,-191902000.0,-201086000.0,-245569000.0,-153777000.0,-171475000.0,-172033000.0,-258328000.0,275721000.0,61825000.0,47537000.0,6200000.0,-96900000.0,-153300000.0,-99800000.0,-153100000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
