date,,2020-12-26_FY,2019-12-28_FY,2018-12-29_FY,2017-12-30_FY,2016-12-31_FY,2015-12-26_FY,2014-12-27_FY,2013-12-28_FY,2012-12-29_FY,2011-12-31_FY,2010-12-25_FY,2009-12-26_FY,2008-12-27_FY,2007-12-29_FY,2006-12-30_FY,2005-12-31_FY,2004-12-25_FY,2003-12-27_FY,2002-12-28_FY,2001-12-29_FY,2000-12-30_FY,1999-12-25_FY,1998-12-26_FY,1997-12-27_FY,1996-12-28_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,340983000.0,179650000.0,148598000.0,119512000.0,101179000.0,80595000.0,57551000.0,43100000.0,23900000.0,4549000.0,17400000.0,24300000.0,4300000.0,21000000.0,70100000.0,67373000.0,48600000.0,40100000.0,36600000.0,36100000.0,30400000.0,31400000.0,26400000.0,17000000.0,17800000.0,14100000.0,10700000.0,10400000.0
,depreciationAndAmortization,63964000.0,66819000.0,61342000.0,53396000.0,43618000.0,41241000.0,36323000.0,33600000.0,33400000.0,35987000.0,37300000.0,41200000.0,47400000.0,47500000.0,39600000.0,34796000.0,30900000.0,27200000.0,24400000.0,24500000.0,21500000.0,18200000.0,15100000.0,10000000.0,8700000.0,7600000.0,5700000.0,4700000.0
,deferredIncomeTax,1857000.0,7176000.0,857000.0,-8629000.0,2464000.0,-1369000.0,4926000.0,4500000.0,2500000.0,-1939000.0,-2700000.0,4700000.0,-7700000.0,-4100000.0,-1100000.0,-7377000.0,800000.0,1700000.0,3100000.0,4600000.0,200000.0,-800000.0,1300000.0,-600000.0,-600000.0,1100000.0,900000.0,-1500000.0
,stockBasedCompensation,4034000.0,4000000.0,3600000.0,3805000.0,2335000.0,1846000.0,1919000.0,1874000.0,1270000.0,1361000.0,2418000.0,1597000.0,1136000.0,505000.0,972000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-2721000.0,89843000.0,-96784000.0,-35141000.0,18873000.0,42072000.0,-27914000.0,-32391000.0,-64090000.0,-32745000.0,-28585000.0,57302000.0,35938000.0,13879000.0,43213000.0,-27455000.0,-31081000.0,-1435000.0,-48451000.0,3700000.0,-3900000.0,24700000.0,9900000.0,-900000.0,11100000.0,1100000.0,32900000.0,-41400000.0
,accountsReceivables,-87552000.0,-16872000.0,-8512000.0,-30787000.0,-5119000.0,-26007000.0,-9710000.0,-17886000.0,-32274000.0,-7043000.0,-18428000.0,31071000.0,4287000.0,19538000.0,41912000.0,0.0,-14100000.0,-32500000.0,-18900000.0,-21900000.0,5600000.0,-7300000.0,-27100000.0,-2000000.0,-9000000.0,0.0,0.0,0.0
,inventory,-76022000.0,73120000.0,-84304000.0,-49262000.0,-3245000.0,34139000.0,-49575000.0,-42287000.0,-45529000.0,-4496000.0,-24946000.0,31522000.0,42922000.0,27795000.0,22262000.0,-36501000.0,-43300000.0,-3600000.0,-45200000.0,2400000.0,8300000.0,-23100000.0,2800000.0,-20800000.0,-24500000.0,12800000.0,28600000.0,-31200000.0
,accountsPayables,62405000.0,-24132000.0,-5213000.0,21159000.0,11259000.0,4798000.0,15390000.0,6756000.0,16281000.0,-9964000.0,9646000.0,0.0,-20153000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,1074613000.0,739030000.0,685108000.0,560241000.0,484661000.0,444057000.0,397500000.0,397546000.0,338400000.0,225399000.0,263600000.0,248100000.0,230300000.0,337800000.0,282900000.0,298027000.0,222600000.0,190400000.0,185300000.0,124100000.0,120400000.0,124300000.0,99600000.0,89700000.0,90600000.0,79500000.0,78400000.0,45500000.0
,otherNonCashItems,0.0,3049000.0,-1142000.0,2917000.0,0.0,1720000.0,-1779000.0,1900000.0,-3500000.0,4716000.0,5900000.0,800000.0,8700000.0,8700000.0,600000.0,0.0,1100000.0,2400000.0,3200000.0,3200000.0,400000.0,500000.0,400000.0,700000.0,0.0,100000.0,100000.0,0.0
,netCashProvidedByOperatingActivites,336477000.0,349291000.0,116685000.0,136583000.0,172520000.0,168796000.0,73120000.0,54400000.0,-5700000.0,11256000.0,29300000.0,126900000.0,75200000.0,87100000.0,152300000.0,74132000.0,50200000.0,70400000.0,20800000.0,78100000.0,67000000.0,32500000.0,66600000.0,19100000.0,3700000.0,41700000.0,43000000.0,-27500000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-89182000.0,-84933000.0,-95862000.0,-71116000.0,-53762000.0,-43522000.0,-45305000.0,-40023000.0,-30344000.0,-33107000.0,-26950000.0,-15604000.0,-18944000.0,-39360000.0,-43504000.0,-40233000.0,-40700000.0,-40700000.0,-33300000.0,-22700000.0,-29400000.0,-35400000.0,-28400000.0,-13600000.0,-9300000.0,-14300000.0,-18000000.0,-14500000.0
,acquisitionsNet,-65255000.0,-39122000.0,-54017000.0,-60587000.0,-80969000.0,-3761000.0,-34641000.0,-11478000.0,-16974000.0,0.0,-6529000.0,0.0,-23338000.0,-57087000.0,-71814000.0,-20747000.0,-10075000.0,-787000.0,-17540000.0,-49534000.0,-32557000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-28054000.0,-13352000.0,-37967000.0,-12977000.0,-5666000.0,-800000.0,-4866000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,2568000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,27773000.0,-4630000.0,66614000.0,7021000.0,-89640000.0,1447000.0,17749000.0,7901000.0,13118000.0,107000.0,-9321000.0,12304000.0,30882000.0,4447000.0,3618000.0,5571000.0,13475000.0,7487000.0,1940000.0,3734000.0,-743000.0,5400000.0,-99700000.0,800000.0,-10100000.0,1600000.0,1300000.0,300000.0
