Date,2018-12-31,2017-12-31,2016-12-31
Cash and cash equivalents,437892000.0,192221000.0,143538000.0
Short-term investments,0.0,0.0,0.0
Cash and short-term investments,437892000.0,192221000.0,143538000.0
Receivables,4069000.0,54524000.0,28051000.0
Inventories,0.0,0.0,0.0
Total current assets,545704000.0,276048000.0,183704000.0
Property Plant & Equipment Net,44219000.0,42492000.0,40723000.0
Goodwill and Intangible Assets,230533000.0,238307000.0,11409000.0
Long-term investments,1887000.0,0.0,0.0
Tax assets,1625000.0,0.0,0.0
Total non-current assets,291180000.0,294789000.0,61633000.0
Total assets,836884000.0,570837000.0,245337000.0
Payables,1028000.0,229488000.0,137756000.0
Short-term debt,5635000.0,0.0,0.0
Total current liabilities,308204000.0,246182000.0,149266000.0
Long-term debt,0.0,107245000.0,30274000.0
Total debt,5635000.0,107245000.0,30274000.0
Deferred revenue,0.0,0.0,0.0
Tax Liabilities,8028000.0,32662000.0,13098000.0
Deposit Liabilities,0.0,0.0,0.0
Total non-current liabilities,17861000.0,146451000.0,45073000.0
Total liabilities,421662000.0,392633000.0,194339000.0
Other comprehensive income,717917000,0.0,0.0
Retained earnings (deficit),-302695000.0,-238617000.0,-200070000.0
Total shareholders equity,415222000.0,-155814000.0,-149084000.0
Investments,1887000.0,0.0,0.0
Net Debt,-432257000.0,-84976000.0,-113264000.0
Other Assets,0.0,29303000.0,12115000.0
Other Liabilities,95597000.0,16694000.0,11510000.0
