Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31
Cash and cash equivalents,21137000.0,17462000.0,11738000.0,110000.0,908876.0,885529.0,1856852.0,3825942.0,6864992.0
Short-term investments,2551000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,23688000.0,17462000.0,11738000.0,110000.0,908876.0,885529.0,1856852.0,3825942.0,6864992.0
Receivables,20546000.0,7426000.0,2247000.0,952000.0,831706.0,467337.0,934591.0,2227466.0,857554.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,46085000.0,25472000.0,14752000.0,1141000.0,1579105.0,1339720.0,2589466.0,5942729.0,7564611.0
Property, Plant & Equipment Net,430903000.0,170381000.0,38551000.0,567000.0,30719863.0,42656354.0,43773283.0,72243321.0,56180596.0
Goodwill and Intangible Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current assets,434688000.0,170472000.0,38767000.0,2567000.0,30995404.0,43166594.0,44963574.0,75345131.0,60557318.0
Total assets,480773000.0,195944000.0,53519000.0,3708000.0,32574509.0,44506314.0,47553040.0,81287860.0,68121929.0
Payables,61658000.0,16948000.0,5166000.0,1331000.0,975749.0,1239152.0,1831590.0,2067243.0,979933.0
Short-term debt,515000.0,853000.0,17000.0,11067000.0,0.0,10662904.0,388351.0,1150967.0,208881.0
Total current liabilities,76967000.0,25435000.0,9035000.0,16613000.0,8138875.0,14035478.0,3630957.0,4648023.0,3128246.0
Long-term debt,157804000.0,200731000.0,31626000.0,0.0,6840076.0,22835802.0,29535142.0,25058738.0,20229801.0
Total debt,158319000.0,201584000.0,31643000.0,11067000.0,6840076.0,33498706.0,29923493.0,26209705.0,20438682.0
Deferred revenue,52513000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,217449000.0,201457000.0,32545000.0,265000.0,8683369.0,24546069.0,31141024.0,26971612.0,20737081.0
Total liabilities,294416000.0,226892000.0,41580000.0,16878000.0,16822244.0,38581547.0,34771981.0,31619635.0,23865327.0
Other comprehensive income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Retained earnings (deficit),-307431000.0,-303288000.0,-223206000.0,-180910000.0,-147828321.0,-115528432.0,-105517459.0,-68479638.0,-49650414.0
Total shareholders equity,13332000.0,-30948000.0,10065000.0,-14343000.0,14066163.0,5924767.0,12781059.0,49668225.0,44170345.0
Investments,2551000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Debt,134631000.0,184122000.0,19905000.0,10957000.0,5931200.0,32613177.0,28066641.0,22383763.0,13573690.0
Other Assets,1851000.0,584000.0,767000.0,79000.0,-161477.0,-13146.0,-201977.0,-110679.0,-157935.0
Other Liabilities,14794000.0,7634000.0,3852000.0,4215000.0,7163126.0,2133422.0,1411016.0,1429813.0,1939432.0
