Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31
Cash and cash equivalents,1002604920.4052,1031741233.3736,597840172.7862,702511169.3114,2488537294.1556
Short-term investments,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,1002604920.4052,1031741233.3736,597840172.7862,702511169.3114,2488537294.1556
Receivables,1592764109.9855,1206620314.3894,932181425.486,1068710522.2616,1506780755.5699
Inventories,245875542.6918,245163240.6288,228653707.7034,247419503.9285,268162738.1337
Total current assets,3157308248.9146,2441203143.8936,1733765298.7761,1907872438.7614,4107523409.7514
Property Plant & Equipment Net,30171201157.7424,28591142684.4015,25292440604.7516,25004313665.0747,24830481110.7523
Goodwill and Intangible Assets,34298118.6686,35822249.0931,26205903.5277,0.0,0.0
Long-term investments,1023589001.4472,721130592.503,678761699.0641,566168541.0568,510332579.916
Tax assets,226628075.2533,251209189.8428,242620590.3528,213680480.6655,155957378.1078
Total non-current assets,32254269175.1085,30355804111.2455,26879481641.4687,26479124942.2277,26178075556.9906
Total assets,3483646888.5673,2703143893.5913,1981857451.4039,2174241257.1253,4446399741.6855
Payables,352532561.5051,336457073.7606,288840892.7286,408565706.3627,341459476.9131
Short-term debt,6989290882.7786,5427599758.162,5103095752.3398,5610537667.5397,4354375201.8082
Total current liabilities,12110998552.822,10516475211.6082,9781425485.9611,10096287166.8464,8731998708.4275
Long-term debt,11337481910.275,12137545344.6191,10408207343.4125,10058850716.3765,13881982563.7714
Total debt,18326772793.0535,17565145102.7811,15511303095.7523,15669388383.9162,18236357765.5796
Deferred revenue,0.0,506499395.4051,420590352.7718,436758588.8153,469809493.0578
Tax Liabilities,151230101.3025,227025392.9867,214254859.6112,154675704.8221,188731030.0291
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,12271056439.9421,13089177750.9069,11164002879.7696,10912032044.3691,14709234743.3
Total liabilities,-7872214182.3444,-6750151148.7304,-5934053275.7379,-5470805731.0122,-2736842105.2632
Other comprehensive income,0.0,0.0,0.0,0.0,0.0
Retained earnings (deficit),7668596237.3372,6022974607.0133,4843484521.2383,4502696040.6717,4186309331.6112
Total shareholders equity,9443849493.4877,7547762998.7908,6257163426.9258,6015251887.2285,5771391669.3574
Investments,80463096.9609,16777509.0689,19438444.9244,18949314.4354,70713593.8005
Net Debt,17262229462.1101,,,,
Other Assets,658711808.3185,,,,
Other Liabilities,4769175108.5383,4752418379.6856,4389488840.8927,4077183792.944,4036164029.7062
