Date,2018-12-31,2017-12-31
Cash and cash equivalents,472982758.6207,206609843.9376
Short-term investments,386206.8966,295318.1273
Cash and short-term investments,473368965.5173,206905162.0649
Receivables,21767816.092,5492196.8788
Inventories,6654022.9885,4653061.2245
Total current assets,516047126.4368,227655462.1849
Property Plant & Equipment Net,133294252.8736,121873949.5798
Goodwill and Intangible Assets,101197701.1494,100284513.8055
Long-term investments,20689.6552,22809.1236
Tax assets,1024137.931,824729.892
Total non-current assets,234511494.2529,222180072.0288
Total assets,750558620.6897,449835534.2137
Payables,47955172.4138,63070828.3313
Short-term debt,9501149.4253,4527010.8043
Total current liabilities,144966666.6667,190328931.5726
Long-term debt,62319540.2299,60442977.1909
Total debt,71820689.6552,64969987.9952
Deferred revenue,0.0,0.0
Tax Liabilities,341379.3103,0.0
Deposit Liabilities,0.0,0.0
Total non-current liabilities,298695402.2989,317378151.2605
Total liabilities,443662068.9655,507707082.8331
Other comprehensive income,0.0,0.0
Retained earnings (deficit),-282495402.2989,-237398559.4238
Total shareholders equity,305922988.5057,-59178871.5486
Investments,406896.5517,318127.2509
Net Debt,,
Other Assets,,
Other Liabilities,87510344.8276,122731092.437
