date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,427645000.0,727829000.0,-63222000.0,37472000.0,80611000.0,73584000.0,263091000.0,279600000.0,107400000.0,102500000.0,74083257.0
,depreciationAndAmortization,78911000.0,112332000.0,32471000.0,35618000.0,41952000.0,45473000.0,36323000.0,31465000.0,21130000.0,12292000.0,8117398.0
,deferredIncomeTax,-13179000.0,-2977000.0,286000.0,-6153000.0,-18344000.0,-11398000.0,-3226000.0,-5275000.0,-5573000.0,-11318000.0,1572295.0
,stockBasedCompensation,9383000.0,20221000.0,13989000.0,20852000.0,1890000.0,34354000.0,53181000.0,16723000.0,6759000.0,66092000.0,16561229.0
,changeInWorkingCapital,-235715000.0,-157375000.0,-57873000.0,65504000.0,59459000.0,-12165000.0,-79678000.0,42960000.0,-44586000.0,-97489000.0,-15444088.0
,accountsReceivables,-149780000.0,-79203000.0,-29979000.0,-44575000.0,55308000.0,-59772000.0,-180904000.0,-74982000.0,-104792000.0,-136980000.0,-42774317.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-27719000.0,-51113000.0,-6102000.0,5602000.0,-31539000.0,24415000.0,63419000.0,69493000.0,27135000.0,66795000.0,31469279.0
,otherWorkingCapital,-36340000.0,-25750000.0,-19194000.0,43865000.0,17640000.0,-5251000.0,10762000.0,9509000.0,209000.0,11431000.0,3890915.0
,otherNonCashItems,-370154000.0,-1030335000.0,-2475000.0,19687000.0,38118000.0,90964000.0,3783000.0,-17671000.0,24450000.0,-7440000.0,785766.0
,netCashProvidedByOperatingActivites,-103109000.0,-330305000.0,-76824000.0,172980000.0,203686000.0,220812000.0,273474000.0,347802000.0,109580000.0,64637000.0,85675857.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,-55950000.0,-27800000.0,-29282000.0,-43457000.0,-35387000.0,-29238000.0,-79583000.0,-33477000.0,-18058546.0
,acquisitionsNet,-82000000.0,114589000.0,-68557000.0,0.0,0.0,-10643000.0,-51940000.0,0.0,0.0,14300000.0,0.0
,purchasesOfInvestments,-6456943000.0,-9175619000.0,-3365720000.0,-2754930000.0,-3199923000.0,-3640352000.0,-3602084000.0,-186407000.0,-1221801000.0,-1560002000.0,0.0
,salesMaturitiesOfInvestments,7100366000.0,10247287000.0,3199558000.0,2797282000.0,3189803000.0,2562584000.0,4082583000.0,327309000.0,1772414000.0,775979000.0,0.0
,otherInvestingActivites,184796000.0,274137000.0,175957000.0,-20942000.0,-503747000.0,-125000000.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,746219000.0,1460394000.0,-114712000.0,-6390000.0,-543149000.0,-1256868000.0,393172000.0,111664000.0,471030000.0,-803200000.0,-18058546.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-7630000.0,-267886000.0,-330000000.0,-357113000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,893098000.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,-66417000.0,-242500000.0,-65198000.0,-61160000.0,0.0,0.0
,dividendsPaid,-645244000.0,-703145000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,13212000.0,-143589000.0,254169000.0,340879000.0,217148000.0,130783000.0,18756000.0,519000.0,1050000.0,-29918000.0,620395.0
,netCashUsedProvidedByFinancingActivities,-639662000.0,-1114620000.0,-75831000.0,-16234000.0,217148000.0,64366000.0,-223744000.0,-64679000.0,-60110000.0,863180000.0,620395.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,-38563000.0,-35191000.0,11477000.0,-8090000.0,14340000.0,-3488000.0,-2193000.0,-2818000.0,-1497000.0,-14624000.0,-4150110.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,11725000.0,-19722000.0,-255890000.0,142266000.0,-107975000.0,-975178000.0,440709000.0,391969000.0,519003000.0,109993000.0,64087596.0
,cashAtEndOfPeriod,388835000.0,423950000.0,443672000.0,699562000.0,202694000.0,310669000.0,1285847000.0,1308138000.0,916169000.0,397166000.0,287173450.0
,cashAtBeginningOfPeriod,377110000.0,443672000.0,699562000.0,557296000.0,310669000.0,1285847000.0,845138000.0,916169000.0,397166000.0,287173000.0,223085854.0
,operatingCashFlow,-103109000.0,-330305000.0,-76824000.0,172980000.0,203686000.0,220812000.0,273474000.0,347802000.0,109580000.0,64637000.0,85675857.0
,capitalExpenditure,-12090000.0,-83837000.0,-55950000.0,-27800000.0,-29282000.0,-43457000.0,-35387000.0,-29238000.0,-79583000.0,-33477000.0,-18058546.0
,freeCashFlow,-115199000.0,-414142000.0,-132774000.0,145180000.0,174404000.0,177355000.0,238087000.0,318564000.0,29997000.0,31160000.0,67617311.0
