date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2006-02-22_FY,2005-12-31_FY,2005-02-22_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,2998000000.0,6093000000.0,6147000000.0,754000000.0,-67000000.0,2102000000.0,3695000000.0,3789000000.0,5681000000.0,4928000000.0,2700000000.0,895000000.0,3557000000.0,3541000000.0,3537000000.0,0.0,2854000000.0,0.0,2035000000.0,1099000000.0,798000000.0,805000000.0,1053000000.0,946000000.0,1513000000.0,1665000000.0,1361000000.0,1136000000.0,955000000.0,652000000.0,-2435000000.0,-404000000.0,210000000.0,497000000.0
,depreciationAndAmortization,2432000000.0,2577000000.0,2766000000.0,2877000000.0,3034000000.0,3046000000.0,3163000000.0,3087000000.0,2813000000.0,2527000000.0,2296000000.0,2336000000.0,1980000000.0,1797000000.0,1602000000.0,1477000000.0,1477000000.0,1397000000.0,1397000000.0,1347000000.0,1220000000.0,1169000000.0,1022000000.0,945000000.0,865000000.0,738000000.0,696000000.0,682000000.0,683000000.0,668000000.0,654000000.0,602000000.0,533000000.0,471000000.0
,deferredIncomeTax,-74000000.0,28000000.0,220000000.0,1213000000.0,-431000000.0,-307000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-417000000.0,2187000000.0,1072000000.0,3478000000.0,-2280000000.0,-2875000000.0,-48000000.0,-1731000000.0,3202000000.0,-223000000.0,2293000000.0,1933000000.0,2332000000.0,-609000000.0,143000000.0,0.0,-948000000.0,0.0,476000000.0,886000000.0,160000000.0,-829000000.0,397000000.0,42000000.0,79000000.0,1665000000.0,172000000.0,-313000000.0,511000000.0,90000000.0,-401000000.0,69000000.0,-162000000.0,-11000000.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1345000000.0,0.0,0.0,0.0,0.0,0.0,-908000000.0,0.0,-7616000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-34000000.0,274000000.0,-1579000000.0,-1295000000.0,1109000000.0,2274000000.0,101000000.0,2658000000.0,-1149000000.0,-2927000000.0,-2667000000.0,2501000000.0,-833000000.0,-745000000.0,-827000000.0,-568000000.0,-568000000.0,-1391000000.0,-1391000000.0,-286000000.0,162000000.0,-211000000.0,-54000000.0,312000000.0,-104000000.0,-375000000.0,-111000000.0,-77000000.0,-315000000.0,154000000.0,188000000.0,0.0,15000000.0,-137000000.0
,accountsPayables,98000000.0,-1025000000.0,709000000.0,1478000000.0,-200000000.0,-1165000000.0,222000000.0,134000000.0,-1868000000.0,1555000000.0,2570000000.0,-2034000000.0,656000000.0,0.0,0.0,532000000.0,0.0,1457000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-126000000.0,12572000000.0,10385000000.0,9313000000.0,5835000000.0,8115000000.0,10990000000.0,11038000000.0,12769000000.0,9567000000.0,9790000000.0,7497000000.0,5564000000.0,3232000000.0,3841000000.0,3698000000.0,3698000000.0,4646000000.0,4646000000.0,4170000000.0,3284000000.0,3124000000.0,3953000000.0,3556000000.0,3514000000.0,3435000000.0,1770000000.0,1598000000.0,1911000000.0,1400000000.0,1310000000.0,1711000000.0,1642000000.0,1804000000.0
,otherNonCashItems,1000000000.0,675000000.0,1006000000.0,746000000.0,856000000.0,508000000.0,549000000.0,550000000.0,439000000.0,457000000.0,469000000.0,137000000.0,383000000.0,199000000.0,197000000.0,0.0,-20000000.0,0.0,-113000000.0,0.0,0.0,0.0,0.0,-200000000.0,-328000000.0,-121000000.0,-137000000.0,-293000000.0,166000000.0,-29000000.0,15000000.0,0.0,-218000000.0,-50000000.0
,netCashProvidedByOperatingActivites,6327000000.0,6912000000.0,6558000000.0,5702000000.0,5608000000.0,6675000000.0,8057000000.0,10191000000.0,5241000000.0,7010000000.0,5009000000.0,6343000000.0,4787000000.0,7935000000.0,5799000000.0,3113000000.0,3113000000.0,-3991000000.0,-3991000000.0,2066000000.0,2366000000.0,1987000000.0,2059000000.0,2570000000.0,1778000000.0,2096000000.0,1782000000.0,2190000000.0,1757000000.0,1405000000.0,503000000.0,641000000.0,820000000.0,907000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-1137000000.0,-1613000000.0,-1640000000.0,-1438000000.0,-1819000000.0,-1873000000.0,-1840000000.0,-1924000000.0,-1726000000.0,-1409000000.0,-1011000000.0,-968000000.0,-1566000000.0,-1340000000.0,-1082000000.0,637000000.0,-1214000000.0,673000000.0,-1188000000.0,-1765000000.0,-1773000000.0,-1968000000.0,-1388000000.0,-1280000000.0,-1269000000.0,-1106000000.0,-771000000.0,-679000000.0,-694000000.0,-632000000.0,-640000000.0,-774000000.0,-1039000000.0,-1089000000.0
,acquisitionsNet,25000000.0,41000000.0,16000000.0,100000000.0,0.0,178000000.0,199000000.0,365000000.0,1199000000.0,376000000.0,0.0,0.0,0.0,0.0,0.0,-13000000.0,0.0,-290000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
