date,,2021-01-01_FY,2020-01-03_FY,2018-12-28_FY,2017-12-29_FY,2016-12-30_FY,2016-01-01_FY,2015-01-30_FY,2014-01-31_FY,2013-01-31_FY,2012-01-31_FY,2011-01-31_FY,2010-01-31_FY,2009-01-31_FY,2008-01-31_FY,2007-01-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,629000000.0,667000000.0,581000000.0,366000000.0,244000000.0,242000000.0,-323000000.0,164000000.0,525000000.0,59000000.0,618000000.0,497000000.0,452000000.0,415000000.0,391000000.0
,depreciationAndAmortization,282000000.0,234000000.0,257000000.0,336000000.0,122000000.0,41000000.0,62000000.0,81000000.0,113000000.0,114000000.0,111000000.0,93000000.0,89000000.0,80000000.0,72000000.0
,deferredIncomeTax,-4000000.0,18000000.0,0.0,0.0,0.0,0.0,56000000.0,0.0,0.0,0.0,0.0,0.0,4000000.0,-4000000.0,3000000.0
,stockBasedCompensation,62000000.0,52000000.0,44000000.0,43000000.0,35000000.0,30000000.0,42000000.0,55000000.0,84000000.0,84000000.0,102000000.0,106000000.0,0.0,0.0,0.0
,changeInWorkingCapital,-47000000.0,-301000000.0,308000000.0,107000000.0,-388000000.0,86000000.0,-118000000.0,-501000000.0,106000000.0,-921000000.0,614000000.0,-47000000.0,129000000.0,123000000.0,176000000.0
,accountsReceivables,-127000000.0,116000000.0,-58000000.0,-191000000.0,123000000.0,-19000000.0,162000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,-76000000.0,-101000000.0,3000000.0,-12000000.0,55000000.0,-64000000.0,-93000000.0,-28000000.0,54000000.0,0.0,-46000000.0,9000000.0
,accountsPayables,151000000.0,116000000.0,-46000000.0,152000000.0,-25000000.0,102000000.0,-43000000.0,-88000000.0,-744000000.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,432000000.0,479000000.0,780000000.0,472000000.0,365000000.0,753000000.0,667000000.0,785000000.0,1286000000.0,1180000000.0,2101000000.0,1487000000.0,1534000000.0,1405000000.0,1282000000.0
,otherNonCashItems,0.0,-21000000.0,69000000.0,121000000.0,38000000.0,-19000000.0,625000000.0,27000000.0,4000000.0,58000000.0,-4000000.0,-7000000.0,67000000.0,49000000.0,55000000.0
,netCashProvidedByOperatingActivites,1334000000.0,992000000.0,768000000.0,526000000.0,448000000.0,392000000.0,411000000.0,195000000.0,345000000.0,710000000.0,714000000.0,623000000.0,542000000.0,342000000.0,708000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-183000000.0,-121000000.0,-73000000.0,-81000000.0,-29000000.0,-27000000.0,-29000000.0,-53000000.0,-48000000.0,-65000000.0,-74000000.0,-58000000.0,-59000000.0,-61000000.0,-74000000.0
,acquisitionsNet,-2655000000.0,-94000000.0,-81000000.0,0.0,25000000.0,-2000000.0,12000000.0,-3000000.0,-482000000.0,-222000000.0,-382000000.0,-258000000.0,-204000000.0,-145000000.0,-378000000.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4258000000.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12000000.0,0.0,0.0,0.0,0.0,0.0,0.0,5917000000.0
,otherInvestingActivites,0.0,280000000.0,40000000.0,10000000.0,30000000.0,93000000.0,80000000.0,72000000.0,4000000.0,84000000.0,10000000.0,10000000.0,14000000.0,3000000.0,3000000.0
,netCashUsedForInvestingActivites,-2815000000.0,65000000.0,-114000000.0,-71000000.0,26000000.0,70000000.0,80000000.0,297000000.0,-527000000.0,-203000000.0,-446000000.0,-306000000.0,-249000000.0,-203000000.0,1210000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-5456000000.0,-80000000.0,-59000000.0,-209000000.0,-277000000.0,0.0,0.0,-152000000.0,-554000000.0,-3000000.0,-3000000.0,-18000000.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38000000.0,0.0,76000000.0,98000000.0,1343000000.0
,commonStockRepurchased,0.0,-431000000.0,-424000000.0,-18000000.0,1000000.0,-112000000.0,-208000000.0,-319000000.0,-22000000.0,-471000000.0,-601000000.0,-474000000.0,-445000000.0,-309000000.0,-724000000.0
,dividendsPaid,-196000000.0,-198000000.0,-198000000.0,-198000000.0,-1135000000.0,-93000000.0,-95000000.0,-477000000.0,-165000000.0,0.0,0.0,0.0,-1000000.0,-2000000.0,-2439000000.0
,otherFinancingActivites,0.0,-604000000.0,-481000000.0,170000000.0,895000000.0,500000000.0,60000000.0,-459000000.0,0.0,-2000000.0,11000000.0,36000000.0,56000000.0,66000000.0,6000000.0
,netCashUsedProvidedByFinancingActivities,1451000000.0,-709000000.0,-707000000.0,-429000000.0,-751000000.0,-249000000.0,-478000000.0,-780000000.0,-724000000.0,-449000000.0,187000000.0,-398000000.0,-427000000.0,-157000000.0,-1841000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,-1000000.0,5000000.0,-16000000.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
