Date,2017-12,2016-12,2015-12,2014-12,2013-12
Cash and cash equivalents,330390000000.0,261367000000.0,257263000000.0,166982000000.0,56297000000.0
Short-term investments,19561000000.0,16934000000.0,23768000000.0,13007000000.0,11937000000.0
Cash and short-term investments,19561000000.0,16934000000.0,23768000000.0,13007000000.0,11937000000.0
Receivables,,,,,
Inventories,398186000000.0,404284000000.0,340196000000.0,342079000000.0,289411000000.0
Total current assets,3918101000000.0,3759032000000.0,3806960000000.0,4949472000000.0,2829464000000.0
Property, Plant & Equipment Net,3575165000000.0,3391366000000.0,3411153000000.0,4528461000000.0,2580270000000.0
Goodwill and Intangible Assets,41304000000,43134000000,51749000000,66314000000,42750000000
Long-term investments,,,,,
Tax assets,25128000000.0,29079000000.0,28735000000.0,40300000000.0,22493000000.0
Total non-current assets,784417000000.0,963107000000.0,1102971000000.0,914842000000.0,584150000000.0
Total assets,5226215000000.0,5014673000000.0,5020607000000.0,6214564000000.0,3598783000000.0
Payables,508078000000.0,478673000000.0,339091000000.0,394719000000.0,241204000000.0
Short-term debt,128713000000.0,58429000000.0,60506000000.0,118788000000.0,43999000000.0
Total current liabilities,958847000000.0,830686000000.0,695168000000.0,789994000000.0,430681000000.0
Long-term debt,,,,,
Total debt,,,,,
Deferred revenue,,,,,
Tax Liabilities,237980000000.0,239811000000.0,234107000000.0,154419000000.0,155344000000.0
Deposit Liabilities,,,,,
Total non-current liabilities,784417000000.0,963107000000.0,1102971000000.0,914842000000.0,584150000000.0
Total liabilities,1743264000000.0,1793793000000.0,1798139000000.0,1704836000000.0,1014831000000.0
Other comprehensive income,27090000000.0,28975000000.0,104150000000.0,-141023000000.0,-84018000000.0
Retained earnings (deficit),3576158000000.0,3302855000000.0,3229379000000.0,4686882000000.0,2687701000000.0
Total shareholders equity,3482951000000.0,3220880000000.0,3222468000000.0,4509728000000.0,2583953000000.0
Investments,,,,,
Net Debt,-201677000000,-202938000000,-196757000000,-48194000000,-12298000000
Other Assets,708584000000,797180000000,859442000000,936576000000,595627000000
Other Liabilities,861045000000,1010096000000,1155529000000,1022846000000,565175000000
