Date,2019-03-31,2018-03-31,2017-03-31
Cash and cash equivalents,1865285714.2857,249852827.2657,76311844.078
Short-term investments,1529423308.2707,0.0,0.0
Cash and short-term investments,3394709022.5564,249852827.2657,76311844.078
Receivables,80431578.9474,16595662.2773,4359070.4648
Inventories,197071428.5714,78704105.3447,34468515.7421
Total current assets,3812135338.3459,373181254.8412,129389805.0975
Property Plant & Equipment Net,824315789.4737,235230054.2215,72166416.7916
Goodwill and Intangible Assets,1551587218.0451,322578621.2239,302574212.8936
Long-term investments,357753383.4586,175498838.11,18013493.2534
Tax assets,0.0,0.0,0.0
Total non-current assets,2753131578.9474,739767621.9985,397386806.5967
Total assets,6565266917.2932,1112948876.8397,526776611.6942
Payables,170325563.9098,69381099.9225,11533733.1334
Short-term debt,77981954.8872,1206041.828,1267616.1919
Total current liabilities,309521052.6316,71284275.7552,13242128.9355
Long-term debt,633277443.609,5317583.2688,6476011.994
Total debt,711259398.4962,6523625.0968,7743628.1859
Deferred revenue,0.0,0.0,440779.6102
Tax Liabilities,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0
Total non-current liabilities,811048120.3008,78660728.1177,33979760.1199
Total liabilities,1120569172.9323,149945003.873,47221889.0555
Other comprehensive income,21526315.7895,35759876.0651,12067466.2669
Retained earnings (deficit),-584275939.8496,-70990704.8799,-15964017.991
Total shareholders equity,5226791729.3233,897577846.6305,479578710.6447
Investments,1887176691.7293,175498838.11,18013493.2534
Net Debt,,,
Other Assets,,,
Other Liabilities,61213533.8346,697134.0047,440779.6102
