date,,2020-10-31_FY,2019-10-31_FY,2018-10-31_FY,2017-10-31_FY,2016-10-31_FY,2015-10-31_FY,2014-10-31_FY,2013-10-31_FY,2012-10-31_FY,2011-10-31_FY,2010-10-31_FY,2009-10-31_FY,2008-10-31_FY,2007-10-31_FY,2006-10-31_FY,2005-10-31_FY,2004-10-31_FY,2003-10-31_FY,2002-10-31_FY,2001-10-31_FY,2000-10-31_FY,1999-10-31_FY,1998-10-31_FY,1997-10-31_FY,1996-10-31_FY,1995-10-31_FY,1994-10-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,2844000000.0,3152000000.0,5327000000.0,2526000000.0,2496000000.0,4554000000.0,5013000000.0,5113000000.0,-12650000000.0,7074000000.0,8761000000.0,7660000000.0,8329000000.0,7264000000.0,6198000000.0,2398000000.0,3497000000.0,2539000000.0,-903000000.0,408000000.0,3697000000.0,3491000000.0,2945000000.0,3119000000.0,2586000000.0,2433000000.0,1599000000.0
,depreciationAndAmortization,789000000.0,744000000.0,528000000.0,354000000.0,332000000.0,4061000000.0,4334000000.0,4611000000.0,5095000000.0,4984000000.0,4820000000.0,4773000000.0,3356000000.0,2705000000.0,2353000000.0,2344000000.0,2395000000.0,2527000000.0,2119000000.0,1369000000.0,1368000000.0,1316000000.0,1869000000.0,1556000000.0,1297000000.0,1139000000.0,1006000000.0
,deferredIncomeTax,70000000.0,133000000.0,-3653000000.0,238000000.0,401000000.0,-700000000.0,-34000000.0,-410000000.0,-711000000.0,166000000.0,197000000.0,379000000.0,1035000000.0,415000000.0,693000000.0,-162000000.0,26000000.0,-279000000.0,-351000000.0,-970000000.0,-689000000.0,-171000000.0,-1263000000.0,-232000000.0,-284000000.0,-102000000.0,-156000000.0
,stockBasedCompensation,278000000.0,297000000.0,268000000.0,224000000.0,182000000.0,709000000.0,560000000.0,500000000.0,635000000.0,685000000.0,668000000.0,635000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-456000000.0,-1372000000.0,-3650000000.0,246000000.0,-9936000000.0,3186000000.0,1567000000.0,872000000.0,3392000000.0,-4202000000.0,-4755000000.0,10747000000.0,-9353000000.0,-4272000000.0,540000000.0,-2439000000.0,-53000000.0,2601000000.0,4424000000.0,-706000000.0,726000000.0,-790000000.0,-1617000000.0,2360000000.0,2073000000.0,1016000000.0,-282000000.0
,accountsReceivables,575000000.0,-761000000.0,-491000000.0,-453000000.0,565000000.0,507000000.0,2437000000.0,1014000000.0,1269000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-386000000.0,-68000000.0,-136000000.0,-1346000000.0,-291000000.0,-330000000.0,-580000000.0,-4000000.0,890000000.0,-1252000000.0,-270000000.0,1532000000.0,89000000.0,-633000000.0,-1109000000.0,-208000000.0,-1341000000.0,-638000000.0,765000000.0,1096000000.0,-845000000.0,-171000000.0,563000000.0,-279000000.0,-356000000.0,-1740000000.0,-582000000.0
,accountsPayables,-35000000.0,-53000000.0,1429000000.0,2161000000.0,928000000.0,31000000.0,1912000000.0,541000000.0,-1414000000.0,275000000.0,-698000000.0,-153000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-5572000000.0,-5116000000.0,-3744000000.0,-94000000.0,-340000000.0,9596000000.0,6410000000.0,4843000000.0,3971000000.0,579000000.0,4781000000.0,9536000000.0,-1211000000.0,8142000000.0,12414000000.0,11874000000.0,14313000000.0,14366000000.0,11765000000.0,7341000000.0,8047000000.0,7321000000.0,8111000000.0,9728000000.0,7368000000.0,5295000000.0,4279000000.0
,otherNonCashItems,787000000.0,529000000.0,451000000.0,496000000.0,2000000.0,2048000000.0,1700000000.0,1433000000.0,2531000000.0,599000000.0,514000000.0,167000000.0,802000000.0,557000000.0,766000000.0,0.0,89000000.0,88000000.0,138000000.0,-4000000.0,-343000000.0,213000000.0,342000000.0,201000000.0,-94000000.0,-220000000.0,57000000.0
,netCashProvidedByOperatingActivites,4316000000.0,4654000000.0,4528000000.0,3677000000.0,3230000000.0,6490000000.0,12333000000.0,11608000000.0,10571000000.0,12639000000.0,11922000000.0,13379000000.0,14591000000.0,9615000000.0,11353000000.0,8028000000.0,5088000000.0,6057000000.0,5444000000.0,2561000000.0,4425000000.0,3034000000.0,5442000000.0,4321000000.0,3456000000.0,1613000000.0,2224000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-580000000.0,-671000000.0,-546000000.0,-402000000.0,-433000000.0,-3603000000.0,-3853000000.0,-3199000000.0,-3706000000.0,-4539000000.0,-4133000000.0,-3695000000.0,-2990000000.0,-3040000000.0,-2536000000.0,-1995000000.0,-2126000000.0,-1995000000.0,-1710000000.0,-1527000000.0,-1737000000.0,-1134000000.0,-1997000000.0,-2338000000.0,-2201000000.0,-1601000000.0,-1257000000.0
,acquisitionsNet,0.0,-458000000.0,-1036000000.0,0.0,468000000.0,-2398000000.0,-43000000.0,-167000000.0,-54000000.0,-10391000000.0,-7977000000.0,-391000000.0,-11248000000.0,-6793000000.0,-855000000.0,-641000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-856000000.0,-112000000.0,-1532000000.0,-1919000000.0,-126000000.0,-259000000.0,-1086000000.0,-1243000000.0,-972000000.0,-96000000.0,-51000000.0,-160000000.0,-178000000.0,-282000000.0,-46000000.0,-1729000000.0,-715000000.0,-596000000.0,-351000000.0,-434000000.0,-1131000000.0,-1015000000.0,-4059000000.0,-5213000000.0,-7386000000.0,-3499000000.0,-3090000000.0
,salesMaturitiesOfInvestments,417000000.0,803000000.0,2226000000.0,535000000.0,133000000.0,302000000.0,1347000000.0,1153000000.0,662000000.0,68000000.0,200000000.0,171000000.0,280000000.0,425000000.0,94000000.0,2066000000.0,1064000000.0,875000000.0,381000000.0,742000000.0,1004000000.0,1048000000.0,4773000000.0,4158000000.0,7074000000.0,3669000000.0,2439000000.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1000000.0,0.0,0.0,0.0,0.0,4436000000.0,223000000.0,-130000000.0,-69000000.0,75000000.0,48000000.0,22000000.0,-38000000.0,69000000.0
