Date,2018-12-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-06-30,2013-06-30,2012-06-30,2011-12-31,2010-12-25,2009-12-26
Cash and cash equivalents,11506000.0,1571000.0,17700000.0,8405000.0,49700000.0,17946000.0,44700000.0,81700000.0,66800000.0,53800000.0,94310000.0,53564000.0,59510000.0
Short-term investments,0.0,1415000.0,20900000.0,4668000.0,19300000.0,2503000.0,12900000.0,0.0,0.0,0.0,2079000.0,54603000.0,59489000.0
Cash and short-term investments,11506000.0,2986000.0,38600000.0,13073000.0,69000000.0,20449000.0,57600000.0,81700000.0,66800000.0,53800000.0,96389000.0,108167000.0,118999000.0
Receivables,1796000.0,630000.0,600000.0,1590000.0,700000.0,179000.0,12600000.0,18700000.0,11000000.0,6000000.0,995000.0,1030000.0,9122000.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,14645000.0,3753000.0,39900000.0,14852000.0,72400000.0,20921000.0,70800000.0,101100000.0,80000000.0,61200000.0,97881000.0,110026000.0,129693000.0
Property, Plant & Equipment Net,1066000.0,730000.0,200000.0,990000.0,300000.0,801000.0,200000.0,2000000.0,4300000.0,4900000.0,84000.0,597000.0,855000.0
Goodwill and Intangible Assets,19413000.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800000.0,0.0,0.0,0.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,7900000.0,10000000.0,0.0,0.0,0.0,2500000.0,0.0
Tax assets,0.0,0.0,0.0,500000.0,900000.0,1500000.0,1400000.0,0.0,0.0,0.0,,,
Total non-current assets,20582000.0,200000.0,300000.0,8600000.0,12900000.0,5800000.0,8100000.0,84000.0,3845000.0,1624000.0,,,
Total assets,35227000.0,4523000.0,40100000.0,15886000.0,72700000.0,21770000.0,79400000.0,114000000.0,85800000.0,69300000.0,97965000.0,113871000.0,131317000.0
Payables,962000.0,1390000.0,1400000.0,2949000.0,3900000.0,1351000.0,2900000.0,21400000.0,8900000.0,2900000.0,146000.0,552000.0,1735000.0
Short-term debt,1667000.0,1528000.0,200000.0,0.0,400000.0,18947000.0,200000.0,0.0,0.0,0.0,0.0,0.0,5951000.0
Total current liabilities,7475000.0,4523000.0,5900000.0,4698000.0,9200000.0,24395000.0,9000000.0,26900000.0,17600000.0,9500000.0,6252000.0,17933000.0,33910000.0
Long-term debt,1944000.0,38722000.0,100000.0,37549000.0,300000.0,9913000.0,800000.0,0.0,0.0,0.0,0.0,0.0,0.0
Total debt,3611000.0,300000.0,700000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,5951000.0,,,
Deferred revenue,0.0,0.0,0.0,0.0,0.0,300000.0,400000.0,35368000.0,43165000.0,18447000.0,,,
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,,,
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Total non-current liabilities,16514000.0,15500000.0,17300000.0,900000.0,200000.0,200000.0,500000.0,32842000.0,35368000.0,0.0,,,
Total liabilities,23989000.0,43245000.0,21400000.0,45527000.0,26500000.0,35568000.0,9900000.0,27100000.0,17800000.0,10000000.0,39094000.0,53301000.0,33910000.0
Other comprehensive income,0.0,19000000.0,19000000.0,18900000.0,26800000.0,25300000.0,29500000.0,0.0,-3000.0,-20000.0,,,
Retained earnings (deficit),-97989000.0,-79982000.0,-163800000.0,-70400000.0,-134300000.0,-54038000.0,-108900000.0,-89800000.0,-78800000.0,-69900000.0,-228078000.0,-223547000.0,-224425000.0
Total shareholders equity,11238000.0,-38723000.0,18700000.0,-29642000.0,46200000.0,-13799000.0,69500000.0,86900000.0,68000000.0,59300000.0,58871000.0,60570000.0,97407000.0
Investments,0.0,3229000.0,20900000.0,-2196000.0,19300000.0,-259000.0,20800000.0,10000000.0,0.0,0.0,2079000.0,57103000.0,59489000.0
Net Debt,-7895000.0,37264000.0,-38300000.0,18044000.0,-68300000.0,-2086000.0,-56600000.0,-81700000.0,-66800000.0,-53800000.0,-96389000.0,-108167000.0,-113048000.0
Other Assets,1343000.0,137000.0,700000.0,41537000.0,2700000.0,37972000.0,600000.0,700000.0,2200000.0,1400000.0,497000.0,829000.0,1572000.0
Other Liabilities,4846000.0,1605000.0,4300000.0,1749000.0,4900000.0,4097000.0,5900000.0,5500000.0,8700000.0,6600000.0,6106000.0,17381000.0,26224000.0
