Date,2018-09-30,2017-09-30,2016-09-30,2015-09-30,2014-09-30
Cash and cash equivalents,399800000.0,271400000.0,175200000.0,17800000.0,49600000.0
Short-term investments,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,399800000.0,271400000.0,175200000.0,17800000.0,49600000.0
Receivables,204700000.0,160900000.0,149200000.0,136800000.0,162200000.0
Inventories,177100000.0,160400000.0,127400000.0,124000000.0,130300000.0
Total current assets,692200000.0,639900000.0,575800000.0,592400000.0,676000000.0
Property Plant & Equipment Net,405100000.0,330300000.0,296500000.0,301100000.0,351900000.0
Goodwill and Intangible Assets,246500000.0,253400000.0,254900000.0,248600000.0,275000000.0
Long-term investments,0.0,0.0,0.0,12500000.0,14100000.0
Tax assets,0.0,0.0,0.0,0.0,0.0
Total non-current assets,1105200000.0,1067400000.0,1042900000.0,57100000.0,66200000.0
Total assets,1505300000.0,1255600000.0,1043800000.0,887400000.0,1034000000.0
Payables,138600000.0,120800000.0,85800000.0,87900000.0,87300000.0
Short-term debt,5800000.0,5800000.0,5800000.0,0.0,700000.0
Total current liabilities,187700000.0,158000000.0,104300000.0,89600000.0,94400000.0
Long-term debt,974200000.0,977000000.0,980300000.0,0.0,4400000.0
Total debt,980000000.0,982800000.0,986100000.0,0.0,5100000.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,121900000.0,71900000.0,55500000.0,41600000.0,46600000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,1105200000.0,1067400000.0,1042900000.0,57100000.0,66200000.0
Total liabilities,1292900000.0,1225400000.0,1147200000.0,146700000.0,160600000.0
Other comprehensive income,-18200000.0,-18400000.0,-10000000.0,-32800000.0,13500000.0
Retained earnings (deficit),81600000.0,-99600000.0,0.0,742000000.0,
Total shareholders equity,178500000.0,-4400000.0,-137300000.0,708700000.0,836000000.0
Investments,0.0,0.0,0.0,12500000.0,14100000.0
Net Debt,580200000.0,711400000.0,810900000.0,-17800000.0,-44500000.0
Other Assets,31500000.0,23000000.0,16200000.0,16400000.0,15900000.0
Other Liabilities,43300000.0,31400000.0,12700000.0,1700000.0,6400000.0
