date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,1504352000000.0,889907000000.0,3127887000000.0,2599829000000.0,1675967000000.0,1518604000000.0,1801178000000.0,1638964000000.0,1151705000000.0,1612889000000.0,1379613000000.0,1247182000000.0,1215719000000.0,1649808992261.64,1384496580555.33,1853136804872.66,1441000000000.0
,depreciationAndAmortization,4169996000000.0,3935841000000.0,3284339000000.0,3247519000000.0,3068558000000.0,2993486000000.0,2891870000000.0,2829784000000.0,2613018000000.0,2482703000000.0,2868768000000.0,2732793000000.0,2759276000000.0,2051205996857.92,1668694220071.89,1709075647633.28,1738000000000.0
,deferredIncomeTax,376502000000.0,300713000000.0,843978000000.0,745654000000.0,436038000000.0,519480000000.0,454508000000.0,461922000000.0,277217000000.0,0.0,0.0,0.0,0.0,121750000258.11,-72895413599.25,0.0,0.0
,stockBasedCompensation,4313000000.0,2073000000.0,789000000.0,414000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,379445000000.0,-836335000000.0,25949000000.0,-261468000000.0,13764000000.0,-685734000000.0,-707333000000.0,-969870000000.0,204308000000.0,2180223000000.0,-298915000000.0,-1232283000000.0,-870938000000.0,193075843105.95,147420384542.97,-202852003667.06,-904000000000.0
,accountsReceivables,-33410000000.0,-211712000000.0,175841000000.0,46144000000.0,88549000000.0,7554000000.0,-168839000000.0,-267754000000.0,-183238000000.0,0.0,-247911000000.0,-1028662000000.0,-311571000000.0,0.0,0.0,0.0,0.0
,inventory,-7219000000.0,115893000000.0,-13429000000.0,-17958000000.0,798000000.0,-7814000000.0,-171000000.0,-39610000000.0,-108904000000.0,0.0,-102428000000.0,-187943000000.0,-66166000000.0,-20059925136.16,-8722611523.23,8209253525.35,-20000000000.0
,accountsPayables,3023000000.0,-23607000000.0,-58487000000.0,-26151000000.0,75585000000.0,12442000000.0,-37790000000.0,-4708000000.0,74923000000.0,0.0,167995000000.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-52732000000.0,-276976000000.0,-172748000000.0,-315917000000.0,-311024000000.0,-288265000000.0,-288449000000.0,-568027000000.0,-578860000000.0,0.0,-212746000000.0,-579402000000.0,-910205000000.0,-170472846803.35,-94511664753.33,-31743779365.34,0.0
,otherNonCashItems,334758000000.0,354326000000.0,339267000000.0,282798000000.0,269797000000.0,265645000000.0,273465000000.0,319384000000.0,516263000000.0,61396000000.0,-148431000000.0,282311000000.0,387542000000.0,-652074907749.44,153185486982.66,3385630060.12,-1000000000.0
,netCashProvidedByOperatingActivites,5821876000000.0,3986082000000.0,4332580000000.0,3855820000000.0,4243168000000.0,3778129000000.0,3677385000000.0,3558570000000.0,3999664000000.0,6306395000000.0,4021021000000.0,2933310000000.0,3296938000000.0,3654312741829.54,3438030682364.52,3339268513186.94,2431000000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-3557800000000.0,-3375883000000.0,-2792390000000.0,-2715859000000.0,-2490455000000.0,-2478778000000.0,-3008026000000.0,-2879126000000.0,-3394349000000.0,-3046841000000.0,-2144674000000.0,-2162436000000.0,-2236930000000.0,-2011058993027.49,-1499544038735.16,-1598995703556.35,-1576000000000.0
,acquisitionsNet,0.0,40000000.0,-2000000.0,2000000.0,-21000000.0,-12000000.0,-124000000.0,111000000.0,103000000.0,-14000000.0,0.0,0.0,-866000000.0,0.0,58000000.0,259000000.0,0.0
,purchasesOfInvestments,-691501000000.0,-383976000000.0,-442357000000.0,-206349000000.0,-37625000000.0,-707881000000.0,-218036000000.0,-74683000000.0,-92945000000.0,-743018000000.0,-1040517000000.0,-926867000000.0,-638612000000.0,-630190076242.37,-1346934263628.69,-740892375591.39,-192000000000.0
,salesMaturitiesOfInvestments,64693000000.0,518989000000.0,371821000000.0,129753000000.0,777869000000.0,261892000000.0,73449000000.0,474218000000.0,1040971000000.0,381671000000.0,940919000000.0,2271115000000.0,585632000000.0,231239700864.76,516661934029.23,100954332002.25,419000000000.0
,otherInvestingActivites,-28857000000.0,19708000000.0,3467000000.0,10469000000.0,-28434000000.0,14534000000.0,-7985000000.0,134425000000.0,-15092000000.0,-37872000000.0,-89394000000.0,-962066000000.0,-398068000000.0,10015917624.23,-140829414989.67,-528629959.21,51000000000.0
,netCashUsedForInvestingActivites,-4250402000000.0,-3582523000000.0,-4047725000000.0,-3070607000000.0,-2462208000000.0,-2880499000000.0,-3683165000000.0,-2506477000000.0,-5309584000000.0,-4239061000000.0,-2358678000000.0,-1828226000000.0,-3875394000000.0,-2400404499470.88,-2418141569876.01,-1917655641709.02,-1420000000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-3339040000000.0,-1911293000000.0,-3662023000000.0,-1180910000000.0,-1183522000000.0,-943166000000.0,-1290401000000.0,-1761355000000.0,-2991067000000.0,-1579118000000.0,-1504082000000.0,-2030536000000.0,-751507000000.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,300000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42246000000.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,-426664000000.0,0.0,0.0,0.0,0.0,-490192000000.0,0.0,0.0,0.0,-208012000000.0,-210356000000.0,-28939000000.0,-63538000000.0,0.0,-199427835817.65,0.0,0.0
,dividendsPaid,-742136000000.0,-718698000000.0,-706091000000.0,-706091000000.0,-706091000000.0,-668494000000.0,-666802000000.0,-655946000000.0,-655133000000.0,-668293000000.0,-680043000000.0,-681548000000.0,-682504000000.0,-581637641682.51,-632222121738.24,-750159888335.65,-462000000000.0
