date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2008-01-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,499000000.0,-5000000.0,394600000.0,389800000.0,149800000.0,-88100000.0,-75400000.0,177100000.0,28800000.0,-181300000.0,-39000000.0,-121400000.0,-578800000.0,-578000000.0,-179900000.0,123700000.0,455500000.0,420700000.0,272500000.0,-62000000.0,-171600000.0,-13800000.0,216800000.0,2000000.0,-101800000.0,-200700000.0,-51700000.0,346900000.0,244000000.0,176900000.0,55900000.0,91100000.0,192600000.0
,depreciationAndAmortization,111000000.0,123000000.0,120000000.0,123300000.0,112800000.0,101900000.0,100700000.0,91300000.0,73900000.0,78900000.0,82000000.0,80000000.0,100400000.0,100000000.0,109800000.0,128000000.0,135100000.0,145100000.0,141300000.0,157600000.0,195200000.0,235500000.0,202000000.0,185400000.0,183900000.0,191800000.0,202600000.0,197300000.0,183200000.0,163000000.0,149800000.0,152300000.0,141800000.0
,deferredIncomeTax,2000000.0,10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-155300000.0,-155000000.0,-13900000.0,-29100000.0,-113900000.0,140500000.0,179800000.0,-16700000.0,-77600000.0,-3800000.0,53300000.0,7600000.0,15300000.0,-22000000.0,-144700000.0,5000000.0,-1600000.0,13500000.0,-1600000.0,7500000.0,18700000.0
,stockBasedCompensation,0.0,0.0,8600000.0,9700000.0,13000000.0,9300000.0,9400000.0,8800000.0,8400000.0,7800000.0,8800000.0,7300000.0,0.0,9000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,15000000.0,-650600000.0,-63900000.0,301800000.0,161600000.0,-151500000.0,-90400000.0,111700000.0,239000000.0,-61300000.0,46700000.0,195100000.0,-200000.0,-250300000.0,-651800000.0,-212000000.0,287000000.0,141500000.0,804600000.0,34400000.0,-92300000.0,77200000.0,-46800000.0,-32000000.0,43000000.0,64500000.0,-179600000.0,23100000.0,-26600000.0,-22700000.0,31100000.0,-16600000.0,-20600000.0
,accountsReceivables,0.0,0.0,3400000.0,-35000000.0,-8900000.0,10600000.0,-34100000.0,4500000.0,-15000000.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-12000000.0,3000000.0,-1900000.0,-22700000.0,-11000000.0,3500000.0,-9200000.0,-17700000.0,-44500000.0,-15100000.0,-8500000.0,57200000.0,29900000.0,29000000.0,32600000.0,-10300000.0,-14400000.0,-26000000.0,400000.0,2100000.0,97000000.0,-37400000.0,13500000.0,7100000.0,12800000.0,31100000.0,-103900000.0,25100000.0,-39700000.0,-8000000.0,36500000.0,-17500000.0,-14200000.0
,accountsPayables,30000000.0,-4000000.0,-20700000.0,0.0,0.0,0.0,0.0,0.0,11700000.0,0.0,0.0,0.0,0.0,-67000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,0.0,375000000.0,1025600000.0,1089500000.0,787700000.0,626100000.0,777600000.0,868000000.0,756300000.0,517300000.0,578600000.0,531900000.0,336800000.0,337000000.0,587300000.0,1239100000.0,1451100000.0,1164100000.0,1022600000.0,218000000.0,183600000.0,275900000.0,198700000.0,245500000.0,277500000.0,234500000.0,170000000.0,349600000.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,18000000.0,20000000.0,-1800000.0,1700000.0,6500000.0,9800000.0,1600000.0,-22900000.0,-24400000.0,9900000.0,-14000000.0,-6800000.0,374800000.0,0.0,89500000.0,-29400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23600000.0,29100000.0,29600000.0,15000000.0,15900000.0,20700000.0
,netCashProvidedByOperatingActivites,659000000.0,159000000.0,510500000.0,473700000.0,342300000.0,29200000.0,-52900000.0,242500000.0,111800000.0,-40200000.0,47800000.0,60800000.0,-142500000.0,-142000000.0,-9700000.0,183800000.0,514000000.0,601500000.0,509400000.0,88500000.0,148700000.0,82500000.0,472600000.0,123000000.0,88200000.0,22800000.0,334600000.0,595900000.0,438500000.0,360300000.0,250200000.0,250200000.0,353200000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-77000000.0,-163000000.0,-214200000.0,-148600000.0,-124800000.0,-113800000.0,-80100000.0,-75600000.0,-31200000.0,-21400000.0,-14500000.0,-9600000.0,-99400000.0,-99000000.0,-335500000.0,-236500000.0,-173700000.0,-147700000.0,-86600000.0,-45500000.0,-74700000.0,-220300000.0,-844000000.0,-122500000.0,-204500000.0,-244000000.0,-362900000.0,-286000000.0,-208400000.0,-161400000.0,-152300000.0,-330400000.0,-223100000.0
,acquisitionsNet,15000000.0,30000000.0,0.0,-21000000.0,0.0,0.0,0.0,-67000000.0,0.0,0.0,0.0,0.0,-57000000.0,-57000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9600000.0,0.0,-300000.0,-216000000.0,-216000000.0,-2010000000.0,-4998400000.0,-3897800000.0,-2598100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16400000.0,-5300000.0,-5800000.0,-3700000.0
