date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,1715000000.0,1263000000.0,929000000.0,1067000000.0,1289000000.0,1150000000.0,361000000.0,1196000000.0,-157000000.0,1075000000.0,-10298000000.0,1868000000.0,-2332000000.0,2125000000.0,2282000000.0,2894000000.0,2793000000.0,1870000000.0,1786000000.0,1602000000.0,1527000000.0,1327000000.0
,depreciationAndAmortization,1555000000.0,1649000000.0,1859000000.0,2382000000.0,2331000000.0,2936000000.0,2864000000.0,2381000000.0,2713000000.0,4100000000.0,5958000000.0,6722000000.0,5937000000.0,6459000000.0,5964000000.0,5433000000.0,5340000000.0,4842000000.0,5297000000.0,5490000000.0,5025000000.0,4782000000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-396000000.0,95000000.0,-1346000000.0,351000000.0,-118000000.0,-463000000.0,-454000000.0,345000000.0,234000000.0,0.0,0.0
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,41000000.0,363000000.0,410000000.0,293000000.0,705000000.0,-1073000000.0,-2412000000.0,-1263000000.0,846000000.0,62000000.0,1239000000.0,14987000000.0,-3955000000.0,-23615000000.0,-33168000000.0,-100000000.0,-4508000000.0,-2729000000.0,-4669000000.0,2307000000.0,3654000000.0,-2159000000.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5570000000.0,-41972000000.0,-1695000000.0,-1695000000.0,-31000000.0,-88000000.0,-239000000.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,118000000.0,148000000.0,24000000.0,1000000.0,-127000000.0,-411000000.0,-39000000.0,-311000000.0,-98000000.0,177000000.0,83000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-615000000.0,-215000000.0,0.0,0.0
,otherWorkingCapital,-51000000.0,-30000000.0,74000000.0,160000000.0,-12000000.0,-247000000.0,-434000000.0,332000000.0,546000000.0,-540000000.0,-1414000000.0,10795000000.0,12756000000.0,10457000000.0,10370000000.0,17991000000.0,13748000000.0,4606000000.0,0.0,0.0,0.0,0.0
,otherNonCashItems,12000000.0,-68000000.0,-104000000.0,99000000.0,-112000000.0,62000000.0,2461000000.0,998000000.0,1606000000.0,872000000.0,142000000.0,-9086000000.0,1715000000.0,1683000000.0,1471000000.0,1354000000.0,1558000000.0,3871000000.0,914000000.0,521000000.0,0.0,0.0
,netCashProvidedByOperatingActivites,4050000000.0,4150000000.0,4079000000.0,4567000000.0,5095000000.0,3403000000.0,2501000000.0,5049000000.0,5493000000.0,11607000000.0,-5132000000.0,14095000000.0,1460000000.0,-14694000000.0,-23100000000.0,9463000000.0,4720000000.0,7400000000.0,3673000000.0,10154000000.0,10206000000.0,3948000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-4023000000.0,-3709000000.0,-4052000000.0,-3274000000.0,-4685000000.0,-9884000000.0,-9196000000.0,-7444000000.0,-6528000000.0,-3551000000.0,-732000000.0,-10544000000.0,-17268000000.0,-18190000000.0,-15496000000.0,-14055000000.0,0.0,0.0,0.0,0.0,0.0,0.0
,acquisitionsNet,-171000000.0,0.0,0.0,-309000000.0,1049000000.0,47000000.0,7444000000.0,516000000.0,50000000.0,161000000.0,296000000.0,319000000.0,-209000000.0,-2000000.0,-2000000.0,9000000.0,-144000000.0,-182000000.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-16211000000.0,-9522000000.0,-12260000000.0,-16872000000.0,-12250000000.0,-5417000000.0,-12304000000.0,-12816000000.0,-25905000000.0,-27667000000.0,-21880000000.0,-16202000000.0,-16682000000.0,-19165000000.0,-19165000000.0,-12783000000.0,-15529000000.0,-36392000000.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,13349000000.0,5001000000.0,7600000000.0,14415000000.0,11129000000.0,6917000000.0,9136000000.0,13335000000.0,24714000000.0,31026000000.0,21292000000.0,7502000000.0,8080000000.0,8887000000.0,8887000000.0,7250000000.0,9413000000.0,21222000000.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,-189000000.0,-521000000.0,-406000000.0,-548000000.0,112000000.0,1697000000.0,-19000000.0,-2280000000.0,1143000000.0,3119000000.0,2098000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-3769000000.0,-14509000000.0,-8727000000.0,-8684000000.0,-9747000000.0,-3212000000.0,-3543000000.0,-16555000000.0,-14128000000.0,-7567000000.0,17128000000.0,10918000000.0,18244000000.0,24797000000.0,14154000000.0,-27372000000.0,-39754000000.0,-33452000000.0,-15006000000.0,-24585000000.0,-21395000000.0,-23023000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-17224000000.0,-17940000000.0,-27908000000.0,-26412000000.0,-31350000000.0,-30426000000.0,-31892000000.0,-39909000000.0,-40473000000.0,-49530000000.0,-61493000000.0,0.0,0.0,-69520000000.0,-69520000000.0,-57743000000.0,-38944000000.0,-24561000000.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,1270000000.0,0.0,0.0,0.0,1247000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
