date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY
,revenue,16658000000.0,16887000000.0,18854000000.0
,costOfRevenue,8933000000.0,9351000000.0,10558000000.0
,grossProfit,7726000000.0,7536000000.0,8296000000.0
,grossProfitRatio,0.463801176611838,0.446260437022562,0.440012729394293
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,997000000.0,1010000000.0,1213000000.0
,GeneralAndAdministrativeExpenses,1173000000.0,-1422000000.0,-1618000000.0
,SellingAndMarketingExpenses,2498000000.0,2614000000.0,2916000000.0
,otherExpenses,-4000000.0,0.0,0.0
,operatingExpenses,4668000000.0,4794000000.0,5407000000.0
,costAndExpenses,13601000000.0,14167000000.0,15985000000.0
,interestExpense,963000000.0,881000000.0,920000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,1557000000.0,1722000000.0,1842000000.0
,EBITDA,4615000000.0,1279000000.0,205000000.0
,EBITDARatio,0.277044062912715,0.0757387339373483,0.0108730242919274
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,3058000000.0,-443000000.0,-1637000000.0
,operatingIncomeRatio,0.183575459238804,-0.02623319713389,-0.0868250769067572
,totalOtherIncomeExpensesNet,-6500000000.0,-822000000.0,-959000000.0
,incomeBeforeTax,-4406000000.0,-1265000000.0,-3057000000.0
,incomeBeforeTaxRatio,-0.264497538720134,-0.0749096938473382,-0.162140659806938
,incomeTaxExpense,-168000000.0,-278000000.0,-195000000.0
,netIncome,-3990000000.0,-999000000.0,-2150000000.0
,netIncomeRatio,-0.239524552767439,-0.0591579321371469,-0.11403415720802
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-3.65719523373052,-0.91567,-2.10578
,EPSDiluted,-3.65719523373052,-0.91567,-2.10578
,weightedAverageShsOut,1091000000.0,1091000000.0,1021000000.0
,weightedAverageShsOutDil,1091000000.0,1091000000.0,1021000000.0
