Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31
Cash and cash equivalents,5722342.0,2823450.0,3257458.0,4803687.0,1198547.0,271365.0
Short-term investments,16460426.0,5629009.0,5428962.0,5487800.0,0.0,0.0
Cash and short-term investments,22182768.0,8452459.0,8686420.0,10291487.0,1198547.0,271365.0
Receivables,0.0,0.0,0.0,0.0,0.0,0.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,22443398.0,8616733.0,9319568.0,10379710.0,1218064.0,286489.0
Property, Plant & Equipment Net,520740.0,176531.0,230512.0,199575.0,4631.0,4609.0
Goodwill and Intangible Assets,20233.0,23051.0,0.0,0.0,0.0,0.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current assets,597766.0,246486.0,267322.0,220067.0,755117.0,31918.0
Total assets,23041164.0,8863219.0,9586890.0,10599777.0,1973181.0,318407.0
Payables,1142735.0,492015.0,103294.0,209730.0,290073.0,54645.0
Short-term debt,0.0,0.0,205201.0,0.0,0.0,0.0
Total current liabilities,2162209.0,1244306.0,888916.0,582693.0,698768.0,143394.0
Long-term debt,2916337.0,0.0,0.0,205005.0,204809.0,204613.0
Total debt,2916337.0,0.0,205201.0,205005.0,204809.0,204613.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,2916337.0,0.0,0.0,205005.0,204809.0,204613.0
Total liabilities,5078546.0,1244306.0,888916.0,787698.0,903577.0,348007.0
Other comprehensive income,0.0,0.0,0.0,0.0,0.0,0.0
Retained earnings (deficit),-39948553.0,-24242688.0,-14409536.0,-8334537.0,-4456327.0,-2636643.0
Total shareholders equity,17962618.0,7618913.0,8697974.0,9812079.0,1069604.0,-29600.0
Investments,16460426.0,5629009.0,5428962.0,5487800.0,0.0,0.0
Net Debt,-19266431.0,-8452459.0,-8481219.0,-10086482.0,-993738.0,-66752.0
Other Assets,260630.0,164274.0,633148.0,88223.0,19517.0,15124.0
Other Liabilities,1019474.0,752291.0,580421.0,372963.0,408695.0,88749.0
