date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2012-12-13_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,306276000.0,454433000.0,434288000.0,290584000.0,343389000.0,357796000.0,305928000.0,252195000.0,209942000.0,209942000.0,149922000.0,66069000.0,37263000.0,250181000.0,296212000.0,283178000.0,237870000.0,140604000.0,6390000.0,2168000.0,121107000.0,186103000.0,141400000.0,131600000.0,93700000.0,61100000.0,40300000.0,26100000.0
,depreciationAndAmortization,63500000.0,65625000.0,65949000.0,65493000.0,64315000.0,53465000.0,49681000.0,48772000.0,48724000.0,398000.0,51415000.0,55958000.0,65266000.0,73210000.0,71441000.0,61085000.0,79814000.0,72308000.0,65904000.0,72308000.0,73116000.0,56639000.0,39100000.0,24600000.0,17700000.0,11900000.0,8400000.0,7200000.0
,deferredIncomeTax,-13146000.0,-9473000.0,-15885000.0,44091000.0,-1868000.0,-8579000.0,-3643000.0,-13259000.0,-14993000.0,-14993000.0,17156000.0,7370000.0,5752000.0,-6043000.0,-7242000.0,-19318000.0,-13371000.0,-12925000.0,-5019000.0,567000.0,-11419000.0,-16156000.0,-6900000.0,1900000.0,-5100000.0,-1700000.0,-700000.0,1100000.0
,stockBasedCompensation,52486000.0,48300000.0,44953000.0,42191000.0,42699000.0,41292000.0,40821000.0,38867000.0,41464000.0,41464000.0,50906000.0,57119000.0,61148000.0,68680000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,231679000.0,34083000.0,-29899000.0,79635000.0,-83794000.0,-11789000.0,63246000.0,73627000.0,0.0,29371000.0,-29723000.0,7734000.0,-64381000.0,8361000.0,-97929000.0,29408000.0,44236000.0,126251000.0,50763000.0,-50402000.0,74905000.0,120154000.0,36700000.0,65700000.0,80800000.0,53300000.0,39700000.0,-9200000.0
,accountsReceivables,127740000.0,-48461000.0,-86217000.0,-17039000.0,-15888000.0,-75745000.0,-134917000.0,-47699000.0,-21354000.0,7133000.0,-81314000.0,-68008000.0,133541000.0,67283000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,1098000.0,-9204000.0,89715000.0,47832000.0,19726000.0,60232000.0,71740000.0,38356000.0,16672000.0,16672000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-16572000.0,688157000.0,654074000.0,683973000.0,604338000.0,688132000.0,699921000.0,636675000.0,563048000.0,563048000.0,533677000.0,563400000.0,555666000.0,620047000.0,611686000.0,709615000.0,680207000.0,635971000.0,509720000.0,458957000.0,509359000.0,434454000.0,314300000.0,277600000.0,211900000.0,131100000.0,77800000.0,38100000.0
,otherNonCashItems,18399000.0,3624000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149922000.0,6795000.0,-839000.0,18137000.0,59728000.0,16119000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21000000.0,10400000.0,5100000.0,400000.0,200000.0
,netCashProvidedByOperatingActivites,596528000.0,519629000.0,572322000.0,452991000.0,442081000.0,438236000.0,340698000.0,309217000.0,289177000.0,289177000.0,256316000.0,175883000.0,240153000.0,447125000.0,411224000.0,376218000.0,327528000.0,161833000.0,123879000.0,165587000.0,275830000.0,267068000.0,147500000.0,155300000.0,82000000.0,54400000.0,42200000.0,25400000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50000000.0,0.0,0.0,0.0,0.0,-103301000.0,-92404000.0,-61751000.0,-32867000.0,-36492000.0,-48300000.0,-84695000.0,-73992000.0,-52600000.0,-71400000.0,-32000000.0,-18000000.0,-8400000.0,-4700000.0
,acquisitionsNet,-16000000.0,0.0,0.0,-1000000.0,-2000000.0,-15000000.0,0.0,0.0,0.0,-14393000.0,0.0,-1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-602000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92128000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,58674000.0,-42674000.0,-46025000.0,-36584000.0,-27079000.0,-28225000.0,-25811000.0,-44052000.0,-8577000.0,0.0,-6867000.0,-3424000.0,-4719000.0,-21116000.0,-12949000.0,-3618000.0,-7439000.0,-2139000.0,-19654000.0,-40564000.0,0.0,0.0,0.0,0.0,-3300000.0,-4600000.0,-1000000.0,200000.0
,netCashUsedForInvestingActivites,9461000.0,-102138000.0,-88509000.0,-78497000.0,-112235000.0,-117950000.0,-88641000.0,-97777000.0,-73026000.0,-73026000.0,-63402000.0,-39097000.0,-45967000.0,-94801000.0,-116250000.0,-96022000.0,22336000.0,-35006000.0,-56146000.0,-88864000.0,-84695000.0,-77145000.0,-52600000.0,-71400000.0,-35300000.0,-22600000.0,-9400000.0,-9200000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
