Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31
Cash and cash equivalents,41832000.0,23712000.0,26027000.0,10000000.0
Short-term investments,0.0,0.0,0.0,0.0
Cash and short-term investments,41832000.0,23712000.0,26027000.0,10000000.0
Receivables,249948000.0,201449000.0,139485000.0,170000000.0
Inventories,218319000.0,201402000.0,184558000.0,217000000.0
Total current assets,530310000.0,441475000.0,356321000.0,406000000.0
Property Plant & Equipment Net,244328000.0,213562000.0,201747000.0,233000000.0
Goodwill and Intangible Assets,1188673000.0,1248598000.0,1289396000.0,438520000.0
Long-term investments,1013869000.0,0.0,0.0,0.0
Tax assets,1294000.0,0.0,0.0,
Total non-current assets,1441446000.0,1465140000.0,1494574000.0,
Total assets,1971756000.0,1906615000.0,1850895000.0,1983000000.0
Payables,131058000.0,98826000.0,66280000.0,77000000.0
Short-term debt,30391000.0,0.0,0.0,0.0
Total current liabilities,201995000.0,150490000.0,112694000.0,128000000.0
Long-term debt,666108000.0,5806000.0,0.0,3000000.0
Total debt,696499000.0,5806000.0,0.0,
Deferred revenue,5863000.0,0.0,0.0,
Tax Liabilities,0.0,96985000.0,167565000.0,
Deposit Liabilities,0.0,0.0,0.0,
Total non-current liabilities,788234000.0,115740000.0,186848000.0,
Total liabilities,992687000.0,266230000.0,299542000.0,338000000.0
Other comprehensive income,965372000,-26416000.0,-33629000.0,
Retained earnings (deficit),55829000.0,0.0,0.0,0.0
Total shareholders equity,979069000.0,1635636000.0,1546322000.0,1640000000.0
Investments,1013869000.0,0.0,0.0,0.0
Net Debt,654667000.0,-17906000.0,-26027000.0,
Other Assets,0.0,14912000.0,6251000.0,
Other Liabilities,2458000.0,51664000.0,46414000.0,51000000.0
