Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31
Cash and cash equivalents,1441607.0,2926088.0,6068973.0,2070693.0,1519467.0,18736495.0,868294.0,2254431.0,957929.0
Short-term investments,0.0,0.0,0.0,500000.0,5198878.0,0.0,251349.0,375156.0,752515.0
Cash and short-term investments,1441607.0,2926088.0,6068973.0,2570693.0,6718345.0,18736495.0,1119643.0,2629587.0,1710444.0
Receivables,816698.0,905723.0,2170529.0,2510530.0,3448748.0,1218112.0,1923048.0,1604470.0,1126469.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,2756278.0,5635581.0,9619665.0,6629231.0,11844718.0,20053701.0,3106673.0,4234057.0,2842795.0
Property, Plant & Equipment Net,83608.0,221184.0,277534.0,444398.0,874769.0,54781.0,34863.0,25789.0,20478.0
Goodwill and Intangible Assets,1555226.0,12008237.0,29557997.0,32709552.0,60640826.0,1518239.0,1128961.0,872217.0,877738.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,0.0,0.0,0.0,0.0,58200.0,380832.0,0.0,0.0,0.0
Total non-current assets,2481822.0,13353341.0,31518212.0,34798585.0,62747754.0,1966496.0,2019775.0,946474.0,919784.0
Total assets,5238100.0,18988922.0,41137877.0,41427816.0,74592472.0,22020197.0,5126448.0,5180531.0,3762579.0
Payables,1843688.0,1120444.0,2172332.0,4465941.0,4941135.0,222961.0,265013.0,0.0,128393.0
Short-term debt,500000.0,0.0,0.0,445000.0,1841804.0,0.0,0.0,0.0,0.0
Total current liabilities,6140278.0,6775197.0,8620103.0,15828046.0,17842893.0,1521064.0,850340.0,404674.0,128393.0
Long-term debt,0.0,0.0,0.0,0.0,0.0,0.0,1487900.0,1491488.0,1513036.0
Total debt,500000.0,0.0,0.0,445000.0,1841804.0,0.0,1487900.0,1491488.0,1513036.0
Deferred revenue,2460436.0,4004015.0,5485599.0,9966893.0,10078938.0,1024420.0,500000.0,150000.0,0.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,112500.0,337500.0,0.0,0.0,0.0,0.0
Total non-current liabilities,208610.0,1911922.0,3742151.0,5414330.0,3107557.0,0.0,1487900.0,1491488.0,1513036.0
Total liabilities,6348888.0,8687119.0,12362254.0,21242376.0,20950450.0,1521064.0,2338240.0,1896162.0,1641429.0
Other comprehensive income,-24340.0,28848.0,0.0,0.0,0.0,0.0,1503.0,-30645.0,-1504.0
Retained earnings (deficit),-84826796.0,-69745785.0,-47458236.0,-43349734.0,-5094463.0,-1436387.0,0.0,,
Total shareholders equity,-1110788.0,10301803.0,28775623.0,20185440.0,53642022.0,20499133.0,2788208.0,3284369.0,2121150.0
Investments,0.0,0.0,0.0,500000.0,5198878.0,0.0,251349.0,375156.0,752515.0
Net Debt,-941607.0,-2926088.0,-6068973.0,-2125693.0,-4876541.0,-18736495.0,368257.0,-1138099.0,-197408.0
Other Assets,497973.0,1803770.0,1380163.0,1548008.0,1677625.0,99094.0,63982.0,0.0,5882.0
Other Liabilities,3796590.0,5654753.0,6447771.0,10917105.0,11059954.0,1298103.0,585327.0,404674.0,0.0
