date,,2020-08-29_FY,2020-05-30_FY,2019-06-01_FY,2018-06-02_FY,2017-06-03_FY,2016-05-28_FY,2015-05-30_FY,2014-05-31_FY,2013-06-01_FY,2012-06-02_FY,2011-05-28_FY,2010-05-29_FY,2009-05-30_FY,2008-05-31_FY,2007-06-02_FY,2006-06-03_FY,2005-05-28_FY,2004-05-29_FY,2003-05-31_FY,2002-06-01_FY,2001-06-02_FY,2000-06-03_FY,1999-05-29_FY,1998-05-30_FY,1997-05-31_FY,1996-05-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,0.0,18391000.0,54229000.0,125932000.0,-74278000.0,316041000.0,161254000.0,109207000.0,50400000.0,89700000.0,60800000.0,67800000.0,79500000.0,151861000.0,36700000.0,-1000000.0,-10400000.0,66400000.0,12212000.0,-10600000.0,6800000.0,-17400000.0,5100000.0,5400000.0,14800000.0,10900000.0
,depreciationAndAmortization,0.0,58103000.0,54650000.0,54026000.0,49113000.0,44592000.0,40708000.0,37203000.0,34200000.0,30800000.0,30800000.0,31800000.0,28100000.0,25320000.0,21500000.0,20600000.0,16400000.0,16800000.0,16624000.0,17300000.0,17500000.0,15800000.0,12200000.0,12000000.0,10600000.0,10400000.0
,deferredIncomeTax,-0.0,10281000.0,6123000.0,-33809000.0,14833000.0,19392000.0,5108000.0,7625000.0,-5700000.0,5300000.0,10400000.0,2100000.0,11000000.0,3659000.0,1200000.0,1000000.0,-700000.0,3600000.0,7035000.0,200000.0,3400000.0,-4700000.0,-100000.0,800000.0,2900000.0,4700000.0
,stockBasedCompensation,0.0,3600000.0,3600000.0,3500000.0,3400000.0,1700000.0,2300000.0,1273000.0,291000.0,-702000.0,-2392000.0,-533000.0,-2722000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-33763000.0,-63778000.0,13164000.0,108155000.0,-171305000.0,165805000.0,52735000.0,39592000.0,-16800000.0,54000000.0,27300000.0,82200000.0,16450000.0,41050000.0,19700000.0,-12800000.0,-19300000.0,65151000.0,10449000.0,-11000000.0,9800000.0,-30000000.0,-8100000.0,11300000.0,18600000.0,-1100000.0
,accountsReceivables,0.0,-28300000.0,16011000.0,31403000.0,-37222000.0,-798000.0,-584000.0,0.0,912000.0,4305000.0,-22200000.0,13106000.0,-3580000.0,0.0,-8097000.0,3244000.0,4835000.0,-1459000.0,0.0,-200000.0,-2200000.0,-1400000.0,1500000.0,-400000.0,0.0,0.0
,inventory,0.0,-9704000.0,-2285000.0,-7952000.0,2386000.0,-8539000.0,-143000.0,8909000.0,-6377000.0,-7137000.0,-16112000.0,5311000.0,-2911000.0,-14558000.0,47000.0,2136000.0,3624000.0,-756000.0,-4897000.0,1000000.0,-3200000.0,-5500000.0,3000000.0,1200000.0,1200000.0,-2600000.0
,accountsPayables,0.0,17679000.0,-14338000.0,28378000.0,-9491000.0,-8508000.0,6486000.0,-8137000.0,8309000.0,21892000.0,12282000.0,2887000.0,0.0,0.0,0.0,0.0,0.0,6750000.0,0.0,500000.0,-1900000.0,-500000.0,1100000.0,-2400000.0,0.0,0.0
,otherWorkingCapital,395305000.0,429068000.0,492846000.0,479682000.0,371527000.0,542832000.0,377027000.0,324292000.0,284700000.0,301500000.0,247500000.0,220200000.0,138000000.0,121550000.0,80500000.0,60800000.0,73600000.0,92900000.0,27749000.0,17300000.0,28300000.0,18500000.0,48500000.0,56600000.0,45300000.0,26700000.0
,otherNonCashItems,0.0,7470000.0,-161000.0,2102000.0,9099000.0,2293000.0,-149000.0,383000.0,-1900000.0,-47100000.0,-11000000.0,-6300000.0,-5600000.0,4531000.0,200000.0,800000.0,-500000.0,-6200000.0,0.0,300000.0,100000.0,-1200000.0,-600000.0,100000.0,0.0,100000.0
,netCashProvidedByOperatingActivites,0.0,73609000.0,115085000.0,200415000.0,-45918000.0,388437000.0,195330000.0,123920000.0,57500000.0,98100000.0,62300000.0,116700000.0,111300000.0,158416000.0,59700000.0,20900000.0,9600000.0,85100000.0,30731000.0,300000.0,30400000.0,-11100000.0,24100000.0,24900000.0,32500000.0,25300000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-121000000.0,-121000000.0,-67989000.0,-19671000.0,-66657000.0,-76125000.0,-82263000.0,-59188000.0,-26290000.0,-26845000.0,1524000.0,-67000.0,-26112000.0,-31686000.0,-23472000.0,-12372000.0,-11977000.0,-307000.0,-12546000.0,-15600000.0,-14100000.0,-27900000.0,-15900000.0,-14800000.0,-16200000.0,-8800000.0
,acquisitionsNet,-45000000.0,-45000000.0,-17889000.0,0.0,-85822000.0,0.0,0.0,-12000000.0,-74907000.0,0.0,0.0,-508000.0,-91223000.0,0.0,-12053000.0,-23756000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-0.0,-107234000.0,-176951000.0,-275287000.0,-29849000.0,-403204000.0,-202506000.0,-142585000.0,-181721000.0,-160630000.0,-156906000.0,-82824000.0,-21453000.0,-122825000.0,-43250000.0,-60823000.0,-89499000.0,-36352000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,209806000.0,127664000.0,0.0,0.0,0.0,108117000.0,0.0,0.0,0.0,0.0,0.0,120175000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,42809000.0,214697000.0,215012000.0,131108000.0,238460000.0,266780000.0,143137000.0,5003000.0,194580000.0,160426000.0,0.0,0.0,0.0,531000.0,0.0,0.0,0.0,0.0,205000.0,0.0,0.0,0.0,0.0,0.0,-5300000.0,500000.0
,netCashUsedForInvestingActivites,42809000.0,-61365000.0,-47817000.0,-163850000.0,52734000.0,-219148000.0,-141632000.0,-99383000.0,-88300000.0,-27000000.0,-30600000.0,-61600000.0,-122500000.0,-31335000.0,-49300000.0,-22900000.0,-23700000.0,-44000000.0,-11812000.0,-14400000.0,-13000000.0,-60000000.0,-26800000.0,-18100000.0,-20600000.0,-7600000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
