date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,145535000.0,138783000.0,133793000.0,87663000.0,67250000.0,62382000.0,42169000.0,41762000.0,37931000.0,33321000.0,30276000.0,26759000.0,23894000.0,23259000.0,21786000.0,17680000.0,11280000.0,6620000.0,5501000.0,2637000.0
,depreciationAndAmortization,29061000.0,29371000.0,28724000.0,24500000.0,20552000.0,16147000.0,13900000.0,12502000.0,11576000.0,10987000.0,9781000.0,9744000.0,9174000.0,7160000.0,5813000.0,6912000.0,3958000.0,3429000.0,1639000.0,0.0
,deferredIncomeTax,-16869000.0,4783000.0,-1300000.0,570000.0,3154000.0,3671000.0,-1146000.0,-2641000.0,1404000.0,-936000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-731000.0
,stockBasedCompensation,5481000.0,5345000.0,2905000.0,2706000.0,2162000.0,1917000.0,1391000.0,1695000.0,1542000.0,1350000.0,1012000.0,1638000.0,1741000.0,2359000.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,24189000.0,-5086000.0,42692000.0,678000.0,12633000.0,24162000.0,-5131000.0,-21806000.0,-5975000.0,-53445000.0,-21563000.0,-16993000.0,-665000.0,-9604000.0,35866000.0,11155000.0,-11977000.0,-2029000.0,394000.0,-229000.0
,accountsReceivables,1305000.0,-46000.0,-10579000.0,-2213000.0,-3766000.0,-4247000.0,-1089000.0,106000.0,193000.0,814000.0,-269000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-3840000.0,1065000.0,3224000.0,5720000.0,646000.0,499000.0,-238000.0,-71000.0,-753000.0,-1358000.0,-2155000.0,-1911000.0,2396000.0,1171000.0,0.0,0.0,0.0,0.0,0.0,44000.0
,otherWorkingCapital,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19139000.0,-13800000.0,-3375000.0,-10294000.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,51984000.0,-101509000.0,188682000.0,107804000.0,165114000.0,14733000.0,22922000.0,116125000.0,13192000.0,0.0,-2000.0,16544000.0,-3218000.0,4859000.0,3936000.0,-6631000.0,5344000.0,39622000.0,-20215000.0,-18390000.0
,netCashProvidedByOperatingActivites,127888000.0,-16035000.0,307350000.0,124768000.0,185039000.0,81087000.0,44521000.0,115541000.0,40336000.0,5622000.0,46754000.0,-21439000.0,34988000.0,19459000.0,69205000.0,29102000.0,8593000.0,47081000.0,-13544000.0,-16713000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-45788000.0,-36717000.0,-20847000.0,-13445000.0,-18055000.0,-23315000.0,-11926000.0,-19170000.0,-20609000.0,-27303000.0,0.0,-16823000.0,-9061000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,acquisitionsNet,0.0,0.0,61000000.0,-11000000.0,62000000.0,241000000.0,-13000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-454302000.0,-782103000.0,-961298000.0,-1139306000.0,-980093000.0,-515713000.0,-385838000.0,-901397000.0,-710867000.0,-591826000.0,-486813000.0,-723405000.0,-266561000.0,-76580000.0,-303335000.0,-164363000.0,-32904000.0,-145297000.0,-118258000.0,-84217000.0
,salesMaturitiesOfInvestments,564536000.0,469502000.0,911772000.0,1086363000.0,893927000.0,626394000.0,276484000.0,752444000.0,584224000.0,686508000.0,548146000.0,554773000.0,188312000.0,43550000.0,271647000.0,20596000.0,49400000.0,95832000.0,93480000.0,42347000.0
,otherInvestingActivites,19954000.0,14520000.0,7303000.0,6816000.0,3121000.0,8113000.0,1082000.0,15146000.0,9401000.0,4259000.0,-158000.0,0.0,0.0,-36000000.0,-377560000.0,-152275000.0,-193474000.0,-156176000.0,-123029000.0,-132122000.0
,netCashUsedForInvestingActivites,-1118991000.0,-753271000.0,-636608000.0,-209382000.0,-501123000.0,-98473000.0,-282890000.0,-262788000.0,-497456000.0,-7858000.0,-33889000.0,-418858000.0,-616134000.0,-281104000.0,-416853000.0,-309191000.0,-190753000.0,-219412000.0,-158160000.0,-173992000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,-322393000.0,-131945000.0,-168256000.0,0.0,0.0,0.0,0.0,0.0,-53043000.0,0.0,0.0,0.0,0.0,0.0,-26529000.0,0.0,0.0,-10000000.0,0.0
,commonStockIssued,911000.0,0.0,0.0,0.0,2264000.0,0.0,0.0,0.0,2526000.0,3000.0,1893000.0,20078000.0,4583000.0,4978000.0,0.0,0.0,0.0,0.0,0.0,1685000.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,-76458000.0,0.0,0.0,0.0,-76458000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,-52244000.0,-49375000.0,-44862000.0,-34437000.0,-30542000.0,-21985000.0,-16041000.0,-13536000.0,-19792000.0,-17348000.0,-17610000.0,-16298000.0,-9255000.0,-12939000.0,-5418000.0,-2891000.0,-1044000.0,-508000.0,0.0,0.0
,otherFinancingActivites,-19856000.0,-4946000.0,-5297000.0,-6346000.0,-2782000.0,-3342000.0,-2439000.0,-1500000.0,0.0,18000.0,1371000.0,513000.0,157000.0,1983000.0,0.0,0.0,0.0,0.0,0.0,10000000.0
