date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2012-03-14_FY,2011-12-31_FY,2011-03-16_FY,2010-12-31_FY,2010-03-16_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,200300000.0,174700000.0,157706000.0,157675000.0,97201000.0,97650000.0,77184000.0,84512000.0,42653000.0,24297000.0,24297000.0,-9897000.0,-9897000.0,4707000.0,4707000.0,18970000.0,9322000.0,11044000.0,-96000.0,-42393000.0,-81800000.0,12248000.0,17040000.0,19247000.0,14462000.0,11300000.0,8300000.0,5600000.0,4300000.0,3300000.0,2500000.0,1800000.0,1100000.0
,depreciationAndAmortization,89700000.0,91200000.0,94975000.0,58604000.0,62249000.0,51569000.0,38296000.0,29882000.0,18016000.0,6505000.0,2346000.0,5881000.0,7996000.0,5731000.0,11806000.0,14542000.0,22078000.0,5629000.0,6263000.0,6598000.0,7150000.0,5143000.0,1537000.0,1392000.0,1158000.0,900000.0,800000.0,700000.0,500000.0,400000.0,400000.0,400000.0,200000.0
,deferredIncomeTax,1300000.0,18900000.0,11215000.0,-5140000.0,12834000.0,11549000.0,15948000.0,4111000.0,4970000.0,3748000.0,3748000.0,2274000.0,2274000.0,4287000.0,4287000.0,9000.0,-4163000.0,-3906000.0,0.0,2144000.0,-2071000.0,-2632000.0,-379000.0,-339000.0,-785000.0,-300000.0,-300000.0,-400000.0,-200000.0,-100000.0,-100000.0,-100000.0,0.0
,stockBasedCompensation,32300000.0,39300000.0,31488000.0,24044000.0,27024000.0,22018000.0,16199000.0,14411000.0,9706000.0,6927000.0,6927000.0,7749000.0,7749000.0,5007000.0,5007000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,95300000.0,-45800000.0,-26453000.0,-60305000.0,-19100000.0,-56529000.0,-58438000.0,-7092000.0,-41722000.0,0.0,-22309000.0,0.0,-4363000.0,0.0,12836000.0,-11903000.0,-1270000.0,-332000.0,-3936000.0,-3780000.0,1934000.0,3873000.0,21134000.0,29948000.0,10769000.0,8600000.0,11500000.0,10000000.0,3600000.0,1900000.0,2400000.0,2800000.0,-100000.0
,accountsReceivables,-12900000.0,-24300000.0,-90668000.0,-50461000.0,-43289000.0,-53775000.0,-45361000.0,-20155000.0,-18604000.0,-25079000.0,-25079000.0,-10532000.0,-10532000.0,28024000.0,28024000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,800000.0,-7300000.0,23320000.0,315000.0,-2236000.0,1684000.0,-1693000.0,-1580000.0,1987000.0,-1812000.0,-1812000.0,1032000.0,1032000.0,-695000.0,-695000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,578200000.0,450600000.0,378123000.0,332806000.0,275025000.0,253858000.0,220338000.0,180853000.0,175030000.0,74705000.0,74705000.0,50596000.0,50596000.0,62238000.0,62238000.0,91192000.0,79009000.0,135501000.0,47629000.0,40957000.0,53258000.0,56996000.0,105851000.0,84717000.0,54769000.0,44000000.0,35400000.0,23900000.0,13900000.0,10300000.0,8400000.0,6000000.0,3200000.0
,otherNonCashItems,5900000.0,27900000.0,11651000.0,6610000.0,5642000.0,10887000.0,1408000.0,14892000.0,1598000.0,0.0,643000.0,0.0,7162000.0,0.0,3234000.0,12638000.0,7540000.0,1960000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,200000.0,100000.0,0.0,100000.0,-100000.0
,netCashProvidedByOperatingActivites,424800000.0,313200000.0,287451000.0,196446000.0,196250000.0,117493000.0,96022000.0,110524000.0,40697000.0,23419000.0,23419000.0,26861000.0,26861000.0,0.0,42013000.0,35358000.0,33658000.0,14494000.0,3263000.0,-6336000.0,6248000.0,20402000.0,25481000.0,21406000.0,10110000.0,11600000.0,8300000.0,5700000.0,3200000.0,2600000.0,2000000.0,1100000.0,1100000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-32600000.0,-32700000.0,-28701000.0,-24265000.0,-27138000.0,-24689000.0,-19729000.0,-16531000.0,-14354000.0,-8411000.0,-8411000.0,-6302000.0,-6302000.0,-4673000.0,-4673000.0,-8201000.0,-5899000.0,-4111000.0,-3825000.0,0.0,-4894000.0,-4659000.0,-855000.0,-1111000.0,-1849000.0,-2000000.0,-1200000.0,-1200000.0,-600000.0,-900000.0,-300000.0,-600000.0,-300000.0
,acquisitionsNet,-186000000.0,-116000000.0,-760000000.0,-26000000.0,0.0,-553000000.0,0.0,-111000000.0,-348000000.0,-348000000.0,-33000000.0,-33000000.0,-10000000.0,-10000000.0,-10000000.0,-9000000.0,-232000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6000000.0,0.0,0.0,-2000000.0,-26645000.0,-7121000.0,-10777000.0,-10300000.0,-7300000.0,-1000000.0,-4300000.0,-4400000.0,-11600000.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12800000.0,2000000.0,24886000.0,17093000.0,5195000.0,5455000.0,7600000.0,4900000.0,3600000.0,2600000.0,2900000.0,9300000.0,0.0,0.0
