date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2000-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-7900000.0,-60300000.0,-24000000.0,-29800000.0,16300000.0,-76900000.0,72100000.0,52400000.0,-49300000.0,59406000.0,43801000.0,-1906000.0,-261385000.0,-1071997000.0,124054000.0,112946000.0,86412000.0,113902000.0,0.0
,depreciationAndAmortization,64400000.0,73800000.0,76300000.0,75100000.0,79900000.0,66100000.0,55500000.0,50700000.0,44300000.0,46051000.0,48074000.0,57091000.0,56672000.0,51979000.0,38978000.0,32465000.0,29567000.0,27295000.0,27148000.0
,deferredIncomeTax,9100000.0,-13500000.0,9500000.0,-4900000.0,7500000.0,25600000.0,5500000.0,12000000.0,29800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6282000.0,0.0,0.0
,stockBasedCompensation,11000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25767000.0,35106000.0,9608000.0,12596000.0,14177000.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,559000000.0,-182600000.0,-385600000.0,68600000.0,136200000.0,-95500000.0,-288300000.0,-333000000.0,-64373000.0,-33545000.0,-666538000.0,-713083000.0,-1340941000.0,-1406985000.0,134705000.0,6805052000.0,787408000.0,701700000.0,0.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,29300000.0,-4800000.0,-73700000.0,70300000.0,-34500000.0,-29100000.0,-8300000.0,-58400000.0,-3500000.0,33164000.0,-32853000.0,-5634000.0,-95622000.0,7984000.0,-25348000.0,23127000.0,0.0,29724000.0,0.0
,otherWorkingCapital,3682200000.0,3123200000.0,3305800000.0,3691400000.0,3622800000.0,3486600000.0,3582100000.0,3870400000.0,4203400000.0,4267773000.0,4301318000.0,4967856000.0,5680939000.0,7021880000.0,8428865000.0,8294160000.0,1489108000.0,701700000.0,0.0
,otherNonCashItems,7600000.0,28500000.0,26900000.0,18200000.0,23500000.0,-24600000.0,-42900000.0,3300000.0,37000000.0,-29157000.0,-27467000.0,4650000.0,27739000.0,-1881000.0,3051000.0,-6414000.0,2817000.0,6814000.0,0.0
,netCashProvidedByOperatingActivites,97300000.0,63000000.0,29300000.0,132500000.0,118200000.0,33600000.0,62300000.0,610500000.0,-56100000.0,188110000.0,60737000.0,82534000.0,-4639781000.0,-355804000.0,-370006000.0,101953000.0,446517000.0,-196163000.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,-54500000.0,-57800000.0,-83600000.0,-82800000.0,-109900000.0,-85800000.0,-48800000.0,-59600000.0,-44223000.0,-40191000.0,-37948000.0,-38470000.0,-70457000.0,-81033000.0,-47359000.0,-29589000.0,-27128000.0,0.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,-12000000.0,-15000000.0,0.0,0.0,0.0,-3000000.0,-3000000.0,-29000000.0,-7000000.0,-9000000.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1098700000.0,-473500000.0,-540338000.0,-707137000.0,0.0,0.0,-758898000.0,-707452000.0,-1843064000.0,-3098498000.0,-4888918000.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553400000.0,589700000.0,511609000.0,842353000.0,140999000.0,3389331000.0,1077614000.0,1223460000.0,1836965000.0,2851895000.0,5354783000.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,400000.0,900000.0,700000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-700000.0,428000.0,-1341000.0,0.0
,netCashUsedForInvestingActivites,-40800000.0,-54500000.0,-57800000.0,-83600000.0,-82800000.0,-109500000.0,-96400000.0,-608800000.0,57600000.0,-70322000.0,102232000.0,104341000.0,3347933000.0,219047000.0,427664000.0,-62693000.0,-260517000.0,332316000.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-29500000.0,-31600000.0,-9800000.0,-9800000.0,-30300000.0,-9800000.0,-9500000.0,-819500000.0,-1500000.0,-17066000.0,0.0,-186875000.0,-101875000.0,0.0,0.0,0.0,0.0,-105738000.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1693000.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,-11700000.0,-400000.0,-149700000.0,0.0,0.0,0.0,0.0,0.0,0.0,-45992000.0,-67856000.0,-50000000.0,-40076000.0,-976000.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20477000.0,0.0,0.0,0.0,-16625000.0,-14445000.0,-6058000.0,-17409000.0,-31603000.0,0.0
,otherFinancingActivites,-700000.0,24400000.0,-6200000.0,-8000000.0,-700000.0,0.0,-5100000.0,-33300000.0,0.0,-250361000.0,0.0,0.0,-100027000.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,-7200000.0,-7200000.0,-16000000.0,-16100000.0,-42700000.0,-10200000.0,-34100000.0,-1700000.0,-1500000.0,-117788000.0,-162969000.0,-186875000.0,1291848000.0,140057000.0,-57658000.0,-39260000.0,-110974000.0,-58772000.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
