Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31
Cash and cash equivalents,2336163636.3636,1096906448.006,1151215760.0103,279701201.014,169128200.2037
Short-term investments,144681818.1818,117654367.0021,59416264.2622,2837576.362,6788072.6131
Cash and short-term investments,2480845454.5454,1214560815.0081,1210632024.2725,282538777.376,175916272.8168
Receivables,342218181.8182,380632909.1458,240733301.9956,226476308.0248,202264959.3347
Inventories,44427272.7273,30660419.218,8213324.2169,12267290.0303,17606088.946
Total current assets,2959218181.8182,1691860568.3048,1493158412.0337,541685284.4616,412203852.7698
Property Plant & Equipment Net,224781818.1818,134222529.8617,77167642.4084,87277147.4878,80625252.5927
Goodwill and Intangible Assets,203572727.2727,206352164.4215,44878423.999,34345659.311,21999014.6796
Long-term investments,874618181.8182,505191416.8575,413888295.372,209888592.4448,168704278.6286
Tax assets,155518181.8182,146353584.2962,157130037.1779,140814121.265,30325531.4885
Total non-current assets,1464300000.0,1000922918.5524,695542925.516,473643070.2739,303104151.7059
Total assets,4423518181.8182,2692783486.8573,2188701337.5497,1015328354.7355,715308004.4757
Payables,318045454.5455,255666187.459,184026323.6614,191025574.5335,161733829.8903
Short-term debt,333872727.2727,248504694.4607,209367121.0632,365151577.1101,212098323.2853
Total current liabilities,1120236363.6364,899996450.3133,738737660.7837,796889132.6933,570316479.9011
Long-term debt,1296900000.0,5342278.5439,0.0,68852.5953,4334048.6648
Total debt,1630772727.2727,253846973.0046,209367121.0632,365220429.7054,216432371.9501
Deferred revenue,0.0,82051008.9985,83235759.1556,64996500.8519,0.0
Tax Liabilities,48709090.9091,34946665.9567,58629973.0781,40417528.9864,55673274.4368
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,1407700000.0,106889941.9626,73757531.7294,72714374.7662,40522779.2715
Total liabilities,2527936363.6364,1006886392.2759,812495192.5131,869603507.4596,610839259.1727
Other comprehensive income,-18300000.0,66024173.3667,35477116.3625,44620571.0011,31319185.3571
Retained earnings (deficit),-50509090.9091,-38105887.1555,-105815990.7696,-159616032.9136,-97049850.5319
Total shareholders equity,1808327272.7273,1642395683.5809,1374590829.4517,147473673.2743,104344461.3303
Investments,1019300000.0,622845783.8596,473304559.6342,212726168.8069,175492351.2417
Net Debt,-810119480.0386,,,,
Other Assets,104509090.9091,,,,
Other Liabilities,468318181.8182,395825568.3936,345344216.0591,240711981.0497,196484326.7255
