date,,2020-09-25_FY,2019-09-27_FY,2018-09-28_FY,2017-09-29_FY,2016-09-30_FY,2015-09-25_FY,2014-09-26_FY,2013-09-27_FY,2012-09-28_FY,2011-09-30_FY,2010-09-24_FY,2009-09-25_FY,2008-09-26_FY,2007-09-28_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-241000000.0,1844000000.0,2565000000.0,1683000000.0,2009000000.0,2420000000.0,1781000000.0,1276000000.0,1118000000.0,1245000000.0,1103000000.0,-3256000000.0,1782000000.0,-554000000.0
,depreciationAndAmortization,711000000.0,690000000.0,667000000.0,611000000.0,560000000.0,616000000.0,617000000.0,607000000.0,609000000.0,574000000.0,520000000.0,515000000.0,559000000.0,535000000.0
,deferredIncomeTax,535000000.0,-218000000.0,-791000000.0,-142000000.0,136000000.0,40000000.0,-234000000.0,30000000.0,-48000000.0,109000000.0,35000000.0,-583000000.0,174000000.0,162000000.0
,stockBasedCompensation,74000000.0,75000000.0,95000000.0,99000000.0,91000000.0,89000000.0,84000000.0,78000000.0,68000000.0,73000000.0,63000000.0,0.0,0.0,0.0
,changeInWorkingCapital,80000000.0,225000000.0,-290000000.0,370000000.0,-2601000000.0,720000000.0,1205000000.0,-114000000.0,-732000000.0,-40000000.0,307000000.0,-799000000.0,75000000.0,-213000000.0
,accountsReceivables,14000000.0,31000000.0,-269000000.0,-253000000.0,116000000.0,-210000000.0,-205000000.0,-81000000.0,17000000.0,34000000.0,-323000000.0,74000000.0,41000000.0,-142000000.0
,inventory,14000000.0,64000000.0,-247000000.0,-211000000.0,16000000.0,-220000000.0,50000000.0,59000000.0,58000000.0,19000000.0,-4000000.0,74000000.0,41000000.0,-81000000.0
,accountsPayables,-80000000.0,-178000000.0,201000000.0,308000000.0,-100000000.0,-22000000.0,52000000.0,167000000.0,-189000000.0,-48000000.0,317000000.0,-420000000.0,49000000.0,-82000000.0
,otherWorkingCapital,2094000000.0,2014000000.0,1789000000.0,2079000000.0,1709000000.0,4310000000.0,3590000000.0,2385000000.0,2499000000.0,3231000000.0,3271000000.0,2964000000.0,3763000000.0,3688000000.0
,otherNonCashItems,0.0,239000000.0,299000000.0,45000000.0,539000000.0,-585000000.0,135000000.0,456000000.0,248000000.0,66000000.0,-76000000.0,3894000000.0,-1450000000.0,1588000000.0
,netCashProvidedByOperatingActivites,257000000.0,2422000000.0,2451000000.0,2321000000.0,1947000000.0,1930000000.0,2083000000.0,2046000000.0,1947000000.0,1779000000.0,1679000000.0,1325000000.0,987000000.0,1518000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,17000000.0,-749000000.0,-935000000.0,-702000000.0,0.0,-600000000.0,-673000000.0,-615000000.0,-533000000.0,-581000000.0,-385000000.0,13000000.0,42000000.0,-892000000.0
,acquisitionsNet,-339000000.0,-283000000.0,-153000000.0,-250000000.0,-1336000000.0,-1725000000.0,-528000000.0,-6000000.0,-1384000000.0,-731000000.0,-93000000.0,709000000.0,-3000000.0,227000000.0
,purchasesOfInvestments,0.0,-1091000000.0,-879000000.0,-614000000.0,-2787000000.0,-1023000000.0,-578000000.0,-844000000.0,-185000000.0,-865000000.0,-488000000.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,1431000000.0,873000000.0,634000000.0,3170000000.0,3984000000.0,704000000.0,911000000.0,592000000.0,1134000000.0,524000000.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-865000000.0,-692000000.0,-1094000000.0,-932000000.0,-1581000000.0,636000000.0,-1075000000.0,-545000000.0,-1510000000.0,-1043000000.0,-442000000.0,391000000.0,895000000.0,-1528000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-352000000.0,-691000000.0,-708000000.0,323000000.0,-501000000.0,-473000000.0,-360000000.0,-715000000.0,-642000000.0,-565000000.0,-100000000.0,-602000000.0,-1751000000.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,-523000000.0,-1006000000.0,-779000000.0,-497000000.0,-2697000000.0,-920000000.0,-422000000.0,-630000000.0,-125000000.0,-785000000.0,-476000000.0,-151000000.0,-1188000000.0,0.0
,dividendsPaid,-625000000.0,-608000000.0,-588000000.0,-546000000.0,-509000000.0,-502000000.0,-443000000.0,-384000000.0,-332000000.0,-296000000.0,-289000000.0,-294000000.0,-271000000.0,0.0
,otherFinancingActivites,0.0,747000000.0,453000000.0,346000000.0,767000000.0,392000000.0,1446000000.0,265000000.0,1094000000.0,214000000.0,98000000.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,-1104000000.0,-1643000000.0,-1722000000.0,-814000000.0,-3030000000.0,-1623000000.0,65000000.0,-1678000000.0,-65000000.0,-1512000000.0,-779000000.0,-1254000000.0,-1739000000.0,431000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,-8000000.0,-5000000.0,-4000000.0,7000000.0,-71000000.0,-19000000.0,-9000000.0,-1000000.0,5000000.0,11000000.0,-31000000.0,1000000.0,46000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
