date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY
,salesMaturitiesOfInvestments,141000000.0,130000000.0,90000000.0,90000000.0,520000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,246000000.0,3000000.0,26000000.0,182000000.0,172000000.0,174000000.0,97000000.0,91000000.0,105000000.0,142000000.0,-6000000.0,309000000.0,404000000.0,569000000.0,603000000.0,-63000000.0,19000000.0,126000000.0,-51000000.0,192000000.0,241000000.0,220000000.0,213000000.0,329000000.0,764000000.0,635000000.0,0.0
,netCashUsedForInvestingActivites,-2676000000.0,-3435000000.0,-3411000000.0,-3086000000.0,-3393000000.0,-4476000000.0,-4249000000.0,-3405000000.0,-3633000000.0,-3119000000.0,-2488000000.0,-2175000000.0,-2764000000.0,-2426000000.0,-2042000000.0,-2047000000.0,-1712000000.0,-1476000000.0,-1521000000.0,-1544000000.0,-1542000000.0,-1614000000.0,-1898000000.0,-1772000000.0,-1135000000.0,-2569000000.0,-1961000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-2053000000.0,-817000000.0,-1736000000.0,-840000000.0,-1013000000.0,-556000000.0,-710000000.0,-640000000.0,-758000000.0,-690000000.0,-1412000000.0,-871000000.0,-1208000000.0,-792000000.0,-657000000.0,-699000000.0,-588000000.0,-2117000000.0,-1197000000.0,-1219000000.0,-796000000.0,-692000000.0,-1789000000.0,-572000000.0,-2047000000.0,-1531000000.0,-338000000.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,844000000.0,0.0
,commonStockRepurchased,-3705000000.0,-5804000000.0,-8225000000.0,-4013000000.0,-3105000000.0,-3465000000.0,-3225000000.0,-2218000000.0,-1474000000.0,-1418000000.0,-1249000000.0,0.0,-1637000000.0,-1375000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1000000.0
,dividendsPaid,-2626000000.0,-2598000000.0,-2299000000.0,-1982000000.0,-1879000000.0,-2344000000.0,-1632000000.0,-1333000000.0,-1146000000.0,-837000000.0,-602000000.0,-544000000.0,-481000000.0,-364000000.0,-322000000.0,-314000000.0,-310000000.0,-234000000.0,-201000000.0,-198000000.0,-199000000.0,-198000000.0,-255000000.0,-422000000.0,-353000000.0,-353000000.0,-334000000.0
,otherFinancingActivites,-395000000.0,-407000000.0,-48000000.0,-46000000.0,-232000000.0,-26000000.0,-3000000.0,-301000000.0,1000000.0,-164000000.0,-12000000.0,114000000.0,134000000.0,150000000.0,195000000.0,261000000.0,721000000.0,729000000.0,775000000.0,977000000.0,509000000.0,634000000.0,3463000000.0,1065000000.0,1798000000.0,2270000000.0,733000000.0
,netCashUsedProvidedByFinancingActivities,-4902000000.0,-5646000000.0,-5222000000.0,-4146000000.0,-4246000000.0,-3063000000.0,-2982000000.0,-3049000000.0,-2682000000.0,-2623000000.0,-2381000000.0,-458000000.0,-935000000.0,-800000000.0,-784000000.0,-752000000.0,-75000000.0,-1406000000.0,-473000000.0,-440000000.0,-486000000.0,-256000000.0,1419000000.0,71000000.0,-602000000.0,1230000000.0,60000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,962000000.0,-472000000.0,53000000.0,-2000000.0,-114000000.0,-195000000.0,154000000.0,369000000.0,-154000000.0,131000000.0,-764000000.0,601000000.0,371000000.0,51000000.0,54000000.0,-204000000.0,450000000.0,160000000.0,256000000.0,8000000.0,-70000000.0,-1000000.0,86000000.0,-101000000.0,-39000000.0,115000000.0,8000000.0
,cashAtEndOfPeriod,1818000000.0,856000000.0,1328000000.0,1275000000.0,1277000000.0,1391000000.0,1586000000.0,1432000000.0,1063000000.0,1217000000.0,1086000000.0,1850000000.0,1249000000.0,878000000.0,827000000.0,773000000.0,977000000.0,527000000.0,369000000.0,113000000.0,105000000.0,175000000.0,176000000.0,90000000.0,191000000.0,230000000.0,121000000.0
,cashAtBeginningOfPeriod,856000000.0,1328000000.0,1275000000.0,1277000000.0,1391000000.0,1586000000.0,1432000000.0,1063000000.0,1217000000.0,1086000000.0,1850000000.0,1249000000.0,878000000.0,827000000.0,773000000.0,977000000.0,527000000.0,367000000.0,113000000.0,105000000.0,175000000.0,176000000.0,90000000.0,191000000.0,230000000.0,115000000.0,113000000.0
,operatingCashFlow,8540000000.0,8609000000.0,8686000000.0,7230000000.0,7525000000.0,7344000000.0,7385000000.0,6823000000.0,6161000000.0,5873000000.0,4105000000.0,3234000000.0,4070000000.0,3277000000.0,2880000000.0,2595000000.0,2237000000.0,2422000000.0,2250000000.0,1992000000.0,1958000000.0,1869000000.0,565000000.0,1600000000.0,1657000000.0,1454000000.0,1909000000.0
,capitalExpenditure,-2927000000.0,-3453000000.0,-3437000000.0,-3238000000.0,-3505000000.0,-4650000000.0,-4346000000.0,-3496000000.0,-3738000000.0,-3261000000.0,-2482000000.0,-2484000000.0,-3168000000.0,-3117000000.0,-2778000000.0,-2169000000.0,-1876000000.0,-1752000000.0,-1887000000.0,0.0,-1783000000.0,-1834000000.0,-2111000000.0,-2101000000.0,-1360000000.0,-1058000000.0,-1597000000.0
,freeCashFlow,5613000000.0,5156000000.0,5249000000.0,3992000000.0,4020000000.0,2694000000.0,3039000000.0,3327000000.0,2423000000.0,2612000000.0,1623000000.0,750000000.0,902000000.0,160000000.0,102000000.0,426000000.0,361000000.0,670000000.0,363000000.0,1992000000.0,175000000.0,35000000.0,-1546000000.0,-501000000.0,297000000.0,396000000.0,312000000.0
