date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,3933000000.0,2198000000.0,1050000000.0,257000000.0,1371000000.0,1350000000.0,1162000000.0,1009000000.0,865000000.0,1357000000.0,739000000.0,1119000000.0,1113000000.0,1099000000.0,1406000000.0,920000000.0,895000000.0,649000000.0,591000000.0,518000000.0,429000000.0,394000000.0,294000000.0
,depreciationAndAmortization,1666000000.0,1569000000.0,1549000000.0,1490000000.0,1312000000.0,1250000000.0,1156000000.0,1113000000.0,1090000000.0,978000000.0,867000000.0,775000000.0,687000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,deferredIncomeTax,159000000.0,189000000.0,-182000000.0,1160000000.0,217000000.0,239000000.0,146000000.0,334000000.0,-43000000.0,-24000000.0,48000000.0,295000000.0,324000000.0,149000000.0,77000000.0,-283000000.0,13000000.0,-73000000.0,-92000000.0,106000000.0,258000000.0,-43000000.0,-199000000.0
,stockBasedCompensation,71000000.0,75000000.0,83000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-306000000.0,-1933000000.0,-584000000.0,-477000000.0,-1096000000.0,-836000000.0,-513000000.0,191000000.0,1268000000.0,-1398000000.0,1160000000.0,-457000000.0,-2080000000.0,-723000000.0,506000000.0,1467000000.0,156000000.0,-225000000.0,479000000.0,326000000.0,-755000000.0,-279000000.0,479000000.0
,accountsReceivables,-315000000.0,-91000000.0,-144000000.0,17000000.0,-42000000.0,-99000000.0,44000000.0,-273000000.0,36000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-35000000.0,-22000000.0,23000000.0,-49000000.0,-20000000.0,65000000.0,-133000000.0,116000000.0,-78000000.0,-84000000.0,-62000000.0,124000000.0,-75000000.0,-9000000.0,-3000000.0,0.0,-25000000.0,-13000000.0,-11000000.0,33000000.0,0.0,3000000.0,-40000000.0
,accountsPayables,73000000.0,12000000.0,92000000.0,83000000.0,122000000.0,-157000000.0,109000000.0,-28000000.0,3000000.0,60000000.0,79000000.0,-109000000.0,-526000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,60000000.0,-5811000000.0,-3878000000.0,-3294000000.0,-2817000000.0,-1721000000.0,-885000000.0,-372000000.0,-563000000.0,-1831000000.0,-433000000.0,-1593000000.0,-1136000000.0,944000000.0,1667000000.0,1161000000.0,-306000000.0,-462000000.0,-237000000.0,-716000000.0,-1042000000.0,-287000000.0,-8000000.0
,otherNonCashItems,132000000.0,26000000.0,315000000.0,149000000.0,63000000.0,75000000.0,108000000.0,13000000.0,34000000.0,-298000000.0,399000000.0,377000000.0,137000000.0,89000000.0,81000000.0,0.0,-221000000.0,2000000.0,0.0,0.0,0.0,576000000.0,929000000.0
,netCashProvidedByOperatingActivites,2591000000.0,3088000000.0,3447000000.0,3625000000.0,2319000000.0,2905000000.0,2161000000.0,1784000000.0,2018000000.0,1867000000.0,2154000000.0,1875000000.0,1181000000.0,2117000000.0,1629000000.0,521000000.0,949000000.0,1121000000.0,1371000000.0,732000000.0,882000000.0,1188000000.0,1323000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-4676000000.0,-3708000000.0,-3784000000.0,-3949000000.0,-4214000000.0,-3156000000.0,-3123000000.0,-2572000000.0,-2956000000.0,-3599000000.0,-2062000000.0,-2179000000.0,-2546000000.0,-2011000000.0,-1907000000.0,-1404000000.0,-1083000000.0,-1049000000.0,-1214000000.0,-1068000000.0,-759000000.0,-589000000.0,-438000000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-1439000000.0,-914000000.0,-890000000.0,-1314000000.0,-1034000000.0,-531000000.0,-613000000.0,-697000000.0,-738000000.0,0.0,-371000000.0,-989000000.0,-2675000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,1439000000.0,914000000.0,890000000.0,1314000000.0,1134000000.0,577000000.0,601000000.0,933000000.0,733000000.0,64000000.0,371000000.0,23000000.0,34000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,-51000000.0,916000000.0,1593000000.0,-507000000.0,785000000.0,37000000.0,-129000000.0,517000000.0,41000000.0,653000000.0,1018000000.0,243000000.0,2332000000.0,-44000000.0,1258000000.0,23000000.0,226000000.0,-233000000.0,-3000000.0,12000000.0,78000000.0,-27000000.0,-50000000.0
,netCashUsedForInvestingActivites,-4618000000.0,-4589000000.0,-12557000000.0,-4700000000.0,-4886000000.0,-2885000000.0,-3342000000.0,-1689000000.0,-3158000000.0,-3070000000.0,-1283000000.0,-2672000000.0,-2386000000.0,-2073000000.0,-866000000.0,-1185000000.0,-559000000.0,-1253000000.0,-1659000000.0,-1039000000.0,-924000000.0,-789000000.0,-679000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-5864000000.0,-3667000000.0,-3510000000.0,-2800000000.0,-2057000000.0,-1854000000.0,-2034000000.0,-1788000000.0,-1112000000.0,-482000000.0,-905000000.0,-535000000.0,-79000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
