date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-32537000.0,-32840000.0,-32506000.0,-25771000.0,-21672000.0,-17934000.0,-15820000.0,-507000.0,8272000.0,5656000.0,4174000.0,-2757000.0,1491000.0,55000.0,-2687000.0
,depreciationAndAmortization,2772000.0,2207000.0,2143000.0,2426000.0,2457000.0,2433000.0,2314000.0,1989000.0,985000.0,737000.0,644000.0,589000.0,766000.0,612000.0,616000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,2085000.0,-1570000.0,3404000.0,-1769000.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,9115000.0,8214000.0,7298000.0,6757000.0,5553000.0,5077000.0,5403000.0,4502000.0,5256000.0,4216000.0,3068000.0,2444000.0,1445000.0,0.0,790000.0
,changeInWorkingCapital,36206000.0,-7476000.0,-25949000.0,12814000.0,20851000.0,-2830000.0,9060000.0,-2466000.0,6987000.0,-8667000.0,-7977000.0,2404000.0,7644000.0,403000.0,-473000.0
,accountsReceivables,114000.0,-133000.0,2516000.0,-1326000.0,-462000.0,-64000.0,1316000.0,-1667000.0,-187000.0,-21000.0,89000.0,269000.0,-44000.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,512000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,74056000.0,37850000.0,45326000.0,71275000.0,58461000.0,37610000.0,40440000.0,31380000.0,33846000.0,26859000.0,35526000.0,43503000.0,41099000.0,33455000.0,33052000.0
,otherNonCashItems,0.0,0.0,0.0,0.0,5553000.0,5077000.0,5403000.0,-190000.0,5900000.0,5656000.0,3068000.0,691000.0,362000.0,1209000.0,-13000.0
,netCashProvidedByOperatingActivites,-20346000.0,-22412000.0,-21210000.0,-17611000.0,-13864000.0,-9740000.0,-6733000.0,3473000.0,15601000.0,10234000.0,10432000.0,779000.0,3903000.0,1025000.0,-1767000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-1020000.0,-1714000.0,-2039000.0,-3007000.0,-2627000.0,-2113000.0,-2589000.0,-2742000.0,-1740000.0,-1371000.0,-1695000.0,-1302000.0,-1323000.0,-367000.0,-536000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5000000.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-75379000.0,-51310000.0,-24021000.0,-38387000.0,-53914000.0,-113105000.0,-79971000.0,-54590000.0,-146444000.0,-67144000.0,-130678000.0,-51726000.0,-255736000.0,-154343000.0,-136207000.0
,salesMaturitiesOfInvestments,43155000.0,42084000.0,34558000.0,60360000.0,41052000.0,110029000.0,78174000.0,55627000.0,144214000.0,74689000.0,122176000.0,43708000.0,232320000.0,150775000.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136946000.0
,netCashUsedForInvestingActivites,-33856000.0,-10940000.0,8498000.0,18966000.0,-15489000.0,-5189000.0,-4386000.0,-1705000.0,-9754000.0,6174000.0,-10197000.0,-9320000.0,-24739000.0,-3935000.0,203000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39000.0,-6000.0,0.0,0.0
,commonStockIssued,38603000.0,19615000.0,0.0,29677000.0,39700000.0,12896000.0,15989000.0,0.0,1660000.0,1651000.0,3045000.0,273000.0,23862000.0,2187000.0,242000.0
,commonStockRepurchased,-3760000.0,-3506000.0,-2089000.0,-3030000.0,-2537000.0,-2443000.0,-2392000.0,-1822000.0,-4760000.0,-22046000.0,-5824000.0,-1737000.0,0.0,0.0,0.0
,dividendsPaid,248000.0,0.0,0.0,0.0,0.0,0.0,-1654000.0,-3202000.0,-2344000.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201000.0,3044000.0,1066000.0,0.0,0.0,-13237000.0,-3205000.0,3152000.0
,netCashUsedProvidedByFinancingActivities,62685000.0,17287000.0,-833000.0,27830000.0,37831000.0,11967000.0,13430000.0,-4823000.0,-2400000.0,-19329000.0,-2779000.0,-1503000.0,10619000.0,-1018000.0,3394000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,8483000.0,-16065000.0,-13545000.0,29185000.0,8478000.0,-2962000.0,2311000.0,-3055000.0,3447000.0,-2921000.0,-2544000.0,-10044000.0,-10217000.0,-3928000.0,1830000.0
