date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,308276000.0,304881000.0,281258000.0,260841000.0,267547000.0,239817000.0,192171000.0,235051000.0,184590000.0,184294000.0,142181000.0,127301000.0,125141000.0,56423000.0
,depreciationAndAmortization,159842000.0,128713000.0,103718000.0,94915000.0,81736000.0,82799000.0,79607000.0,76460000.0,79394000.0,78489000.0,74156000.0,79587000.0,92066000.0,85608000.0
,deferredIncomeTax,-22587000.0,-16315000.0,6054000.0,-10391000.0,30454000.0,-18713000.0,-12252000.0,-1116000.0,-10028000.0,-7981000.0,-5400000.0,-20740000.0,-24421000.0,-4873000.0
,stockBasedCompensation,74008000.0,83885000.0,48998000.0,35685000.0,25113000.0,24976000.0,28065000.0,31129000.0,32152000.0,27767000.0,17514000.0,19285000.0,0.0,13021000.0
,changeInWorkingCapital,16360000.0,262720000.0,-216366000.0,99429000.0,-104907000.0,34195000.0,-248057000.0,203502000.0,287658000.0,-289941000.0,161675000.0,133834000.0,-82698000.0,-12268000.0
,accountsReceivables,42505000.0,-121983000.0,-76894000.0,-57267000.0,-48612000.0,-78923000.0,-24088000.0,-60817000.0,-36171000.0,-46314000.0,-50414000.0,-23154000.0,0.0,-39459000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-12480000.0,-21375000.0,26401000.0,-2155000.0,-463000.0,-3988000.0,-7268000.0,1785000.0,-4380000.0,6800000.0,-2631000.0,4214000.0,0.0,-2710000.0
,otherWorkingCapital,0.0,641465000.0,378745000.0,595111000.0,495682000.0,600589000.0,566394000.0,814451000.0,610949000.0,323291000.0,613232000.0,451557000.0,317723000.0,400421000.0
,otherNonCashItems,957000.0,-450000.0,5292000.0,-2901000.0,1490000.0,13308000.0,4531000.0,11974000.0,14550000.0,-12575000.0,181000.0,426000.0,20211000.0,8387000.0
,netCashProvidedByOperatingActivites,584308000.0,427888000.0,339511000.0,359078000.0,345772000.0,327441000.0,271838000.0,311604000.0,310660000.0,266612000.0,163098000.0,158169000.0,211235000.0,149987000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-70170000.0,-74927000.0,-84978000.0,-57231000.0,-88772000.0,-62173000.0,-62577000.0,-48879000.0,-83337000.0,-35776000.0,-55171000.0,-52540000.0,-69436000.0,-65896000.0
,acquisitionsNet,0.0,-252000000.0,-112000000.0,-290000000.0,-28000000.0,-21000000.0,-131000000.0,-47000000.0,-56000000.0,-577000000.0,-43000000.0,-20000000.0,0.0,-20000000.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,-25000000.0,-55001000.0,-43978000.0,-129458000.0,-107324000.0,-358259000.0,-466579000.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,25000000.0,69249000.0,25638000.0,206443000.0,162940000.0,416183000.0,289163000.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9795000.0,0.0,0.0,-32515000.0
,netCashUsedForInvestingActivites,-266397000.0,-357119000.0,-276050000.0,-361990000.0,-125765000.0,-100473000.0,-192822000.0,-78442000.0,-157870000.0,-535108000.0,-33420000.0,-13665000.0,-239447000.0,-115279000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-474567000.0,-666380000.0,-293581000.0,-327708000.0,-103293000.0,-2251910000.0,-68845000.0,-479901000.0,-361971000.0,209179000.0,-49861000.0,-57423000.0,0.0,-24408000.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12840000.0,24826000.0,13743000.0,13214000.0,306357000.0
,commonStockRepurchased,-137112000.0,-30000000.0,-154058000.0,-219784000.0,-345200000.0,-226917000.0,-302625000.0,0.0,0.0,0.0,0.0,0.0,0.0,-1994000.0
,dividendsPaid,-74212000.0,-64671000.0,-57102000.0,-46686000.0,0.0,0.0,0.0,0.0,-501620000.0,0.0,-7065000.0,-7866000.0,0.0,0.0
,otherFinancingActivites,-7172000.0,-15122000.0,-7747000.0,-8865000.0,-1764000.0,-451000.0,-5118000.0,-18395000.0,-21026000.0,-15920000.0,-7065000.0,0.0,-9648000.0,-17325000.0
,netCashUsedProvidedByFinancingActivities,-92011000.0,39647000.0,-135187000.0,47189000.0,-232798000.0,-218884000.0,-177419000.0,-65342000.0,-105493000.0,326099000.0,-32265000.0,-51546000.0,364000.0,181155000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,-12556000.0,-11716000.0,-64346000.0,37568000.0,-15493000.0,-18965000.0,-11085000.0,-55772000.0,3911000.0,-53617000.0,17887000.0,11726000.0,-67408000.0,28013000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,213344000.0,98700000.0,-136072000.0,81845000.0,-28284000.0,-10881000.0,-109488000.0,112048000.0,51208000.0,3986000.0,115300000.0,104684000.0,-95256000.0,243876000.0
