Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12,2013-12
Depreciation & Amortization,94442000.0,128907000.0,430000000.0,23496000.0,352000000.0,30136000.0,281000000.0,238000000.0,212000000.0
Stock-based compensation,,,8000000.0,,20000000.0,,000000.0,000000.0,000000.0
Operating Cash Flow,375140000.0,442991000.0,3283000000.0,178126000.0,2931000000.0,302978000.0,3217000000.0,1548000000.0,1584000000.0
Capital Expenditure,-304891000.0,-473905000.0,-3632000000.0,-165378000.0,-2475000000.0,-224411000.0,-2096000000.0,-1400000000.0,-1040000000.0
Acquisitions and disposals,0.0,3218000.0,,800000.0,,457000.0,,,
Investment purchases and sales,,,-686000000,,0,,0,0,-97000000
Investing Cash flow,-307069000.0,-510612000.0,-4046000000.0,-158621000.0,-2374000000.0,-332332000.0,-3103000000.0,-1462000000.0,-1257000000.0
Issuance (repayment) of debt,,,-283000000.0,,-227000000.0,,000000.0,-0000000.0,-203000000.0
Issuance (buybacks) of shares,,,,,,,,,
Dividend payments,,,,,,,,,
Financing Cash Flow,-77315000.0,52056000.0,587000000.0,-15151000.0,-493000000.0,23013000.0,-173000000.0,-156000000.0,-177000000.0
Effect of forex changes on cash,5751000.0,-4000.0,-0000000.0,4308000.0,64000000.0,972000.0,9000000.0,5000000.0,11000000.0
Net cash flow / Change in cash,-3493000.0,-15569000.0,-176000000.0,8662000.0,130000000.0,-5368000.0,-50000000.0,-64000000.0,161000000.0
Free Cash Flow,,,-349000000.0,,457000000.0,,1121000000.0,148000000.0,544000000.0
Net Cash/Marketcap,,,,,,,,,
