Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31
Cash and cash equivalents,391691895.8032,288203295.0423,429591072.7142,328751143.7375,282726011.4627
Short-term investments,157682923.2996,178761638.4522,146475161.987,106637466.6461,29164305.7798
Cash and short-term investments,549374819.1028,466964933.4945,576066234.7012,435388610.3836,311890317.2425
Receivables,123680463.097,104439540.5079,92580561.5551,55551217.8401,42128295.7701
Inventories,0.0,0.0,0.0,0.0,0.0
Total current assets,738651374.8191,610050181.3785,681429517.6386,502516111.5391,366992968.3565
Property Plant & Equipment Net,50166859.6237,45850816.2031,35059755.2196,30268872.1306,14877983.2096
Goodwill and Intangible Assets,0.0,0.0,0.0,0.0,0.0
Long-term investments,347348046.3097,295781136.6385,127587760.9791,89036787.552,45766387.9561
Tax assets,16408683.068,10981559.8549,8024046.0763,6757597.9048,5794442.3636
Total non-current assets,421155282.1997,371638754.5345,176236285.0972,128664664.1504,64844848.5631
Total assets,1159806657.0188,981688935.9129,857665802.7358,631180775.6894,431837816.9196
Payables,0.0,0.0,0.0,0.0,0.0
Short-term debt,0.0,74339480.0484,81983441.3247,0.0,8072328.0594
Total current liabilities,230256584.6599,275593561.0641,226884233.2613,148949373.132,111842810.1388
Long-term debt,20984659.9132,0.0,79976961.8431,79837313.2029,0.0
Total debt,20984659.9132,74339480.0484,161960403.1677,79837313.2029,8072328.0594
Deferred revenue,20683791.6064,30419286.578,13427213.8229,10541632.2601,15774933.9684
Tax Liabilities,17567004.3415,10350816.2031,3976673.8661,9686951.4713,10748211.6564
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,35863096.9609,24755290.2056,94865658.7473,91845244.9546,6809373.4259
Total liabilities,266119681.6208,300348851.2696,321749892.0086,240794618.0866,118652183.5647
Other comprehensive income,5238060.7815,32258766.6264,-782289.4168,-3351887.0744,-4416822.2473
Retained earnings (deficit),571071924.7467,435787333.7364,322778113.7509,246166276.8449,171462902.6477
Total shareholders equity,844819102.7496,669477025.393,479789344.8524,377274030.0416,298829036.9713
Investments,505030969.6093,474542775.0907,274062922.9662,195674254.1981,74930693.7359
Net Debt,-436204487.9183,,,,
Other Assets,68944717.8002,,,,
Other Liabilities,230256584.6599,201254081.0157,144900791.9366,148949373.132,103770482.0794
