date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2013-05-31_FY,2012-05-31_FY,2011-05-31_FY,2010-05-31_FY,2009-05-31_FY,2008-05-31_FY,2007-05-31_FY,2006-05-31_FY,2005-05-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,666100000.0,-1067400000.0,470000000.0,-107200000.0,297800000.0,1000400000.0,1028600000.0,340000000.0,1888700000.0,1930200000.0,2514600000.0,827100000.0,2350200000.0,2082800000.0,419700000.0,-121400000.0,165600000.0
,depreciationAndAmortization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386200000.0,0.0,0.0,0.0,0.0,359700000.0,356500000.0,313300000.0,270200000.0,180700000.0
,deferredIncomeTax,-684000000.0,-261300000.0,-101800000.0,612400000.0,-182600000.0,47400000.0,-153800000.0,69100000.0,200000000.0,245800000.0,196600000.0,51100000.0,-138900000.0,140700000.0,46700000.0,-38900000.0,33000000.0
,stockBasedCompensation,17800000.0,27900000.0,27500000.0,28000000.0,30500000.0,41300000.0,54300000.0,23000000.0,28200000.0,23400000.0,21100000.0,23500000.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,526900000.0,-626800000.0,-832100000.0,1004500000.0,-515500000.0,-1667400000.0,-1076200000.0,-275600000.0,452200000.0,-93000000.0,1085500000.0,-15100000.0,1062600000.0,2297600000.0,-128500000.0,-170300000.0,-37400000.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,191400000.0,128100000.0,-497400000.0,-155700000.0,263000000.0,-53700000.0,-129700000.0,30000000.0,-315500000.0,6500000.0,-244700000.0,92000000.0,-178700000.0,-547100000.0,-19300000.0,-16800000.0,-78200000.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,301800000.0,277200000.0,-100000000.0,-100500000.0,-58400000.0,240100000.0,156800000.0,-686800000.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,89700000.0,1126500000.0,1753300000.0,2585400000.0,1580900000.0,2096400000.0,3763800000.0,4840000000.0,5115600000.0,4663400000.0,4756400000.0,3670900000.0,3686000000.0,2623400000.0,325800000.0,454300000.0,624600000.0
,otherNonCashItems,73100000.0,943600000.0,17100000.0,33500000.0,58600000.0,79800000.0,287600000.0,126700000.0,45700000.0,40800000.0,68500000.0,31400000.0,436400000.0,-38200000.0,14100000.0,320800000.0,0.0
,netCashProvidedByOperatingActivites,1582600000.0,1095400000.0,1409800000.0,935500000.0,1266100000.0,1807600000.0,2293700000.0,889400000.0,1887500000.0,2705800000.0,2426700000.0,1356000000.0,1242600000.0,2546600000.0,707900000.0,279500000.0,333700000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-800000000.0,0.0,0.0,0.0,0.0,0.0,-372100000.0,-292100000.0,-389500000.0,-255200000.0
,acquisitionsNet,0.0,-55000000.0,-985000000.0,0.0,0.0,48000000.0,-1644000000.0,0.0,0.0,0.0,56000000.0,18000000.0,0.0,8000000.0,0.0,0.0,53000000.0
,purchasesOfInvestments,-6100000.0,-573000000.0,-534500000.0,-1676300000.0,-1659400000.0,0.0,0.0,0.0,0.0,0.0,-385300000.0,0.0,0.0,-8100000.0,-1400000.0,-400000.0,0.0
,salesMaturitiesOfInvestments,1700000.0,535500000.0,518800000.0,1658100000.0,1029300000.0,0.0,0.0,0.0,0.0,0.0,1030000000.0,0.0,745700000.0,24600000.0,0.0,0.0,0.0
,otherInvestingActivites,-14500000.0,4000000.0,12300000.0,282500000.0,836700000.0,-623300000.0,-11400000.0,5293100000.0,10600000.0,11900000.0,-10000000.0,26700000.0,-28900000.0,6100000.0,-10500000.0,39300000.0,39300000.0
,netCashUsedForInvestingActivites,-1189500000.0,-1360900000.0,-1944700000.0,-667800000.0,-1049500000.0,-1748400000.0,-2739100000.0,-957200000.0,-1589800000.0,-1627400000.0,-572100000.0,-866300000.0,-81600000.0,-341600000.0,-304000000.0,-350600000.0,-215100000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-1609400000.0,-602500000.0,-947300000.0,-703600000.0,-1190400000.0,-426800000.0,-222500000.0,-154000000.0,-264600000.0,-708800000.0,-867600000.0,-383600000.0,-510200000.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57200000.0,48100000.0,28900000.0,26400000.0
,commonStockRepurchased,0.0,-149900000.0,0.0,0.0,-75000000.0,-709500000.0,-2755300000.0,1100000.0,0.0,-1162500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,-75800000.0,-67200000.0,-38500000.0,-210600000.0,-385100000.0,-384700000.0,-382500000.0,-213500000.0,-426600000.0,-119500000.0,-89300000.0,-668000000.0,-88900000.0,0.0,-2600000.0,-10300000.0,-11400000.0
,otherFinancingActivites,-124400000.0,146400000.0,66600000.0,232200000.0,-355100000.0,243200000.0,8100000.0,5293100000.0,-3600000.0,10800000.0,12200000.0,1800000.0,-3700000.0,40200000.0,-27900000.0,0.0,-15200000.0
,netCashUsedProvidedByFinancingActivities,-283800000.0,-82200000.0,-724800000.0,1200800000.0,-888600000.0,-893400000.0,-2340000000.0,1705300000.0,-397800000.0,-1061100000.0,-585000000.0,-710600000.0,-224900000.0,-709800000.0,-173200000.0,12600000.0,106300000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
