Date,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
Cash and cash equivalents,200691000.0,236221000.0,150650000.0,121598000.0,114841000.0,110122000.0,117620000.0,134502000.0,149653000.0
Short-term investments,2852084000.0,2779255000.0,1349408000.0,1039870000.0,1190642000.0,840468000.0,913601000.0,1032096000.0,1441846000.0
Cash and short-term investments,3052775000.0,3015476000.0,1500058000.0,1161468000.0,1305483000.0,950590000.0,1031221000.0,1166598000.0,1591499000.0
Receivables,39591000.0,41816000.0,24496000.0,18503000.0,0.0,0.0,0.0,0.0,12732000.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,3092366000.0,3057292000.0,1524554000.0,1179971000.0,1305483000.0,950590000.0,1031221000.0,1166598000.0,1604231000.0
Property Plant & Equipment Net,214506000.0,215652000.0,125036000.0,131579000.0,136603000.0,141381000.0,137110000.0,146716000.0,138096000.0
Goodwill and Intangible Assets,937771000.0,880251000.0,0.0,0.0,0.0,145853000.0,100974000.0,102698000.0,105894000.0
Long-term investments,56948000.0,37738000.0,33974000.0,82450000.0,33734000.0,22630000.0,25830000.0,24341000.0,375398000.0
Tax assets,45503000.0,40918000.0,18735000.0,34008000.0,34743000.0,33240000.0,41551000.0,47308000.0,45469000.0
Total non-current assets,11419259000.0,10929368000.0,7372369000.0,7257996000.0,6841928000.0,6267231000.0,5385992000.0,5330450000.0,5067280000.0
Total assets,14511625000.0,13986660000.0,8896923000.0,8437967000.0,8147411000.0,7217821000.0,6417213000.0,6497048000.0,6671511000.0
Payables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Short-term debt,1316181000.0,1040691000.0,814565000.0,807912000.0,938425000.0,661392000.0,748749000.0,624570000.0,0.0
Total current liabilities,1319187000.0,1044426000.0,818300000.0,811647000.0,938425000.0,661392000.0,748749000.0,624570000.0,0.0
Long-term debt,414376000.0,570739000.0,119654000.0,119589000.0,119540000.0,48241000.0,60780000.0,75202000.0,76544000.0
Total debt,1730557000.0,1611430000.0,934219000.0,927501000.0,1057965000.0,709633000.0,809529000.0,699772000.0,76544000.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,3006000.0,3735000.0,3735000.0,3735000.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,10210229000.0,10140394000.0,6895046000.0,6525788000.0,6179624000.0,5655742000.0,4837507000.0,4955840000.0,5642840000.0
Total non-current liabilities,447406000.0,573432000.0,134621000.0,135955000.0,134290000.0,96487000.0,136759000.0,189078000.0,200973000.0
Total liabilities,12263920000.0,11908411000.0,7966259000.0,7572743000.0,7338035000.0,6433744000.0,5735052000.0,5786623000.0,5959290000.0
Other comprehensive income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Retained earnings (deficit),711249000.0,600014000.0,491847000.0,437188000.0,388240000.0,352893000.0,324192000.0,330004000.0,331351000.0
Total shareholders equity,2247705000.0,2078249000.0,930664000.0,865224000.0,809376000.0,784077000.0,682161000.0,710425000.0,712221000.0
Investments,2909032000.0,2816993000.0,1383382000.0,1122320000.0,1224376000.0,863098000.0,939431000.0,1056437000.0,1817244000.0
Net Debt,1529866000.0,1375209000.0,783569000.0,805903000.0,943124000.0,599511000.0,691909000.0,565270000.0,-73109000.0
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Liabilities,10497327000.0,10290553000.0,7013338000.0,6625141000.0,6265320000.0,5675865000.0,4849544000.0,4972975000.0,5758317000.0
