date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2004-01-01_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,511607000.0,473166000.0,-326701000.0,240795000.0,158824000.0,24583000.0,82970000.0,-406500000.0,310900000.0,-568900000.0,332100000.0,86500000.0,73200000.0,139300000.0,161300000.0,37000000.0,47900000.0,-19498000.0,-7500000.0,13200000.0,-7700000.0,-5200000.0,-14700000.0,-7700000.0,-87800000.0,200000.0,13600000.0,9900000.0,5600000.0
,depreciationAndAmortization,631101000.0,546057000.0,553933000.0,508739000.0,613160000.0,608609000.0,433628000.0,296100000.0,271900000.0,261800000.0,192500000.0,72500000.0,36100000.0,27800000.0,25300000.0,26100000.0,21800000.0,74000.0,17500000.0,12600000.0,10700000.0,5700000.0,5500000.0,6400000.0,7800000.0,7500000.0,7300000.0,9339664.342444,5966947.641922
,deferredIncomeTax,75756000.0,152595000.0,-30961000.0,10855000.0,7609000.0,6550000.0,37058000.0,-16600000.0,72100000.0,-275800000.0,66900000.0,20300000.0,16700000.0,16400000.0,82000000.0,-2800000.0,2300000.0,0.0,1400000.0,1300000.0,1400000.0,-2500000.0,-8000000.0,-4000000.0,-14300000.0,0.0,7500000.0,5703611.81218,302123.931236
,stockBasedCompensation,54486000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48150000.0,41635000.0,28753000.0,16061000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-19075000.0,14399000.0,-39888000.0,-71813000.0,64431000.0,-43793000.0,43924000.0,-58600000.0,-20500000.0,-30300000.0,-98300000.0,-117400000.0,3000000.0,-15100000.0,17500000.0,20200000.0,-28300000.0,0.0,6100000.0,-4700000.0,-16600000.0,-3200000.0,15300000.0,2100000.0,-1400000.0,-2300000.0,-1300000.0,0.0,0.0
,accountsReceivables,-3547000.0,0.0,0.0,-3815000.0,0.0,0.0,0.0,0.0,469000.0,37050000.0,-19378000.0,-47930000.0,33779000.0,5600000.0,0.0,-12900000.0,0.0,0.0,-4900000.0,-8700000.0,-5800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-82949000.0,0.0,0.0,-57262000.0,0.0,0.0,0.0,0.0,0.0,-43066000.0,-91306000.0,-90772000.0,-45904000.0,-5900000.0,-36000.0,2600000.0,0.0,0.0,-3600000.0,-1500000.0,-2600000.0,-400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-5522000.0,0.0,0.0,-32962000.0,0.0,0.0,0.0,0.0,-9767000.0,31837000.0,23136000.0,28552000.0,34492000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,77922000.0,881692000.0,605650000.0,0.0,767557000.0,0.0,616238000.0,668324000.0,438296000.0,626601000.0,567136000.0,370911000.0,178235000.0,0.0,550898000.0,0.0,199490000.0,177305000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,27781000.0,-304525000.0,449267000.0,78981000.0,-65407000.0,20289000.0,70744000.0,623900000.0,61600000.0,1276700000.0,-9800000.0,53200000.0,-10900000.0,60900000.0,-59900000.0,2500000.0,5900000.0,0.0,-6900000.0,-6000000.0,8000000.0,6600000.0,-1000000.0,6700000.0,93300000.0,3900000.0,4000000.0,998132.067132,1510619.656185
,netCashProvidedByOperatingActivites,1192054000.0,881692000.0,605650000.0,767557000.0,778617000.0,616238000.0,668324000.0,438300000.0,696000000.0,663500000.0,483500000.0,115100000.0,118100000.0,229200000.0,226300000.0,83000000.0,49500000.0,0.0,10700000.0,16400000.0,-4200000.0,1300000.0,-2900000.0,3400000.0,-2500000.0,9300000.0,31100000.0,22885742.396372,14048762.802501
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-759342000.0,-882664000.0,-1089100000.0,-874153000.0,-516050000.0,-449758000.0,-475412000.0,-577789000.0,-445550000.0,-482831000.0,-511641000.0,-657175000.0,-908853000.0,-510877000.0,-149185000.0,-70270000.0,-53318000.0,0.0,-42039000.0,-64836000.0,-36278000.0,-68387000.0,-68913000.0,-43347000.0,-36584000.0,-39623000.0,-43920107.930549,-27163451.255507,-14275355.750929
,acquisitionsNet,0.0,0.0,-162000000.0,-72000000.0,-12000000.0,-13000000.0,-400000000.0,-10000000.0,-9000000.0,-163047000.0,0.0,0.0,0.0,68000000.0,-33000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-61234000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-91115000.0,-42479000.0,-6380000.0,-113225000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-356475.738261,0.0
,salesMaturitiesOfInvestments,10828000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75530.982809
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2994396.201395,2416991.449893
,netCashUsedForInvestingActivites,-808812000.0,-873884000.0,-1204368000.0,-1000052000.0,-553490000.0,-374519000.0,-851619000.0,-644473000.0,-376156000.0,-760484000.0,-523306000.0,-587611000.0,-917549000.0,-360183000.0,-299723000.0,-66539000.0,-94832000.0,0.0,-52478000.0,-66609000.0,-36556000.0,-68433000.0,-68982000.0,-44380000.0,-42879000.0,-41228000.0,-46339746.597841,-30514323.195163,-11782833.318227
