Date,2018-12-31,2017-12-31
Cash and cash equivalents,10600000.0,3789915.9664
Short-term investments,0.0,0.0
Cash and short-term investments,10600000.0,3789915.9664
Receivables,12529885.0575,8393757.503
Inventories,1547126.4368,935174.0696
Total current assets,33062068.9655,16134453.7815
Property Plant & Equipment Net,44959770.1149,40620648.2593
Goodwill and Intangible Assets,10109195.4023,8979591.8367
Long-term investments,0.0,0.0
Tax assets,0.0,0.0
Total non-current assets,55068965.5172,50475390.1561
Total assets,88131034.4828,66609843.9376
Payables,6240229.8851,6349339.7359
Short-term debt,5806896.5517,18595438.1753
Total current liabilities,27911494.2529,28581032.413
Long-term debt,16812643.6782,4623049.2197
Total debt,22619540.2299,23218487.395
Deferred revenue,0.0,0.0
Tax Liabilities,11494.2529,579831.9328
Deposit Liabilities,0.0,0.0
Total non-current liabilities,29732183.908,18396158.4634
Total liabilities,56773563.2184,46518607.443
Other comprehensive income,0.0,0.0
Retained earnings (deficit),-22947126.4368,-10795918.3673
Total shareholders equity,31357471.2644,20091236.4946
Investments,0.0,0.0
Net Debt,,
Other Assets,,
Other Liabilities,15864367.8161,3636254.5018
