Date,2018-12,2017-12,2016-12,2015-12,2014-12
Depreciation & Amortization,,,,,
Stock-based compensation,,,,,
Operating Cash Flow,,,,,
Capital Expenditure,-8585000000.0,-8992000000.0,-9187000000.0,-9401000000.0,-9205000000.0
Acquisitions and disposals,,,,,
Investment purchases and sales,39000000,-810000000,224000000,778000000,55000000
Investing Cash flow,-8685000000.0,-10245000000.0,-8208000000.0,-12917000000.0,-9968000000.0
Issuance (repayment) of debt,-8694000000.0,-13398000000.0,-15379000000.0,-13649000000.0,-13720000000.0
Issuance (buybacks) of shares,000000.0,000000.0,-660000000.0,-1772000000.0,000000.0
Dividend payments,,,,,
Financing Cash Flow,-3880000000.0,-1752000000.0,-4220000000.0,-3612000000.0,-4041000000.0
Effect of forex changes on cash,-244000000.0,-341000000.0,185000000.0,-999000000.0,-1616000000.0
Net cash flow / Change in cash,-12809000000.0,-12338000000.0,-12243000000.0,-17528000000.0,-15625000000.0
Free Cash Flow,4838000000.0,4804000000.0,4151000000.0,4214000000.0,2988000000.0
Net Cash/Marketcap,,,,,
