Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31
Depreciation & Amortization,9779000000.0,9188000000.0,8901000000.0,7779000000.0
Stock-based compensation,,,,
Operating Cash Flow,37400000000.0,45728000000.0,32535000000.0,31491000000.0
Capital Expenditure,-14537000000.0,-11708000000.0,-12954000000.0,-16082000000.0
Acquisitions and disposals,-3279000000.0,-2708000000.0,-31399000000.0,-4902000000.0
Investment purchases and sales,,,,
Investing Cash flow,-32849000000.0,-41009000000.0,-84267000000.0,-28001000000.0
Issuance (repayment) of debt,,,,
Issuance (buybacks) of shares,,,,
Dividend payments,,,,
Financing Cash Flow,-5812000000.0,-1398000000.0,12791000000.0,3803000000.0
Effect of forex changes on cash,-140000000.0,248000000.0,-172000000.0,-165000000.0
Net cash flow / Change in cash,-1401000000.0,3569000000.0,-39113000000.0,7128000000.0
Free Cash Flow,,,,
Net Cash/Marketcap,,,,
