date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY,1986-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,3704000000.0,3507000000.0,2354000000.0,1889000000.0,1447000000.0,1321000000.0,1071000000.0,928000000.0,864000000.0,454000000.0,787000000.0,1212000000.0,2407000000.0,1227000000.0,725000000.0,286000000.0,472000000.0,109000000.0,199000000.0,718137000.0,588900000.0,348500000.0,270300000.0,233800000.0,172600000.0,135300000.0,117700000.0,81200000.0,49500000.0,16800000.0,18900000.0,7400000.0,8200000.0,32000000.0
,depreciationAndAmortization,349000000.0,306000000.0,269000000.0,234000000.0,224000000.0,199000000.0,202000000.0,196000000.0,155000000.0,146000000.0,159000000.0,152000000.0,156000000.0,157000000.0,208000000.0,226000000.0,284000000.0,321000000.0,404000000.0,310903000.0,156700000.0,138500000.0,124700000.0,98300000.0,68700000.0,54600000.0,44400000.0,40500000.0,51900000.0,49100000.0,52500000.0,44000000.0,38000000.0,10000000.0
,deferredIncomeTax,2000000.0,49000000.0,58000000.0,15000000.0,-7000000.0,-25000000.0,-21000000.0,5000000.0,0.0,-51000000.0,16000000.0,97000000.0,175000000.0,-31000000.0,13000000.0,-4000000.0,27000000.0,4000000.0,-79000000.0,-26724000.0,-3600000.0,-6200000.0,-29100000.0,-5200000.0,-7000000.0,3800000.0,-5400000.0,-7100000.0,-600000.0,-700000.0,1400000.0,2000000.0,3000000.0,-8000000.0
,stockBasedCompensation,183000000.0,197000000.0,153000000.0,141000000.0,135000000.0,115000000.0,116000000.0,105000000.0,99000000.0,87000000.0,75000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,4442000000.0,7910000000.0,-1964000000.0,113000000.0,-700000000.0,623000000.0,102000000.0,-336000000.0,971000000.0,-668000000.0,403000000.0,-1610000000.0,-60000000.0,694000000.0,-354000000.0,159000000.0,-776000000.0,-386000000.0,-1132000000.0,259318000.0,406600000.0,3630000000.0,-100800000.0,1810700000.0,1220300000.0,-5100000.0,6100000.0,177700000.0,47000000.0,-19400000.0,10100000.0,-25000000.0,-16000000.0,6000000.0
,accountsReceivables,-125000000.0,-1100000000.0,-3428000000.0,150000000.0,-1652000000.0,-1725000000.0,-496000000.0,-2391000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38000000.0,25000000.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,6494000000.0,1483000000.0,-4651000000.0,2709000000.0,-1120000000.0,-1028000000.0,-4997000000.0,4950000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-977000000.0,6922000000.0,6945000000.0,-2492000000.0,1166000000.0,2773000000.0,5035000000.0,-2592000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,199000000.0,137000000.0,51000000.0,9000000.0,-4000000.0,-7000000.0,15000000.0,98000000.0,9000000.0,35000000.0,-4000000.0,151000000.0,-932000000.0,-287000000.0,78000000.0,-109000000.0,0.0,121000000.0,50000000.0,416092000.0,32400000.0,-3392700000.0,3000000.0,-1779900000.0,-1207300000.0,17300000.0,-37700000.0,-171600000.0,-40600000.0,5500000.0,200000.0,6000000.0,2000000.0,2000000.0
,netCashProvidedByOperatingActivites,9325000000.0,12456000000.0,1263000000.0,2662000000.0,1246000000.0,2348000000.0,1656000000.0,1266000000.0,2464000000.0,-9000000.0,1437000000.0,2000000.0,1746000000.0,1760000000.0,675000000.0,686000000.0,7000000.0,169000000.0,-584000000.0,1639386000.0,1181000000.0,718100000.0,268100000.0,357700000.0,247300000.0,205900000.0,131800000.0,120700000.0,107200000.0,51300000.0,83100000.0,34000000.0,53000000.0,42000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-708000000.0,-570000000.0,-400000000.0,-346000000.0,-266000000.0,-400000000.0,-249000000.0,-148000000.0,-180000000.0,-129000000.0,-140000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7000000.0,-13000000.0,-12000000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80000000.0,54000000.0,-44000000.0,0.0,-5000000.0,3118000000.0,0.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-51256000000.0,-73674000000.0,-47958000000.0,-60410000000.0,-40654000000.0,-22054000000.0,-39003000000.0,-37713000000.0,-20687000000.0,-30603000000.0,-19812000000.0,-10084000000.0,-3554000000.0,-3224000000.0,-3342000000.0,-3387000000.0,-3264000000.0,-1147000000.0,-1025000000.0,-545436000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
