date,,2020-02-28_FY,2019-02-22_FY,2018-02-23_FY,2017-02-24_FY,2016-02-26_FY,2015-02-27_FY,2014-02-28_FY,2013-02-22_FY,2012-02-24_FY,2011-02-25_FY,2010-02-26_FY,2009-02-27_FY,2008-02-29_FY,2007-02-23_FY,2006-02-24_FY,2005-02-25_FY,2004-02-27_FY,2003-02-28_FY,2002-02-22_FY,2001-02-23_FY,2000-02-25_FY,1999-02-26_FY,1998-02-28_FY,1997-02-28_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,199700000.0,126000000.0,80700000.0,124600000.0,170300000.0,86100000.0,87700000.0,38800000.0,56700000.0,20400000.0,-13600000.0,-11700000.0,133200000.0,106900000.0,48900000.0,12700000.0,-23200000.0,-266100000.0,1000000.0,193700000.0,184200000.0,221400000.0,217000000.0,27700000.0
,depreciationAndAmortization,85600000.0,81600000.0,65900000.0,60300000.0,65700000.0,59900000.0,60000000.0,58300000.0,56400000.0,64400000.0,74200000.0,87300000.0,92400000.0,101400000.0,119400000.0,127600000.0,141400000.0,157000000.0,172400000.0,162500000.0,141800000.0,107000000.0,95300000.0,93400000.0
,deferredIncomeTax,12100000.0,-800000.0,52900000.0,26800000.0,-68300000.0,400000.0,14100000.0,-3000000.0,13600000.0,11300000.0,-18200000.0,-4800000.0,11300000.0,30900000.0,200000.0,-13700000.0,-30500000.0,-31200000.0,-19300000.0,-19000000.0,-4500000.0,-2700000.0,-4700000.0,1800000.0
,stockBasedCompensation,16700000.0,17700000.0,19100000.0,19800000.0,21000000.0,18400000.0,16800000.0,9600000.0,11600000.0,41000000.0,-62000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,144500000.0,54200000.0,3400000.0,29400000.0,1500000.0,-86800000.0,57900000.0,53600000.0,-35300000.0,65600000.0,-21900000.0,-19900000.0,-333800000.0,293600000.0,-155900000.0,49100000.0,87100000.0,102700000.0,-110900000.0,119700000.0,-90500000.0,-64500000.0,-119500000.0,-70300000.0
,accountsReceivables,7200000.0,-66400000.0,18500000.0,11900000.0,700000.0,-43700000.0,-15700000.0,-12800000.0,8000000.0,-59000000.0,44000000.0,70000000.0,0.0,24000000.0,-1000000.0,-5000000.0,0.0,0.0,236000000.0,-10600000.0,-243700000.0,15400000.0,0.0,0.0
,inventory,-6200000.0,-24000000.0,-8500000.0,-5100000.0,6800000.0,-27200000.0,-13100000.0,2100000.0,-17100000.0,-59000000.0,33000000.0,3000000.0,7800000.0,5000000.0,-17000000.0,-15000000.0,0.0,24800000.0,37600000.0,-18200000.0,-70000000.0,9300000.0,2200000.0,31500000.0
,accountsPayables,10800000.0,8500000.0,-700000.0,9500000.0,-4100000.0,12600000.0,12700000.0,3400000.0,-2000000.0,-59000000.0,-16000000.0,-50000000.0,0.0,23000000.0,16000000.0,7000000.0,0.0,0.0,90600000.0,-34300000.0,-117700000.0,15700000.0,0.0,0.0
,otherWorkingCapital,497900000.0,353400000.0,299200000.0,295800000.0,266400000.0,264900000.0,351700000.0,293800000.0,240200000.0,275500000.0,209900000.0,231800000.0,251700000.0,585500000.0,291900000.0,447800000.0,398700000.0,311600000.0,208900000.0,319800000.0,200100000.0,290600000.0,355100000.0,474600000.0
,otherNonCashItems,-2800000.0,-12400000.0,-7300000.0,11200000.0,9000000.0,25500000.0,10400000.0,103800000.0,41700000.0,-10800000.0,-32500000.0,129400000.0,23500000.0,18200000.0,15900000.0,13400000.0,18200000.0,0.0,69300000.0,11600000.0,6000000.0,13800000.0,0.0,0.0
,netCashProvidedByOperatingActivites,360800000.0,131200000.0,227000000.0,170700000.0,186400000.0,84200000.0,178800000.0,187300000.0,101700000.0,72700000.0,-10900000.0,103700000.0,249700000.0,280500000.0,175500000.0,114700000.0,87900000.0,41800000.0,294600000.0,209800000.0,305700000.0,307700000.0,333400000.0,80800000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-73400000.0,-81400000.0,-87900000.0,-61100000.0,-93400000.0,-97500000.0,0.0,-74000000.0,-64900000.0,-46000000.0,-35200000.0,-83000000.0,-79600000.0,-58200000.0,-71900000.0,-49200000.0,-43000000.0,-76500000.0,-123000000.0,-260500000.0,-188800000.0,-170400000.0,-126400000.0,-122000000.0
,acquisitionsNet,3700000.0,-226200000.0,-68300000.0,-4000000.0,-6900000.0,0.0,0.0,-6200000.0,-21000000.0,0.0,0.0,18000000.0,-14000000.0,-9000000.0,-8000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-8700000.0,-4200000.0,-33800000.0,-48400000.0,-56400000.0,-36300000.0,-146700000.0,-19900000.0,-47700000.0,0.0,-4000000.0,-15000000.0,-42200000.0,-33000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,122300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,82900000.0,40200000.0,142500000.0,61100000.0,68900000.0,119500000.0,76500000.0,15300000.0,315800000.0,0.0,0.0,0.0,16800000.0,0.0,0.0,0.0,0.0,38300000.0,0.0,0.0,0.0,0.0,-24700000.0,39100000.0
,netCashUsedForInvestingActivites,4500000.0,-271600000.0,-47500000.0,-48400000.0,-87800000.0,-14300000.0,-25200000.0,-85500000.0,203200000.0,-254300000.0,-10000000.0,-61100000.0,-91300000.0,-51900000.0,127700000.0,-25700000.0,99300000.0,316500000.0,-250400000.0,-220000000.0,-514600000.0,-290000000.0,-149900000.0,-75400000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-2900000.0,-252700000.0,-2700000.0,-2300000.0,-33700000.0,-2500000.0,-2800000.0,-2600000.0,-255500000.0,0.0,-2000000.0,1000000.0,0.0,9000000.0,17000000.0,32000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
