date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,2179000000.0,790000000.0,1193000000.0,619000000.0,-482000000.0,265000000.0,1270000000.0,1052495000.0,1051181000.0,718219000.0,722422000.0,609091000.0,260427000.0,210878000.0,85524000.0,256990000.0,369830000.0,325761659.53,214077694.14,233788263.3,312337279.98,-89297396.0,172028348.8,144134748.0
,depreciationAndAmortization,2564000000.0,1559000000.0,889000000.0,833000000.0,1089000000.0,1102000000.0,931000000.0,865425000.0,834109000.0,706494000.0,440139000.0,461611000.0,604743000.0,550696000.0,547943000.0,625281000.0,489569000.0,333173661.26,381691710.96,339631730.4,263981957.87,156997198.6,122017326.2,67211100.0
,deferredIncomeTax,69000000.0,240000000.0,77000000.0,-38000000.0,-113000000.0,135000000.0,222000000.0,89090000.0,193348000.0,-57118000.0,34506000.0,27759000.0,-33300000.0,-38316000.0,-90729000.0,-80867000.0,-88587000.0,72339867.41,31132716.9,-39836734.2,-6194800.53,-46147181.7,-955686.2,14588352.0
,stockBasedCompensation,32000000.0,38000000.0,43000000.0,24000000.0,29000000.0,25000000.0,47000000.0,42715000.0,45022000.0,26869000.0,0.0,26577000.0,0.0,0.0,0.0,0.0,0.0,3606462.5,3228315.84,4303221.9,4061620.87,3542034.1,1293982.2,468720.0
,changeInWorkingCapital,630000000.0,-2502000000.0,-352000000.0,-1177000000.0,-3347000000.0,2094000000.0,24000000.0,631930000.0,2082214000.0,-1521195000.0,-972229000.0,240129000.0,-323193000.0,-274016000.0,-62580000.0,175613000.0,134258000.0,-28733408.03,-15709721.16,-270880038.9,-338641296.08,120403974.8,77516903.8,-2981952.0
,accountsReceivables,-257000000.0,-14000000.0,-326000000.0,-2115000000.0,-1259000000.0,-434000000.0,-922000000.0,-333269000.0,2296663000.0,-1925932000.0,733423000.0,-170835000.0,-60566000.0,-211916000.0,-226079000.0,19971000.0,150434000.0,9229658.83,-117723793.74,-117754543.8,0.0,0.0,0.0,0.0
,inventory,-1142000000.0,-181000000.0,-1475000000.0,-1505000000.0,107000000.0,-261000000.0,-1503000000.0,-581776000.0,-191977000.0,-752539000.0,-706705000.0,-849380000.0,-36621000.0,-215623000.0,-116677000.0,-25638000.0,-48838000.0,34844198.09,-187313115.12,167767596.6,-274458716.84,-190242669.5,-108763372.2,-44104320.0
,accountsPayables,726000000.0,-1215000000.0,2149000000.0,3059000000.0,-1486000000.0,2503000000.0,3556000000.0,2270264000.0,498422000.0,972395000.0,245298000.0,1052761000.0,70239000.0,236672000.0,373034000.0,108785000.0,144290000.0,-205634721.41,366686413.98,-321074231.1,-269476747.89,68207092.4,169796803.4,3579012.0
,otherWorkingCapital,156000000.0,-367000000.0,176000000.0,-668000000.0,-28000000.0,344000000.0,219000000.0,-186175000.0,-179431000.0,245914000.0,70608000.0,-161138000.0,-132049000.0,-60291000.0,79498000.0,52826000.0,194870000.0,-98078468.98,-175950292.92,-6760215.3,-32030843.03,22759682.8,-1865460.8,-18416232.0
,otherNonCashItems,-1640000000.0,1227000000.0,-83000000.0,-170000000.0,485000000.0,657000000.0,1236000000.0,1269841000.0,958455000.0,997775000.0,-211095000.0,347251000.0,491057000.0,28905000.0,16547000.0,32107000.0,-298829000.0,42437965.53,0.0,0.0,0.0,0.0,434952.0,-7691472.0
,netCashProvidedByOperatingActivites,4742000000.0,1135000000.0,2586000000.0,1895000000.0,-1304000000.0,4632000000.0,5016000000.0,4891950000.0,5299255000.0,1128063000.0,363287000.0,1842843000.0,1240954000.0,562433000.0,937555000.0,1063480000.0,673499000.0,668245764.38,589178260.26,276869250.6,238106917.57,316135088.2,390954188.8,218806308.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-2289000000.0,-2462000000.0,-1830000000.0,-1402000000.0,-1265000000.0,-1581000000.0,-1379000000.0,-1655827000.0,-1308951000.0,-1262640000.0,-1296464000.0,-700706000.0,-382200000.0,-1009017000.0,-827665000.0,-878063000.0,-557095000.0,-533115942.26,-899390385.96,-541288650.9,-1137988952.13,-564199800.4,-648213798.4,-398441016.0
,acquisitionsNet,0.0,-249000000.0,0.0,0.0,26000000.0,16000000.0,80000000.0,-99000000.0,-17000000.0,-162000000.0,-16000000.0,-449000000.0,0.0,-31000000.0,-32000000.0,-9000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-224777000.0,-4107000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58798000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,-47000000.0,0.0,0.0,0.0,0.0,0.0,-28544000.0,79331000.0,0.0,-16503000.0,-28640000.0,-74540000.0,141375000.0,-82435077.24,0.0,-3866629.5,-6590628.2,-36255030.6,0.0,0.0
,netCashUsedForInvestingActivites,-4291000000.0,-3266000000.0,-1899000000.0,-1592000000.0,-2020000000.0,-1852000000.0,-1650000000.0,-1963093000.0,-1306154000.0,-1356383000.0,-1364935000.0,-1636794000.0,-484726000.0,-1319011000.0,-918388000.0,62161000.0,-416925000.0,-598995914.04,-1232575943.46,-637633911.0,-1398211522.08,-835905656.4,-919718086.0,-398110680.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
