date,,2020-07-31_FY,2019-07-31_FY,2018-07-31_FY,2017-07-31_FY,2016-07-31_FY,2015-07-31_FY,2014-07-31_FY,2013-07-31_FY,2012-07-31_FY,2011-07-31_FY,2010-07-31_FY,2009-07-31_FY,2008-07-31_FY,2007-07-31_FY,2006-07-31_FY,2005-07-31_FY,2004-07-31_FY,2003-07-31_FY,2002-07-31_FY,2001-07-31_FY,2000-07-31_FY,1999-07-31_FY,1998-07-31_FY,1997-09-30_FY,1996-09-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,98833000.0,301163000.0,379898000.0,210553000.0,149754000.0,114754000.0,28478000.0,37743000.0,16453000.0,34489000.0,30385000.0,48950000.0,102927000.0,61397000.0,45756000.0,23138000.0,-5959000.0,-8527000.0,7565000.0,13631000.0,15338000.0,12791000.0,41000000.0,19700000.0,4700000.0
,depreciationAndAmortization,249572000.0,218117000.0,204462000.0,189157000.0,161488000.0,149123000.0,140601000.0,132688000.0,127581000.0,117957000.0,110638000.0,107213000.0,93794000.0,87664000.0,86098000.0,89968000.0,87451000.0,85031000.0,68413000.0,65478000.0,61435000.0,53256000.0,36800000.0,34000000.0,18100000.0
,deferredIncomeTax,17435000.0,22419000.0,-45770000.0,36437000.0,7626000.0,12968000.0,6219000.0,-8125000.0,9243000.0,32194000.0,-4427000.0,30767000.0,2980000.0,-3968000.0,1322000.0,-7514000.0,-1018000.0,4275000.0,-2715000.0,5790000.0,7889000.0,8003000.0,19100000.0,7400000.0,2500000.0
,stockBasedCompensation,21021000.0,19856000.0,19040000.0,18315000.0,17025000.0,15753000.0,14224000.0,12349000.0,11999000.0,12493000.0,11843000.0,10741000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358000.0,0.0,0.0,0.0
,changeInWorkingCapital,252816000.0,-136309000.0,116603000.0,12129000.0,-73112000.0,-61344000.0,-79294000.0,47013000.0,-19321000.0,121621000.0,-96819000.0,-14244000.0,-100156000.0,20260000.0,13248000.0,104822000.0,16685000.0,-19473000.0,-15506000.0,-18166000.0,-9390000.0,-13181000.0,14241000.0,51700000.0,-85700000.0
,accountsReceivables,167347000.0,-35406000.0,-44261000.0,-36291000.0,-32991000.0,-15350000.0,-17007000.0,-11715000.0,-2577000.0,-1638000.0,5687000.0,-7833000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5728000.0,-4600000.0,0.0,-600000.0
,inventory,-1924000.0,-7274000.0,-963000.0,8086000.0,-843000.0,-1304000.0,1332000.0,-105000.0,-10853000.0,-2758000.0,652000.0,761000.0,-1643000.0,-5171000.0,-4811000.0,-5074000.0,605000.0,570000.0,-2711000.0,-2799000.0,-1287000.0,-6554000.0,1900000.0,-800000.0,-400000.0
,accountsPayables,-82394000.0,23296000.0,1879000.0,-14177000.0,42367000.0,4498000.0,20724000.0,19774000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600000.0,0.0,0.0
,otherWorkingCapital,61623000.0,-191193000.0,-54884000.0,-171487000.0,-183616000.0,-110504000.0,-49160000.0,30134000.0,-16879000.0,2442000.0,-119179000.0,-22360000.0,-8116000.0,92040000.0,71780000.0,58532000.0,-46290000.0,-62975000.0,-43502000.0,-27996000.0,-9830000.0,-440000.0,12741000.0,-1500000.0,-53200000.0
,otherNonCashItems,-10181000.0,-2756000.0,-6214000.0,20021000.0,17524000.0,-7830000.0,27243000.0,24968000.0,28871000.0,159696000.0,-7533000.0,-5300000.0,217234000.0,88894000.0,35004000.0,-2996000.0,4426000.0,0.0,28696000.0,-569000.0,0.0,25969000.0,48600000.0,100000.0,36400000.0
,netCashProvidedByOperatingActivites,394950000.0,634231000.0,551625000.0,456914000.0,426762000.0,303660000.0,245878000.0,222423000.0,185419000.0,267287000.0,35950000.0,134276000.0,216996000.0,118442000.0,193404000.0,220341000.0,185365000.0,154570000.0,131674000.0,107747000.0,111624000.0,102610000.0,134300000.0,103400000.0,66400000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-150892000.0,-119232000.0,-88901000.0,-79975000.0,-62960000.0,-106338000.0,-76234000.0,-57814000.0,-77656000.0,0.0,-80500000.0,-107900000.0,-13900000.0
,acquisitionsNet,-328000000.0,-419000000.0,-1000000.0,-547000000.0,-20000000.0,-307000000.0,0.0,-9000000.0,-23000000.0,-62000000.0,-16000000.0,-38000000.0,0.0,4000000.0,31000000.0,108000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37980000.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500000.0,0.0
,otherInvestingActivites,7150000.0,15045000.0,6873000.0,6824000.0,-1920000.0,1326000.0,399000.0,-4424000.0,150000.0,-204000.0,-7645000.0,36000.0,2757000.0,-17012000.0,-134355000.0,33075000.0,-23063000.0,-25020000.0,-64156000.0,-30686000.0,-40410000.0,0.0,0.0,-146400000.0,0.0
,netCashUsedForInvestingActivites,-492739000.0,-596034000.0,-134579000.0,-682836000.0,-124016000.0,-427068000.0,-117906000.0,-108238000.0,-155954000.0,-158188000.0,-83552000.0,-144625000.0,-148135000.0,-132146000.0,-191721000.0,-44881000.0,-83365000.0,-130723000.0,-304893000.0,-107428000.0,-116003000.0,-204424000.0,-150400000.0,-251800000.0,-54700000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
