Date,2018-12-29,2018-12,2017-12-30,2017-12,2016-12-31,2016-12,2016-01-02,2015-12,2014-12-27,2014-12,2013-12-28,2012-12-29,2011-12-31,2011-01-01,2010-01-02
Cash and cash equivalents,23515000.0,23000000.0,63922000.0,64000000.0,74258000.0,74000000.0,81976000.0,82000000.0,57162000.0,57000000.0,55246000.0,34807000.0,42880000.0,33337000.0,30446000.0
Short-term investments,0.0,000000.0,0.0,000000.0,6825000.0,7000000.0,44174000.0,44000000.0,43353000.0,43000000.0,38729000.0,37700000.0,30260000.0,11614000.0,7844000.0
Cash and short-term investments,23515000.0,000000.0,63922000.0,000000.0,81083000.0,7000000.0,126150000.0,44000000.0,100515000.0,43000000.0,93975000.0,72507000.0,73140000.0,44951000.0,38290000.0
Receivables,72806000.0,73000000.0,37503000.0,38000000.0,25730000.0,26000000.0,13531000.0,14000000.0,17501000.0,18000000.0,16984000.0,13754000.0,16227000.0,16399000.0,9949000.0
Inventories,85989000.0,86000000.0,41545000.0,42000000.0,30000000.0,30000000.0,13047000.0,13000000.0,14098000.0,14000000.0,13853000.0,12559000.0,12829000.0,10773000.0,7799000.0
Total current assets,845309000.0,845000000.0,312990000.0,313000000.0,303509000.0,304000000.0,84522000.0,85000000.0,87217000.0,87000000.0,84422000.0,72676000.0,63598000.0,55755000.0,60038000.0
Property, Plant & Equipment Net,126868000.0,127000000.0,91931000.0,92000000.0,80515000.0,81000000.0,74121000.0,74000000.0,77716000.0,78000000.0,75731000.0,64672000.0,56959000.0,53127000.0,56633000.0
Goodwill and Intangible Assets,703679000.0,704000000,213000000.0,213000000,216148000.0,217000000,9801000.0,10000000,5141000.0,9000000,5221000.0,4472000.0,0.0,0.0,0.0
Long-term investments,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
Tax assets,14012000.0,9000000.0,4654000.0,5000000.0,4217000.0,4000000.0,583000.0,000000.0,467000.0,000000.0,1428000.0,976000.0,380000.0,1600000.0,2060000.0
Total non-current assets,418407000.0,418000000.0,141230000.0,141000000.0,177304000.0,177000000.0,7671000.0,8000000.0,8773000.0,9000000.0,8032000.0,7601000.0,8066000.0,6881000.0,5878000.0
Total assets,1042165000.0,1042000000.0,459766000.0,460000000.0,444777000.0,445000000.0,241540000.0,242000000.0,222764000.0,223000000.0,213478000.0,175121000.0,167528000.0,132034000.0,119933000.0
Payables,40879000.0,41000000.0,15469000.0,15000000.0,10166000.0,10000000.0,4422000.0,4000000.0,4873000.0,5000000.0,4630000.0,4606000.0,4402000.0,3348000.0,2442000.0
Short-term debt,5215000.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
Total current liabilities,92990000.0,93000000.0,45863000.0,46000000.0,31076000.0,31000000.0,11682000.0,12000000.0,15732000.0,16000000.0,14018000.0,12247000.0,14186000.0,10129000.0,6441000.0
Long-term debt,347470000.0,347000000.0,116000000.0,116000000.0,140000000.0,140000000.0,0.0,000000.0,0.0,000000.0,0.0,0.0,0.0,0.0,0.0
Total debt,352685000.0,347000000.0,116000000.0,116000000.0,140000000.0,140000000.0,0.0,000000.0,0.0,000000.0,0.0,0.0,0.0,0.0,0.0
Deferred revenue,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,60480000.0,58000000.0,3946000.0,2000000.0,9766000.0,10000000.0,7411000.0,7000000.0,9060000.0,9000000.0,7747000.0,7230000.0,6917000.0,5684000.0,5191000.0
Deposit Liabilities,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,418407000.0,418000000.0,141230000.0,141000000.0,177304000.0,177000000.0,7671000.0,8000000.0,8773000.0,9000000.0,8032000.0,7601000.0,8066000.0,6881000.0,5878000.0
Total liabilities,511397000.0,511000000.0,187093000.0,187000000.0,208380000.0,208000000.0,19353000.0,19000000.0,24505000.0,25000000.0,22050000.0,19848000.0,22252000.0,17010000.0,12319000.0
Other comprehensive income,-46253000.0,-46000000.0,-6478000.0,-6000000.0,-15833000.0,-16000000.0,-10043000.0,-10000000.0,-4085000.0,-4000000.0,2591000.0,603000.0,-2120000.0,-135000.0,1004000.0
Retained earnings (deficit),219056000.0,219000000.0,183770000.0,184000000.0,162485000.0,162000000.0,149938000.0,150000000.0,128818000.0,129000000.0,123420000.0,97242000.0,98426000.0,71132000.0,64383000.0
Total shareholders equity,530768000.0,531000000.0,272673000.0,273000000.0,236397000.0,236000000.0,222187000.0,222000000.0,198259000.0,198000000.0,191428000.0,155273000.0,145276000.0,115024000.0,107614000.0
Investments,0.0,,0.0,,6825000.0,,44174000.0,,43353000.0,,38729000.0,37700000.0,30260000.0,11614000.0,7844000.0
Net Debt,329170000.0,324000000,52078000.0,52000000,58917000.0,66000000,-126150000.0,-82000000,-100515000.0,-57000000,-93975000.0,-72507000.0,-73140000.0,-44951000.0,-38290000.0
Other Assets,14546000.0,20000000,3806000.0,7000000,4455000.0,7000000,4290000.0,5000000,3433000.0,4000000,4244000.0,3625000.0,1734000.0,4156000.0,3857000.0
Other Liabilities,46896000.0,47000000,30394000.0,52000000,20910000.0,49000000,7260000.0,7000000,10859000.0,10000000,9388000.0,7641000.0,9784000.0,6781000.0,3999000.0
